caco2_wang,pampa_ncats,hia_hou,solubility_aqsoldb,pgp_broccatelli,lipophilicity_astrazeneca,clearance_hepatocyte_az
0.367218,0.366067,0.334000,0.181279,0.758323,0.495728,0.614798
0.390220,0.374281,0.342529,0.135929,0.784448,0.537857,0.612137
0.390220,0.374281,0.342529,0.135929,0.784448,0.537857,0.612137
0.390220,0.374281,0.342529,0.135929,0.784448,0.537857,0.612137
0.390220,0.374281,0.342529,0.135929,0.784448,0.537857,0.612137
0.390220,0.374281,0.342529,0.135929,0.784448,0.537857,0.612137
0.350325,0.308378,0.275465,0.151836,0.751496,0.507533,0.566923
0.379602,0.352131,0.313617,0.147135,0.703368,0.581263,0.576672
0.378896,0.353449,0.316440,0.137960,0.745820,0.587470,0.580607
0.377601,0.347207,0.311715,0.136103,0.786426,0.591375,0.587227
0.377684,0.351474,0.314030,0.133027,0.793568,0.587426,0.588965
0.375920,0.353437,0.314841,0.132263,0.804042,0.588630,0.590713
0.377146,0.354931,0.314137,0.130870,0.809655,0.586652,0.599088
0.376727,0.353832,0.312017,0.131079,0.818169,0.594449,0.603126
0.376714,0.355164,0.312007,0.128558,0.819956,0.596900,0.602611
0.373139,0.356135,0.312585,0.125634,0.818913,0.598111,0.603373
0.374702,0.357111,0.313019,0.124842,0.818425,0.598158,0.603317
0.356434,0.326588,0.301473,0.166226,0.703232,0.549950,0.611890
0.462069,0.401028,0.319039,0.146996,0.868201,0.634739,0.618586
0.439806,0.368510,0.327213,0.176173,0.813456,0.626095,0.602555
0.445926,0.377936,0.323195,0.179083,0.797062,0.643411,0.579175
0.444166,0.373920,0.321729,0.174330,0.804676,0.642492,0.581853
0.451581,0.379654,0.320152,0.185525,0.803052,0.641949,0.563569
0.460538,0.390499,0.317557,0.181589,0.781297,0.655600,0.576052
0.487832,0.422525,0.320206,0.167710,0.810606,0.658026,0.571085
0.358745,0.318494,0.288552,0.141950,0.727635,0.632573,0.582726
0.406968,0.332319,0.297159,0.212541,0.749593,0.636637,0.587396
0.461935,0.368755,0.307061,0.188337,0.777432,0.649509,0.581622
0.442772,0.372652,0.308642,0.198228,0.790068,0.593123,0.566221
0.443209,0.364632,0.298782,0.207840,0.737723,0.558614,0.541211
0.366282,0.314937,0.275377,0.204378,0.692560,0.504095,0.569433
0.427381,0.346801,0.319591,0.142785,0.744082,0.528760,0.521364
0.427381,0.346801,0.319591,0.142785,0.744082,0.528760,0.521364
0.445251,0.372119,0.318894,0.151053,0.814046,0.558499,0.533727
0.372534,0.333803,0.318960,0.148229,0.715766,0.480544,0.492254
0.368189,0.324418,0.310584,0.151261,0.680590,0.469094,0.453762
0.380409,0.343796,0.307383,0.147390,0.720406,0.483143,0.488792
0.372534,0.333803,0.318960,0.148229,0.715766,0.480544,0.492254
0.372534,0.333803,0.318960,0.148229,0.715766,0.480544,0.492254
0.357641,0.314869,0.303734,0.121596,0.665419,0.562947,0.526910
0.357964,0.349749,0.372469,0.100695,0.717994,0.499006,0.491737
0.554446,0.515983,0.450778,0.111277,0.781830,0.566653,0.515677
0.283774,0.269403,0.340835,0.193816,0.554552,0.447330,0.463331
0.273259,0.254090,0.322547,0.202697,0.581539,0.404942,0.466612
0.270936,0.254312,0.321507,0.210190,0.583751,0.379694,0.492319
0.273985,0.256356,0.314718,0.223891,0.574621,0.368667,0.490792
0.277085,0.257611,0.313733,0.231015,0.567857,0.354308,0.488670
0.306153,0.299445,0.262062,0.212609,0.575009,0.476879,0.469071
0.304894,0.303527,0.264978,0.223777,0.583311,0.468517,0.486421
0.303515,0.304673,0.263315,0.228926,0.580068,0.464740,0.504934
0.302092,0.304270,0.262763,0.231711,0.569245,0.445321,0.504858
0.296679,0.301640,0.262566,0.233554,0.566234,0.442500,0.502740
0.447597,0.450501,0.363461,0.219617,0.667919,0.506020,0.556072
0.447597,0.450501,0.363461,0.219617,0.667919,0.506020,0.556072
0.447597,0.450501,0.363461,0.219617,0.667919,0.506020,0.556072
0.232631,0.276971,0.286663,0.411500,0.389355,0.222165,0.525205
0.294103,0.291144,0.293680,0.181004,0.630275,0.428800,0.598916
0.379961,0.348146,0.280723,0.194633,0.799338,0.534251,0.567403
0.379961,0.348146,0.280723,0.194633,0.799338,0.534251,0.567403
0.379723,0.340420,0.285103,0.192378,0.810319,0.542615,0.558904
0.379723,0.340420,0.285103,0.192378,0.810319,0.542615,0.558904
0.379823,0.344701,0.282005,0.184567,0.813366,0.538346,0.555594
0.379823,0.344701,0.282005,0.184567,0.813366,0.538346,0.555594
0.379823,0.344701,0.282005,0.184567,0.813366,0.538346,0.555594
0.375576,0.342971,0.275218,0.175306,0.816379,0.553407,0.546402
0.375576,0.342971,0.275218,0.175306,0.816379,0.553407,0.546402
0.378194,0.340879,0.297073,0.172281,0.821829,0.602524,0.578636
0.378194,0.340879,0.297073,0.172281,0.821829,0.602524,0.578636
0.378032,0.336937,0.301506,0.141604,0.835821,0.626028,0.571433
0.378032,0.336937,0.301506,0.141604,0.835821,0.626028,0.571433
0.377804,0.335533,0.300770,0.165266,0.823224,0.621822,0.570900
0.377804,0.335533,0.300770,0.165266,0.823224,0.621822,0.570900
0.378865,0.338822,0.298019,0.154228,0.827061,0.618113,0.565146
0.378865,0.338822,0.298019,0.154228,0.827061,0.618113,0.565146
0.397605,0.389489,0.338704,0.121831,0.671781,0.526684,0.491773
0.397605,0.389489,0.338704,0.121831,0.671781,0.526684,0.491773
0.397605,0.389489,0.338704,0.121831,0.671781,0.526684,0.491773
0.354698,0.377427,0.282759,0.162193,0.819233,0.560864,0.560893
0.354206,0.384738,0.286261,0.147303,0.836413,0.561152,0.564002
0.355808,0.384807,0.287840,0.147406,0.838480,0.561345,0.567790
0.355111,0.387516,0.285862,0.141008,0.844488,0.563988,0.570012
0.354004,0.389016,0.286113,0.136659,0.852764,0.565559,0.573233
0.354361,0.389816,0.286730,0.132154,0.854782,0.565826,0.573205
0.347412,0.364281,0.272026,0.168157,0.793419,0.541875,0.567808
0.352329,0.362023,0.279002,0.172656,0.809225,0.536098,0.568927
0.345089,0.355924,0.280994,0.185356,0.783754,0.533821,0.575938
0.340329,0.355569,0.276436,0.190792,0.761512,0.515451,0.575901
0.383083,0.294817,0.278108,0.132475,0.789437,0.568243,0.551418
0.329095,0.295153,0.255983,0.159837,0.721771,0.512421,0.534672
0.255145,0.306733,0.331837,0.275206,0.585200,0.392779,0.488906
0.255641,0.298799,0.307854,0.306837,0.531846,0.341956,0.476808
0.240501,0.283336,0.314857,0.273883,0.631365,0.383505,0.515765
0.245303,0.278066,0.300726,0.307788,0.531704,0.330575,0.497212
0.233376,0.273264,0.311407,0.280461,0.629607,0.362888,0.517238
0.235094,0.274377,0.306188,0.288295,0.623270,0.352123,0.517455
0.246653,0.278559,0.294990,0.312842,0.526109,0.310947,0.490797
0.235279,0.273687,0.304647,0.295663,0.619686,0.335469,0.517041
