Compound ID,DOI,Uniprot,cell_line_assay,readout_assay,timepoint_assay,cell_lines_abstract,readouts_abstract,cell_lines_fulltext,readouts_fulltext,cell_lines_chembl,cell_line_best
1,10.1021/acs.jmedchem.8b01413,Q9NPI1,,other,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
1,10.1021/acs.jmedchem.8b01413,Q9H8M2,,other,,,Western blot; degradation reporter,,,HEK293; U2OS,
2,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
2,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
3,10.1021/acs.jmedchem.8b01413,Q9H8M2,EOL-1/A-402,,,,Western blot; degradation reporter,,,HEK293; U2OS,EOL-1/A-402
4,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
5,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
5,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
6,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
6,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
7,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
7,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
8,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
8,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
9,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
9,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
10,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
10,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
11,10.1021/acs.jmedchem.8b01413,Q9NPI1,HeLa,degradation reporter,4.0,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,HeLa
11,10.1021/acs.jmedchem.8b01413,Q9H8M2,HeLa,degradation reporter,4.0,,Western blot; degradation reporter,,,HEK293; U2OS,HeLa
12,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
12,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
13,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
13,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
14,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
14,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
15,10.1021/acs.jmedchem.8b01413,Q9NPI1,,,,,Western blot; degradation reporter,,,HEK293; HEK293T; HL-60; U2OS,
15,10.1021/acs.jmedchem.8b01413,Q9H8M2,,,,,Western blot; degradation reporter,,,HEK293; U2OS,
