trial_number,auroc,seed,head_type,mol_encoder,prot_encoder,warhead_transfer,fragment_mode,e3_onehot,rdkit_desc,admet_features,normalize,ternary_attention,attn_dropout,attn_lr,mlp_batch_size,mlp_dropout,mlp_hidden,mlp_layers,mlp_lr,rf_max_depth,rf_min_samples_leaf,rf_n_estimators,xgb_eta,xgb_max_depth,xgb_n_rounds,xgb_subsample
705,0.7637965202949599,0,mlp,molformer,esm2_3B,False,linker_only,True,True,False,True,True,,,64.0,0.4973343189152132,128.0,1.0,0.0007494678692270079,,,,,,,
545,0.7569463573118733,0,xgboost,chemberta,esm2_150M,False,all_fragments,True,True,False,True,True,,,,,,,,,,,0.01737598063225606,9.0,300.0,0.7409984514471215
679,0.7551719117998219,0,xgboost,morgan_2048_r2,prot_t5_xl,False,none,False,True,False,True,True,,,,,,,,,,,0.017749495406143234,10.0,300.0,0.7430875797230596
888,0.7524553551975852,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01787756387623758,10.0,200.0,0.5262567879754045
939,0.7474450936744622,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020292121078326605,10.0,200.0,0.5505973182442653
876,0.7442773457074718,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.018058939534427648,10.0,200.0,0.5381639587437471
445,0.7440443737589153,0,rf,chemberta,esm2_3B,True,linker_only,False,True,False,True,True,,,,,,,,15,5.0,200.0,,,,
917,0.7427092602361902,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.024449653180732563,10.0,200.0,0.5150206336479973
861,0.7414351694597792,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01839243280692311,10.0,200.0,0.5549555672934122
954,0.741034116252935,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.017093319853614748,10.0,200.0,0.5396497811606047
848,0.7407776109774709,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.010279719029829703,10.0,200.0,0.5998040096695951
947,0.7400625606364929,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.024779721178849124,10.0,200.0,0.5063920885365227
879,0.7394285690599038,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020526358991570688,10.0,200.0,0.5010814435318155
890,0.7382647330962716,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01912730881488949,10.0,200.0,0.5132809544264542
976,0.7377634826472527,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01873975064993108,10.0,200.0,0.5314277924381466
868,0.7371182887819859,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01966802876759395,10.0,200.0,0.533845103359124
774,0.7358110781945861,0,xgboost,morgan_1024_r2,esm2_150M,False,none,True,True,False,True,True,,,,,,,,,,,0.2520425123509484,10.0,300.0,0.6942548861398241
840,0.7356522965299834,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015730441968038328,10.0,200.0,0.6230484488618325
836,0.7345479932812415,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01122854881320634,10.0,200.0,0.581746028869684
871,0.7341789022496011,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020386861087535044,10.0,200.0,0.536086145440289
886,0.732911240415152,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01762493761408674,10.0,200.0,0.5174400689774161
899,0.7328463308883365,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.018638318093814023,10.0,200.0,0.5478109962968655
916,0.7325709349682257,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.024300992505036777,10.0,200.0,0.5549520465532753
816,0.7325366987347267,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01374427701739855,10.0,200.0,0.599407384313615
961,0.7322219129529678,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01657318122367109,10.0,200.0,0.5245914672062061
842,0.7319530641147194,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.016161122934421027,10.0,200.0,0.626917946192251
477,0.7315618104426667,0,attention,morgan_1024_r2,prostt5,True,linker_only,True,False,True,True,True,0.11179055202312843,0.0008165143661772275,,,,,,,,,,,,
964,0.7305030760536345,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.018439234233794552,10.0,200.0,0.541946992150985
926,0.7299457744784837,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.023464679008913646,10.0,200.0,0.5211072736803968
198,0.7297846638547153,0,xgboost,chemberta,none,False,none,False,False,False,True,False,,,,,,,,,,,0.041789763823056686,10.0,300.0,0.6938070403371137
985,0.7294504357179922,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.016698756892455455,10.0,200.0,0.500344129964925
846,0.728378911400453,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.011267545802562912,10.0,200.0,0.6040035330997174
862,0.7276016131659588,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.0184452967254244,10.0,200.0,0.6110532503857192
758,0.7271563856736634,0,xgboost,morgan_1024_r2,esm2_150M,False,none,True,True,False,True,True,,,,,,,,,,,0.2322202454346544,10.0,300.0,0.697767416313682
974,0.7268737359836842,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020919320678901857,10.0,200.0,0.5484846098173781
948,0.7266371793042442,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.025373584039866007,10.0,200.0,0.5023509371734928
922,0.7266117459737733,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.019404082340492932,10.0,200.0,0.5000125670788174
952,0.7264008335948856,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.021016392775108587,10.0,200.0,0.5015720979892607
864,0.725991160838655,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020133248950657434,10.0,200.0,0.5553573939575891
872,0.7259563393942645,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01967886744048603,10.0,200.0,0.5372584131622619
835,0.7259082208023103,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.014456433729226177,10.0,200.0,0.5736590681083246
989,0.7251474932906921,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.019495881418486898,10.0,200.0,0.5170862432279989
812,0.7251380347698392,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015187847638944258,10.0,200.0,0.5749363288174062
951,0.7246810915256643,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.023580049681018126,10.0,200.0,0.5308530326126328
891,0.7238918081472943,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.021507296500434477,10.0,200.0,0.5156730790974638
833,0.7233383238902713,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.014379811261155959,10.0,200.0,0.6074235164949178
203,0.7230065461139717,0,xgboost,chemberta,ankh_large,False,none,True,True,True,False,True,,,,,,,,,,,0.028314731926647838,10.0,100.0,0.573783254321286
811,0.7229662933814957,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015069949551302272,10.0,200.0,0.5733373334871316
898,0.7226863077165305,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.021939290547131136,10.0,200.0,0.5339191256586607
902,0.722546958214156,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.02105021870567775,10.0,200.0,0.5174527797604914
920,0.7225256771191145,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.023687957400790577,10.0,200.0,0.509007994142945
927,0.722520071751774,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.025527106667977768,10.0,200.0,0.515589936586323
933,0.7220388038091536,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.011257838832749693,10.0,200.0,0.5385689407848969
821,0.721767270283316,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.010926304071608597,10.0,200.0,0.6098291424702953
958,0.7216233363055454,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01555624177259406,10.0,200.0,0.5489573824743135
907,0.721363043819882,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.02309567910643244,10.0,200.0,0.5266231233345958
956,0.7212744139849347,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.017262704562348914,10.0,200.0,0.5568623273993223
265,0.720755152851459,0,xgboost,morgan_1024_r2,prostt5,False,none,False,False,False,True,True,,,,,,,,,,,0.29979007430051763,8.0,200.0,0.9189009414899719
831,0.720463572280391,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015423084935446892,10.0,200.0,0.5765279399322301
807,0.7198649115811943,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01526099346598892,10.0,200.0,0.6520309421847279
697,0.719768626360835,0,rf,morgan_2048_r2,esm2_3B,True,none,True,True,False,True,False,,,,,,,,none,4.0,500.0,,,,
973,0.71965347133486,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.017350529420337258,10.0,200.0,0.5396829622192962
599,0.7191493496784689,0,mlp,morgan_2048_r2,esm2_8M,False,linker_only,False,False,False,True,False,,,32.0,0.11526385342907103,128.0,2.0,0.00040090029306678296,,,,,,,
873,0.7190275299933505,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.020141298511247012,10.0,200.0,0.5343845524530149
901,0.7188889757093311,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.017330340881528808,10.0,200.0,0.5463994508476775
817,0.7186933332725756,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.012555409174625004,10.0,200.0,0.5862295815425071
895,0.7180895935504154,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.022889087876904995,10.0,200.0,0.5129732314107642
397,0.7179956319109541,0,xgboost,maccs_167,none,True,none,True,True,True,False,True,,,,,,,,,,,0.024440799552568823,10.0,100.0,0.6929825051774429
921,0.7179206126068983,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.022070926855585905,10.0,200.0,0.518752673558691
602,0.7177793783493079,0,xgboost,morgan_1024_r2,esm2_150M,False,linker_only,True,False,False,False,True,,,,,,,,,,,0.10122605770500084,10.0,200.0,0.7880579474874825
955,0.7176410856367218,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015624064774315282,10.0,200.0,0.5426018697168113
935,0.7174528091157117,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.010032450352568013,10.0,200.0,0.5250951718267308
837,0.7169501375904522,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.014194780069888753,10.0,200.0,0.5802561499159122
883,0.7164467810163502,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.018433488208820042,10.0,200.0,0.5352369188816639
941,0.7159339316823358,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.02404140095225113,10.0,200.0,0.5604411011865449
967,0.7158690286245196,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.016392887240515134,10.0,200.0,0.5527354725432603
918,0.7156198774240907,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.02583213790057468,10.0,200.0,0.5116519629562654
815,0.7154607114507918,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.012588037940633096,10.0,200.0,0.5900041459485195
903,0.7152384678846,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01624648912213929,10.0,200.0,0.5101287870438603
853,0.7149777554757318,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.01063090449588491,10.0,200.0,0.6062600846298313
771,0.7149189797875352,0,xgboost,morgan_1024_r2,esm2_150M,False,none,True,True,False,True,True,,,,,,,,,,,0.2681652320918694,9.0,300.0,0.6844421976815245
924,0.7149049931832371,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.015906720670110352,10.0,200.0,0.6236075241277041
977,0.714787819876916,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.019442390996584714,10.0,200.0,0.5327202047318911
975,0.7147467089948836,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.016743773968154182,10.0,200.0,0.5149631567268653
808,0.714410428119591,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.017501057603230997,10.0,200.0,0.5919766232579969
820,0.7142368861434479,0,xgboost,chemberta,none,False,none,True,True,False,True,True,,,,,,,,,,,0.012505108157054521,10.0,200.0,0.5943045935792028
