target,n,auroc
P10275,1968,0.5205830610100542
P03372,1291,0.6012145212421939
Q06187,761,0.6921482602118002
P01116,722,0.6858796878932797
P15056,606,0.7007542895700792
P51531,432,0.6597330352271064
P00533,402,0.7578351942628903
Q9NWZ3,313,0.7880503144654089
P51532,271,0.7009894698620189
P10636,210,0.45501489251489247
O60885,162,0.550576639739877
P01116/P04049,139,0.8139743589743591
Q92793,111,0.87473604826546
P14902,109,0.4333333333333333
Q07889,91,0.3680900364117841
Q92918,91,0.7747175141242938
Q92793/Q09472,83,0.9022077114427861
Q09472,80,0.9538845486111112
P36969,76,0.7187613843351549
Q13422,73,0.4822695035460993
P36888,70,0.721541394335512
P17706,68,0.8955439814814814
Q9BY41,61,0.43009259259259264
P18031,59,0.9574509803921568
Q00534,57,0.8306250000000001
P09874,57,0.30048500881834217
P36897,57,0.4420289855072464
P11802,56,0.7303523035230352
P51531/P51532,48,0.752498530276308
P50750,47,0.7587878787878788
Q02750,46,0.5860805860805861
O15379,43,1.0
Q9UBN7,39,0.46064814814814814
P98170,39,0.5993265993265993
P49336,38,0.533794162826421
P43490,36,0.49279835390946497
Q9UM73,34,0.7552083333333334
P25440,32,0.9197031039136302
P01116/Q07889,32,0.46515151515151515
Q15059,31,0.7813390313390314
Q06124,30,0.7503703703703705
P37840,30,0.5438988095238096
Q9NYV4,28,0.7358674463937622
P30530,28,0.9760101010101011
P40337,26,0.7322916666666667
Q14004,26,0.6527777777777778
P06239,25,0.7324561403508771
P40763,24,0.35294117647058826
P24941,22,0.8857142857142858
P49840,22,0.9473684210526315
Q9Y2I7,21,0.41358024691358025
P33981,20,0.6633333333333333
Q93009,19,0.5598290598290597
Q08881,19,0.5619047619047619
Q96SW2,17,0.09615384615384615
P08581,17,1.0
P15170,17,0.3333333333333333
O60674,14,0.9652777777777777
Q9Y616,14,0.875
Q5S007,13,0.85
Q16539,12,0.888888888888889
O75530,12,0.46666666666666673
P11474,11,0.6071428571428571
O43924,10,0.29629629629629634
O60760,10,0.7142857142857143
