target,n,activity_rate,auroc,auroc_std
P10275,311,0.3698,0.752284826974268,0.03947264998559347
Q06187,149,0.557,0.529420713155653,0.035935095768050894
O60885,139,0.5324,0.5003465003465003,0.005374219257197896
P14902,109,0.1743,0.7089668615984405,0.04044000477712355
P00533,102,0.3725,0.4555921052631579,0.06421849672814028
P03372,80,0.6125,0.40574939653280667,0.010674028094812653
P36969,76,0.1974,0.7118397085610201,0.03266928921157798
P51531,68,0.75,0.867358708189158,0.007355296605040016
Q9BY41,60,0.2667,0.45691287878787873,0.013177007623177778
Q07889,57,0.1579,0.6257716049382717,0.011392610385982568
P51532,53,0.566,0.851449275362319,0.01530341455213256
Q00534,46,0.4565,0.8266666666666665,0.004856209060564565
Q02750,46,0.1522,0.5201465201465201,0.18894377466713289
P09874,45,0.2,0.37602880658436205,0.0064659491203582905
P11802,45,0.2444,0.7406417112299465,0.006816871007476962
P36888,42,0.2857,0.4777777777777777,0.06920328496686959
P17706,40,0.275,0.7084639498432601,0.05112697940532947
P98170,39,0.8462,0.5311447811447813,0.04005177526387316
Q9UBN7,39,0.6154,0.525462962962963,0.0407354794582573
O15379,37,0.2432,0.8558201058201059,0.007482611441127434
P43490,36,0.5,0.28703703703703703,0.025200511757028556
Q9UM73,34,0.5294,0.484375,0.0919975090242484
P50750,33,0.3939,0.8756410256410256,0.001813094310734783
P18031,31,0.129,0.9907407407407408,0.0075601535271085625
P25440,31,0.3871,0.9130116959064326,0.0020675636876799175
Q15059,31,0.4194,0.7799145299145299,0.010467904883688805
Q06124,30,0.5,0.5755555555555556,0.07757645903162104
Q9NYV4,28,0.6786,0.746588693957115,0.0027567515835733108
P40337,26,0.3846,0.6124999999999999,0.04725540092589064
Q14004,26,0.4615,0.6547619047619048,0.0024300493479992216
P15056,24,0.5,0.7222222222222222,0.031569865039319085
P40763,24,0.2917,0.4901960784313724,0.04464251386697263
Q09472,24,0.625,0.8938271604938274,0.015220775315972756
Q92793,24,0.7917,0.8228070175438597,0.006564311204866554
Q07817,23,0.8696,0.7805555555555556,0.06983225049986962
P24941,22,0.3182,0.8857142857142857,9.064933036736789e-17
P49840,22,0.1364,0.6842105263157895,0.0
Q9Y2I7,21,0.1429,0.6481481481481483,0.18580144374435079
P33981,20,0.5,0.65,0.09201449161228172
Q08881,19,0.7368,0.4142857142857143,0.16454430993496186
Q93009,19,0.3158,0.6965811965811964,0.03197997766473457
P08581,17,0.2941,0.41111111111111115,0.01571348402636772
P15170,17,0.2353,0.4294871794871795,0.14247506904418505
Q96SW2,17,0.2353,0.15384615384615383,0.015701857325533194
O60674,14,0.4286,0.6597222222222222,0.08729031312483707
Q5S007,13,0.2308,0.6166666666666667,0.26246692913372704
O75530,12,0.4167,0.46666666666666673,0.03563483225498993
Q16539,12,0.5,0.48148148148148145,0.10475656017578484
P11474,11,0.3636,0.44047619047619047,0.16060401860990522
O43924,10,0.1,0.4444444444444445,0.31426968052735443
O60760,10,0.7,0.8253968253968255,0.1472002935792969
Q92918,10,0.5,0.43999999999999995,0.032659863237109024
