target,n,activity_rate,auroc,auroc_std
P10275,311,0.3698,0.6104480922803904,0.04032215915076161
Q06187,149,0.557,0.5143604721917975,0.023760096786795387
O60885,139,0.5324,0.5127165627165627,0.007411544405987609
P14902,109,0.1743,0.6973684210526315,0.03463976564089389
P00533,102,0.3725,0.4728618421052631,0.0013429220081048055
P03372,80,0.6125,0.5015360983102919,0.07367407957989038
P36969,76,0.1974,0.7245901639344262,0.07866701790694275
P51531,68,0.75,0.8554402153018069,0.004716587522639493
Q9BY41,60,0.2667,0.3894412878787879,0.008228289392510786
Q07889,57,0.1579,0.5030864197530864,0.030023266139419337
P51532,53,0.566,0.9212560386473431,0.00700899426499845
Q00534,46,0.4565,0.8422222222222221,0.00499937007873766
Q02750,46,0.1522,0.6019536019536019,0.07431074019390929
P09874,45,0.2,0.529835390946502,0.04234385931534296
P11802,45,0.2444,0.749554367201426,0.0006302199475815957
P36888,42,0.2857,0.3333333333333333,0.05665577237325315
P17706,40,0.275,0.6891327063740857,0.01216347620357656
P98170,39,0.8462,0.5202020202020202,0.014868284286747224
Q9UBN7,39,0.6154,0.5435185185185185,0.041112570878321035
O15379,37,0.2432,0.7870370370370371,0.04980997456021892
P43490,36,0.5,0.29012345679012347,0.03214917693827109
Q9UM73,34,0.5294,0.5329861111111112,0.1489889515713471
P50750,33,0.3939,0.8884615384615384,0.013688561861578605
P18031,31,0.129,0.91820987654321,0.030786940344537075
P25440,31,0.3871,0.8698830409356725,0.011922153823318791
Q15059,31,0.4194,0.8240740740740741,0.008781216528445846
Q06124,30,0.5,0.6296296296296297,0.02126325939912189
Q9NYV4,28,0.6786,0.7641325536062378,0.0055135031671466215
P40337,26,0.3846,0.5593750000000001,0.011121956512532566
Q14004,26,0.4615,0.6388888888888888,0.012230980164620943
P15056,24,0.5,0.7430555555555555,0.04176300590895535
P40763,24,0.2917,0.32913165266106437,0.15812070618940272
Q09472,24,0.625,0.8679012345679012,0.009720997375323228
Q92793,24,0.7917,0.8385964912280701,0.009924305700863854
Q07817,23,0.8696,0.7305555555555556,0.01571348402636772
P24941,22,0.3182,0.8857142857142858,0.0
P49840,22,0.1364,0.6228070175438597,0.2620835770794919
Q9Y2I7,21,0.1429,0.5709876543209876,0.16740804472000764
P33981,20,0.5,0.63,0.008164965809277268
Q08881,19,0.7368,0.6809523809523809,0.06424160744396214
Q93009,19,0.3158,0.8354700854700855,0.0030218238512246037
P08581,17,0.2941,0.3277777777777778,0.007856742013183886
P15170,17,0.2353,0.6282051282051281,0.14247506904418505
Q96SW2,17,0.2353,0.08012820512820512,0.05108133798240137
O60674,14,0.4286,0.4583333333333333,0.07414637675021744
Q5S007,13,0.2308,0.4833333333333334,0.1247219128924647
O75530,12,0.4167,0.39999999999999997,0.10168645954315536
Q16539,12,0.5,0.5833333333333334,0.03928371006591927
P11474,11,0.3636,0.48809523809523814,0.13780758217607408
O43924,10,0.1,0.6296296296296297,0.4475202212442434
O60760,10,0.7,0.746031746031746,0.022447834323382432
Q92918,10,0.5,0.5266666666666667,0.033993463423951924
