target,n,auroc
P10275,1968,0.5390000674783346
P03372,1291,0.5995079536739577
Q06187,761,0.6872617246596068
P01116,722,0.7101266884805773
P15056,606,0.7158943030653556
P51531,432,0.6263291678311441
P00533,402,0.7522410584604212
Q9NWZ3,313,0.7957809224318658
P51532,271,0.6176470588235294
P10636,210,0.4787134162134162
O60885,162,0.5500431844739114
P01116/P04049,139,0.7990598290598291
Q92793,111,0.8531674208144797
P14902,109,0.42534113060428846
Q07889,91,0.3646971201588878
Q92918,91,0.7700388418079095
Q92793/Q09472,83,0.904228855721393
Q09472,80,0.947048611111111
P36969,76,0.7145719489981786
Q13422,73,0.40861974904528103
P36888,70,0.7476851851851852
P17706,68,0.8932291666666666
Q9BY41,61,0.5034722222222222
P18031,59,0.9562745098039215
Q00534,57,0.850625
P09874,57,0.2786596119929453
P36897,57,0.465686274509804
P11802,56,0.7479674796747968
P51531/P51532,48,0.7654320987654321
P50750,47,0.7799999999999999
Q02750,46,0.5818070818070818
O15379,43,1.0
Q9UBN7,39,0.4523148148148148
P98170,39,0.5277777777777778
P49336,38,0.5353302611367128
P43490,36,0.5627572016460906
Q9UM73,34,0.6487268518518517
P25440,32,0.674089068825911
P01116/Q07889,32,0.5765151515151515
Q15059,31,0.5961538461538461
Q06124,30,0.6859259259259258
P37840,30,0.515625
Q9NYV4,28,0.6627680311890839
P30530,28,0.9785353535353535
P40337,26,0.7270833333333334
Q14004,26,0.47420634920634924
P06239,25,0.6915204678362574
P40763,24,0.3109243697478991
P24941,22,0.8857142857142858
P49840,22,0.9649122807017543
Q9Y2I7,21,0.5462962962962963
P33981,20,0.5533333333333333
Q93009,19,0.5256410256410257
Q08881,19,0.5857142857142857
Q96SW2,17,0.141025641025641
P08581,17,0.938888888888889
P15170,17,0.4615384615384615
O60674,14,0.9375
Q9Y616,14,0.7083333333333334
Q5S007,13,0.9500000000000001
Q16539,12,0.8703703703703703
O75530,12,0.3952380952380952
P11474,11,0.6607142857142857
O43924,10,0.6666666666666666
O60760,10,0.7380952380952381
