target,n,auroc
P10275,1968,0.5253470314352642
P03372,1291,0.6020680259126139
Q06187,761,0.6553681290973272
P01116,722,0.6868462818469112
P15056,606,0.6910364854443801
P51531,432,0.6651827896887186
P00533,402,0.7553615196078431
Q9NWZ3,313,0.8070492662473794
P51532,271,0.671014887436456
P10636,210,0.5298012173012173
O60885,162,0.6014073057968806
P01116/P04049,139,0.8041880341880342
Q92793,111,0.8718702865761689
P14902,109,0.4408382066276803
Q07889,91,0.3627937768950678
Q92918,91,0.7831038135593219
Q92793/Q09472,83,0.9202425373134329
Q09472,80,0.9389105902777777
P36969,76,0.8185792349726775
Q13422,73,0.46658483360611025
P36888,70,0.6854575163398692
P17706,68,0.8797743055555555
Q9BY41,61,0.38912037037037034
P18031,59,0.9507843137254901
P09874,57,0.33112874779541446
P36897,57,0.4933930093776641
Q00534,57,0.8464583333333332
P11802,56,0.7311653116531165
P51531/P51532,48,0.7663139329805997
P50750,47,0.7730303030303031
Q02750,46,0.5854700854700854
O15379,43,0.9979797979797981
P98170,39,0.6026936026936026
Q9UBN7,39,0.44999999999999996
P49336,38,0.5545314900153611
P43490,36,0.3713991769547325
Q9UM73,34,0.7633101851851851
P01116/Q07889,32,0.47500000000000003
P25440,32,0.8643724696356276
Q15059,31,0.8198005698005698
P37840,30,0.6354166666666667
Q06124,30,0.7674074074074074
P30530,28,0.962121212121212
Q9NYV4,28,0.7534113060428851
P40337,26,0.7135416666666666
Q14004,26,0.636904761904762
P06239,25,0.7222222222222223
P40763,24,0.28011204481792723
P24941,22,0.8857142857142857
P49840,22,0.9883040935672515
Q9Y2I7,21,0.5895061728395062
P33981,20,0.6433333333333332
Q08881,19,0.6357142857142858
Q93009,19,0.5470085470085471
P08581,17,0.9222222222222222
P15170,17,0.46153846153846145
Q96SW2,17,0.18589743589743588
O60674,14,0.9305555555555555
Q9Y616,14,0.7083333333333334
Q5S007,13,0.8833333333333333
O75530,12,0.5047619047619047
Q16539,12,0.888888888888889
P11474,11,0.625
O43924,10,0.8518518518518517
O60760,10,0.7619047619047619
