target,n,auroc
P10275,311,0.6442398698609879
Q06187,149,0.49586223682609226
O60885,139,0.5458419958419958
P14902,109,0.5910331384015595
P00533,102,0.39459978070175444
P03372,80,0.576256308975203
P36969,76,0.7140255009107467
P51531,68,0.7970011534025375
Q9BY41,60,0.49526515151515155
Q07889,57,0.4660493827160493
P51532,53,0.8294685990338163
Q00534,46,0.8425396825396825
Q02750,46,0.7521367521367521
P09874,45,0.5802469135802468
P11802,45,0.7366310160427808
P36888,42,0.5731481481481482
P17706,40,0.6739811912225706
P98170,39,0.6035353535353535
Q9UBN7,39,0.32268518518518524
O15379,37,0.9378306878306879
P43490,36,0.38271604938271603
Q9UM73,34,0.6666666666666666
P50750,33,0.85
P18031,31,0.9722222222222222
P25440,31,0.9181286549707602
Q15059,31,0.7962962962962964
Q06124,30,0.5807407407407407
Q9NYV4,28,0.8674463937621834
P40337,26,0.7395833333333334
Q14004,26,0.75
P15056,24,0.8726851851851851
P40763,24,0.3669467787114846
Q09472,24,0.7061728395061727
Q92793,24,0.712280701754386
Q07817,23,0.5444444444444445
P24941,22,0.9238095238095237
P49840,22,0.9385964912280702
Q9Y2I7,21,0.48148148148148145
P33981,20,0.7233333333333333
Q08881,19,0.33809523809523806
Q93009,19,0.7777777777777778
P08581,17,0.9833333333333334
P15170,17,0.7692307692307693
Q96SW2,17,0.125
O60674,14,0.951388888888889
Q5S007,13,0.6833333333333332
O75530,12,0.5333333333333333
Q16539,12,0.8611111111111112
P11474,11,0.8095238095238096
O43924,10,0.8518518518518517
O60760,10,0.4603174603174604
Q92918,10,0.4266666666666667
