target,n,auroc
P10275,1968,0.5285363467229629
P03372,1291,0.6227345900880364
Q06187,761,0.6815809379727685
P01116,722,0.6651547249489611
P15056,606,0.6887772315403895
P51531,432,0.6569782142904672
P00533,402,0.7649555192447348
Q9NWZ3,313,0.8064203354297694
P51532,271,0.6693173565722587
P10636,210,0.5459077959077959
O60885,162,0.5920845399583397
P01116/P04049,139,0.7967094017094016
Q92793,111,0.8747360482654599
P14902,109,0.43898635477582837
Q07889,91,0.34367759020191985
Q92918,91,0.7932556497175142
Q92793/Q09472,83,0.9093594527363184
Q09472,80,0.938259548611111
P36969,76,0.7131147540983606
Q13422,73,0.53873431533006
P36888,70,0.6817810457516339
P17706,68,0.8851273148148148
Q9BY41,61,0.3724537037037037
P18031,59,0.9598039215686275
P09874,57,0.34634038800705463
P36897,57,0.3765984654731458
Q00534,57,0.8527083333333333
P11802,56,0.7387533875338753
P51531/P51532,48,0.7739564961787183
P50750,47,0.8027272727272727
Q02750,46,0.5836385836385837
O15379,43,1.0
P98170,39,0.5648148148148149
Q9UBN7,39,0.4685185185185185
P49336,38,0.6359447004608295
P43490,36,0.3667695473251029
Q9UM73,34,0.7690972222222223
P01116/Q07889,32,0.4462121212121212
P25440,32,0.6403508771929824
Q15059,31,0.6937321937321936
P37840,30,0.59375
Q06124,30,0.7022222222222222
P30530,28,0.8636363636363636
Q9NYV4,28,0.7514619883040936
P40337,26,0.75625
Q14004,26,0.679563492063492
P06239,25,0.6739766081871345
P40763,24,0.34733893557422973
P24941,22,0.888888888888889
P49840,22,0.97953216374269
Q9Y2I7,21,0.7314814814814815
P33981,20,0.7183333333333334
Q08881,19,0.5642857142857144
Q93009,19,0.5662393162393161
P08581,17,0.9555555555555556
P15170,17,0.4775641025641026
Q96SW2,17,0.14743589743589744
O60674,14,0.9375
Q9Y616,14,0.7361111111111112
Q5S007,13,0.9500000000000001
O75530,12,0.5952380952380953
Q16539,12,0.8333333333333334
P11474,11,0.4047619047619048
O43924,10,0.888888888888889
O60760,10,0.8095238095238096
