target,n,auroc
P10275,311,0.7664522330671399
Q06187,149,0.5185286600949252
O60885,139,0.48094248094248093
P14902,109,0.6399610136452242
P00533,102,0.3444353070175439
P03372,80,0.6046741277156024
P36969,76,0.7883424408014572
P51531,68,0.8008458285274894
Q9BY41,60,0.38257575757575757
Q07889,57,0.5189043209876544
P51532,53,0.8915458937198067
Q00534,46,0.8476190476190476
Q02750,46,0.6178266178266179
P09874,45,0.38888888888888884
P11802,45,0.7874331550802139
P36888,42,0.45555555555555555
P17706,40,0.7001044932079413
P98170,39,0.5496632996632996
Q9UBN7,39,0.31342592592592594
O15379,37,1.0
P43490,36,0.22273662551440332
Q9UM73,34,0.7667824074074074
P50750,33,0.8852564102564102
P18031,31,0.8117283950617283
P25440,31,0.8179824561403509
Q15059,31,0.727920227920228
Q06124,30,0.7162962962962963
Q9NYV4,28,0.6900584795321638
P40337,26,0.7177083333333334
Q14004,26,0.6091269841269841
P15056,24,0.8483796296296298
P40763,24,0.34453781512605036
Q09472,24,0.7358024691358024
Q92793,24,0.7298245614035087
Q07817,23,0.7611111111111112
P24941,22,0.8761904761904762
P49840,22,0.9853801169590644
Q9Y2I7,21,0.3487654320987654
P33981,20,0.79
Q08881,19,0.5095238095238095
Q93009,19,0.7307692307692308
P08581,17,0.9611111111111111
P15170,17,0.6987179487179488
Q96SW2,17,0.16346153846153844
O60674,14,0.9166666666666666
Q5S007,13,0.65
O75530,12,0.49523809523809526
Q16539,12,0.9351851851851852
P11474,11,0.6666666666666666
O43924,10,1.0
O60760,10,0.8412698412698413
Q92918,10,0.18666666666666665
