target,n,auroc
P10275,311,0.7446613427979889
Q06187,149,0.4884690276256542
O60885,139,0.5329521829521829
P14902,109,0.6490253411306043
P00533,102,0.34347587719298245
P03372,80,0.5800965547509326
P36969,76,0.8065573770491804
P51531,68,0.8223760092272204
Q9BY41,60,0.35748106060606055
Q07889,57,0.5262345679012346
P51532,53,0.9149758454106282
Q00534,46,0.8361904761904762
Q02750,46,0.6202686202686203
P09874,45,0.4218106995884774
P11802,45,0.7758467023172906
P36888,42,0.3074074074074074
P17706,40,0.684430512016719
P98170,39,0.5673400673400674
Q9UBN7,39,0.4597222222222222
O15379,37,1.0
P43490,36,0.24074074074074073
Q9UM73,34,0.7540509259259259
P50750,33,0.8807692307692307
P18031,31,0.8209876543209876
P25440,31,0.8815789473684211
Q15059,31,0.7571225071225071
Q06124,30,0.7362962962962963
Q9NYV4,28,0.7173489278752436
P40337,26,0.7927083333333332
Q14004,26,0.6626984126984127
P15056,24,0.8032407407407408
P40763,24,0.3137254901960784
Q09472,24,0.8543209876543211
Q92793,24,0.7614035087719296
Q07817,23,0.9166666666666666
P24941,22,0.9047619047619048
P49840,22,0.9883040935672515
Q9Y2I7,21,0.20370370370370372
P33981,20,0.655
Q08881,19,0.6619047619047619
Q93009,19,0.7905982905982905
P08581,17,0.9388888888888888
P15170,17,0.6923076923076922
Q96SW2,17,0.141025641025641
O60674,14,0.923611111111111
Q5S007,13,0.65
O75530,12,0.48571428571428577
Q16539,12,0.9166666666666666
P11474,11,0.5952380952380952
O43924,10,0.9629629629629629
O60760,10,0.746031746031746
Q92918,10,0.27999999999999997
