seed,target,auroc
42,AAK1_Q2M2I8,0.5
42,ABL2_P42684,0.0
42,AKT1_P31749,0.384
42,AKT2_P31751,0.4135
42,AKT3_Q9Y243,0.3229
42,ALK G1202R_Q9UM73,0.5
42,ALK_Q9UM73,0.7266
42,AR L702H and T878A_P10275,0.5
42,AR_P10275,0.6546
42,AURKA_O14965,0.25
42,AURKB_Q96GD4,1.0
42,Alpha-syn_P37840,0.5
42,Alpha-tubulin_nan,0.5
42,BCL-xL_Q07817,0.8125
42,BCL2_P10415,0.5
42,BCR-ABL E255K_nan,0.5
42,BCR-ABL E255V_nan,0.5
42,BCR-ABL G250E_nan,0.5
42,BCR-ABL T315I_nan,0.5
42,BCR-ABL_nan,0.5231
42,BLK_P51451,0.3333
42,BMP2K_Q9NSY1,0.5
42,BRAF V600E_P15056,0.5
42,BRAF_P15056,0.5
42,BRD2 BD2_P25440,0.5
42,BRD2_P25440,0.6257
42,BRD3 BD1_Q15059,0.5
42,BRD3_Q15059,0.4615
42,BRD4 BD1_O60885,0.25
42,BRD4_O60885,0.563
42,BRD7_Q9NPI1,0.5
42,BRD9_Q9H8M2,0.3333
42,BTK C481S_Q06187,1.0
42,BTK_Q06187,0.6581
42,BUB1B_O60566,0.5
42,Beta-tubulin_P07437,0.5
42,CDK11B_P21127,0.5
42,CDK12 C1039F_Q9NYV4,0.5
42,CDK12_Q9NYV4,0.625
42,CDK13_Q14004,0.5
42,CDK14_O94921,0.5
42,CDK16_Q00536,0.5
42,CDK17_Q00537,0.5
42,CDK2_P24941,0.8571
42,CDK4_P11802,0.6099
42,CDK5_Q00535,0.5
42,CDK6_Q00534,0.7437
42,CDK7_P50613,0.5
42,CDK8_P49336,0.5
42,CDK9_P50750,0.625
42,CLK1_P49759,1.0
42,COQ8A_Q8NI60,0.5
42,COQ8B_Q96D53,0.5
42,CRABP-II_P29373,0.5
42,CRABP-I_P29762,0.5
42,CRBN_Q96SW2,0.2167
42,CSK_P41240,0.5
42,CSNK1A1_P48729,0.5
42,CSNK1D_P48730,0.5
42,CSNK1E_P49674,0.5
42,Cdc20_Q12834,0.5
42,EED_O75530,0.0
42,EEF2K_O00418,0.5
42,EGFR L858R/T790M_P00533,0.8167
42,EGFR L858R_P00533,1.0
42,EGFR del19/T790M/C797S_P00533,0.5
42,EGFR e19d_P00533,0.8182
42,EGFR_P00533,0.5648
42,EML4-ALK G1202R_nan,0.5
42,EML4-ALK_nan,0.5
42,EPHA3_P29320,0.5
42,ERRalpha_P11474,0.1667
42,ER_P03372,0.1351
42,FAK_Q05397,0.74
42,FER_P16591,0.625
42,FGFR2_P21802,1.0
42,FGFR3-TACC3_nan,0.5
42,FKBP12_P62942,0.0
42,FLT3-ITD-D835V_P36888,0.5
42,FLT3-ITD-F691L_P36888,1.0
42,FLT3-ITD_P36888,1.0
42,FLT3_P36888,0.9524
42,GAK_O14976,0.0
42,GCN5_Q92830,0.5
42,GSK-3beta_P49841,0.8667
42,GSK3A_P49840,0.5
42,HASPIN_Q8TF76,0.5
42,HDAC1_Q13547,0.1111
42,HDAC2_Q92769,0.0
42,HDAC3_O15379,0.625
42,HDAC6_Q9UBN7,0.5
42,HPGDS_O60760,0.5
42,HSP90_nan,0.6
42,IGF-1R_P08069,0.6667
42,IRAK1_P51617,1.0
42,IRAK3_Q9Y616,1.0
42,IRAK4_Q9NWZ3,1.0
42,ITK_Q08881,0.5
42,JAK1_P23458,0.75
42,JAK2 R683G_O60674,0.5
42,JAK2_O60674,0.6875
42,JAK3_P52333,0.5
42,KRAS G12C_P01116,0.8333
42,LCK_P06239,0.5
42,LIMK1_P53667,0.0
42,LIMK2_P53671,0.0
42,MAP3K11_Q16584,0.5
42,MAP3K1_Q13233,0.5
42,MAP3K20_Q9NYL2,0.5
42,MAP4K1_Q92918,0.5
42,MAP4K2_Q12851,0.5
42,MAPK6_Q16659,0.5
42,MAPK7_Q13164,0.0
42,MARK4_Q96L34,0.0
42,MAST3_O60307,0.5
42,MCL1_Q07820,0.5
42,MDM2_Q00987,0.8889
42,MEK1_Q02750,0.537
42,MEK2_P36507,0.5
42,MIF_P14174,0.5
42,MINK1_Q8N4C8,0.5
42,MKNK2_Q9HBH9,0.5
42,NLK_Q9UBE8,0.5
42,NUAK1_O60285,0.5
42,PAK4_O96013,0.5
42,PARP14_Q460N5,0.5
42,PARP1_P09874,0.8538
42,PARP2_Q9UGN5,0.5
42,PARP3_Q9Y6F1,0.5
42,PCAF_Q92831,0.5
42,PD-L1_Q9NZQ7,0.6667
42,PDE4_nan,0.5
42,PDEdelta_O43924,0.5
42,PDK1_Q15118,0.5
42,PDK2_Q15119,1.0
42,PDK3_Q15120,1.0
42,PI3Kalpha_P42336,0.9091
42,PIM2_Q9P1W9,0.5
42,PIP4K2A_P48426,0.5
42,PIP4K2B_P78356,0.5
42,PIP4K2C_Q8TBX8,0.5
42,PLK4_O00444,0.5
42,PRKAA1_Q13131,0.5
42,PRKAA2_P54646,0.5
42,PRKCI_P41743,0.5
42,PTK2B_Q14289,0.5
42,PTK6_Q13882,0.5
42,RAR_nan,0.5
42,RIOK2_Q9BVS4,0.5
42,RIPK1_Q13546,0.5
42,RIPK2_O43353,0.75
42,RPS6KA1_Q15418,0.6667
42,RPS6KA3_P51812,0.5
42,Rpn13_Q16186,0.5
42,SGK3_Q96BR1,1.0
42,SHP2 F285S_Q06124,0.5
42,SHP2_Q06124,0.7857
42,SIK2_Q9H0K1,0.0
42,SLC9A1_P19634,0.5
42,SLC9A2_Q9UBY0,0.5
42,SLC9A7_Q96T83,0.5
42,SOS1_Q07889,0.5
42,STAT3_P40763,0.3
42,STK10_O94804,0.5
42,STK17A_Q9UEE5,0.5
42,STK17B_O94768,0.0
42,STK35_Q8TDR2,0.5
42,STK38_Q15208,0.5
42,STK4_Q13043,0.5
42,SUZ12_Q15022,0.5
42,Src_P12931,0.6667
42,TBCK_Q8TEA7,0.5
42,TEC_P42680,0.5
42,TNK2_Q07912,0.0
42,TRIM24_O15164,0.5
42,TRKA_P04629,0.5
42,TRKB_Q16620,0.5
42,TRKC_Q16288,0.5
42,TYR_P14679,1.0
42,Tau_P10636,0.5
42,ULK1_O75385,0.5
42,ULK3_Q6PHR2,0.5
42,VHL_P40337,0.5
42,WDR5_P61964,0.5
42,Wee1_P30291,0.8125
42,eIF4E_P06730,0.0
42,p38alpha_Q16539,0.5
42,p38delta_O15264,0.2
43,AAK1_Q2M2I8,0.5
43,ABL2_P42684,0.0
43,AKT1_P31749,0.52
43,AKT2_P31751,0.3846
43,AKT3_Q9Y243,0.5417
43,ALK G1202R_Q9UM73,0.5
43,ALK_Q9UM73,0.7401
43,AR L702H and T878A_P10275,0.5
43,AR_P10275,0.6561
43,AURKA_O14965,0.25
43,AURKB_Q96GD4,1.0
43,Alpha-syn_P37840,0.5
43,Alpha-tubulin_nan,0.5
43,BCL-xL_Q07817,0.75
43,BCL2_P10415,0.5
43,BCR-ABL E255K_nan,0.5
43,BCR-ABL E255V_nan,0.5
43,BCR-ABL G250E_nan,0.5
43,BCR-ABL T315I_nan,0.5
43,BCR-ABL_nan,0.6132
43,BLK_P51451,0.3333
43,BMP2K_Q9NSY1,0.5
43,BRAF V600E_P15056,0.5
43,BRAF_P15056,0.5
43,BRD2 BD2_P25440,0.5
43,BRD2_P25440,0.6901
43,BRD3 BD1_Q15059,0.5
43,BRD3_Q15059,0.4231
43,BRD4 BD1_O60885,0.25
43,BRD4_O60885,0.5609
43,BRD7_Q9NPI1,0.5
43,BRD9_Q9H8M2,1.0
43,BTK C481S_Q06187,1.0
43,BTK_Q06187,0.6611
43,BUB1B_O60566,0.5
43,Beta-tubulin_P07437,0.5
43,CDK11B_P21127,0.5
43,CDK12 C1039F_Q9NYV4,0.5
43,CDK12_Q9NYV4,0.75
43,CDK13_Q14004,0.5
43,CDK14_O94921,0.5
43,CDK16_Q00536,0.5
43,CDK17_Q00537,0.5
43,CDK2_P24941,0.6939
43,CDK4_P11802,0.5913
43,CDK5_Q00535,0.5
43,CDK6_Q00534,0.7332
43,CDK7_P50613,0.5
43,CDK8_P49336,0.5
43,CDK9_P50750,0.75
43,CLK1_P49759,1.0
43,COQ8A_Q8NI60,0.5
43,COQ8B_Q96D53,0.5
43,CRABP-II_P29373,0.5
43,CRABP-I_P29762,0.5
43,CRBN_Q96SW2,0.2333
43,CSK_P41240,0.5
43,CSNK1A1_P48729,0.5
43,CSNK1D_P48730,0.5
43,CSNK1E_P49674,0.5
43,Cdc20_Q12834,0.5
43,EED_O75530,0.0
43,EEF2K_O00418,0.5
43,EGFR L858R/T790M_P00533,0.7389
43,EGFR L858R_P00533,1.0
43,EGFR del19/T790M/C797S_P00533,0.5
43,EGFR e19d_P00533,0.7091
43,EGFR_P00533,0.5
43,EML4-ALK G1202R_nan,0.5
43,EML4-ALK_nan,0.5
43,EPHA3_P29320,0.5
43,ERRalpha_P11474,0.25
43,ER_P03372,0.2432
43,FAK_Q05397,0.84
43,FER_P16591,0.875
43,FGFR2_P21802,1.0
43,FGFR3-TACC3_nan,0.5
43,FKBP12_P62942,0.0
43,FLT3-ITD-D835V_P36888,0.5
43,FLT3-ITD-F691L_P36888,1.0
43,FLT3-ITD_P36888,1.0
43,FLT3_P36888,0.9524
43,GAK_O14976,1.0
43,GCN5_Q92830,0.5
43,GSK-3beta_P49841,0.9333
43,GSK3A_P49840,0.5
43,HASPIN_Q8TF76,0.5
43,HDAC1_Q13547,0.4444
43,HDAC2_Q92769,0.0
43,HDAC3_O15379,0.5
43,HDAC6_Q9UBN7,0.0
43,HPGDS_O60760,0.5
43,HSP90_nan,1.0
43,IGF-1R_P08069,0.7333
43,IRAK1_P51617,0.875
43,IRAK3_Q9Y616,1.0
43,IRAK4_Q9NWZ3,1.0
43,ITK_Q08881,0.5
43,JAK1_P23458,0.875
43,JAK2 R683G_O60674,0.5
43,JAK2_O60674,0.875
43,JAK3_P52333,0.5
43,KRAS G12C_P01116,0.5
43,LCK_P06239,0.5
43,LIMK1_P53667,0.0
43,LIMK2_P53671,0.0
43,MAP3K11_Q16584,0.5
43,MAP3K1_Q13233,0.5
43,MAP3K20_Q9NYL2,0.5
43,MAP4K1_Q92918,0.5
43,MAP4K2_Q12851,0.5
43,MAPK6_Q16659,0.5
43,MAPK7_Q13164,0.0
43,MARK4_Q96L34,0.0
43,MAST3_O60307,0.5
43,MCL1_Q07820,0.5
43,MDM2_Q00987,0.75
43,MEK1_Q02750,0.4444
43,MEK2_P36507,0.5
43,MIF_P14174,0.5
43,MINK1_Q8N4C8,0.5
43,MKNK2_Q9HBH9,0.5
43,NLK_Q9UBE8,0.5
43,NUAK1_O60285,0.5
43,PAK4_O96013,0.5
43,PARP14_Q460N5,0.5
43,PARP1_P09874,0.9
43,PARP2_Q9UGN5,0.5
43,PARP3_Q9Y6F1,0.5
43,PCAF_Q92831,0.5
43,PD-L1_Q9NZQ7,0.6667
43,PDE4_nan,0.5
43,PDEdelta_O43924,0.5
43,PDK1_Q15118,0.5
