target,n,rate,mean_tanimoto,n_fps,n_pairs
P10275,1968,0.7672764227642277,0.15782398065083175,1968,1935528
P03372,1291,0.6537567776917118,0.280119501195774,1291,832695
Q06187,761,0.8685939553219448,0.22025482190785897,761,289180
P01116,722,0.7590027700831025,0.46870434110158343,722,260281
P15056,606,0.8151815181518152,0.3962683407199812,606,183315
P51531,432,0.8402777777777778,0.18251924779770043,432,93096
P00533,402,0.7611940298507462,0.23740930491665013,402,80601
Q9NWZ3,313,0.8466453674121406,0.2295850619156499,313,48828
P51532,271,0.4981549815498155,0.24093235708920605,271,36585
P10636,210,0.37142857142857144,0.3115643801156357,210,21945
O60885,162,0.5,0.5753142342278325,162,13041
P01116/P04049,139,0.7194244604316546,0.9149379547904432,139,9591
Q92793,111,0.7657657657657657,0.50676930468071,111,6105
P14902,109,0.1743119266055046,0.2851937177233551,109,5886
Q07889,91,0.4175824175824176,0.3006625579177347,91,4095
Q92918,91,0.6483516483516484,0.2889162592644587,91,4095
Q92793/Q09472,83,0.8072289156626506,0.6507344158093087,83,3403
Q09472,80,0.6,0.4224380309747207,80,3160
P36969,76,0.19736842105263158,0.31122890670883596,76,2850
Q13422,73,0.3561643835616438,0.19801606097319208,73,2628
P36888,70,0.4857142857142857,0.293224540593413,70,2415
P17706,68,0.47058823529411764,0.2917289238432326,68,2278
Q9BY41,61,0.26229508196721313,0.5070029789416146,61,1830
P18031,59,0.423728813559322,0.29600291521033745,59,1711
Q00534,57,0.5614035087719298,0.549084528342706,57,1596
P09874,57,0.3684210526315789,0.31870721921657563,57,1596
P36897,57,0.40350877192982454,0.46630349637945584,57,1596
P11802,56,0.26785714285714285,0.5225021799395847,56,1540
P51531/P51532,48,0.5625,0.6416086291028078,48,1128
P50750,47,0.46808510638297873,0.26194535899594856,47,1081
Q02750,46,0.15217391304347827,0.31421800670427014,46,1035
O15379,43,0.23255813953488372,0.40285788904300657,43,903
Q9UBN7,39,0.6153846153846154,0.28632555551456795,39,741
P98170,39,0.8461538461538461,0.3464151698773235,39,741
P49336,38,0.18421052631578946,0.40011567669255843,38,703
P43490,36,0.5,0.34081916623570396,36,630
Q9UM73,34,0.5294117647058824,0.34438833797267676,34,561
P25440,32,0.40625,0.45424769742305615,32,496
P01116/Q07889,32,0.3125,0.4764815513252442,32,496
Q15059,31,0.41935483870967744,0.44504283799170025,31,465
Q06124,30,0.5,0.3323027374421602,30,435
P37840,30,0.5333333333333333,0.2982628619311855,30,435
Q9NYV4,28,0.6785714285714286,0.6151840701789304,28,378
P30530,28,0.21428571428571427,0.6707163843852664,28,378
P40337,26,0.38461538461538464,0.33638204354343976,26,325
Q14004,26,0.46153846153846156,0.7016363073829138,26,325
P06239,25,0.76,0.21773912285518957,25,300
P40763,24,0.2916666666666667,0.5307120039181167,24,276
P24941,22,0.3181818181818182,0.3294465551083531,22,231
P49840,22,0.13636363636363635,0.5979787260661269,22,231
Q9Y2I7,21,0.14285714285714285,0.8489010989010989,21,210
P33981,20,0.5,0.5197493767973872,20,190
Q93009,19,0.3157894736842105,0.7709941770124915,19,171
Q08881,19,0.7368421052631579,0.9104143337066068,19,171
Q96SW2,17,0.23529411764705882,0.23579437353069105,17,136
P08581,17,0.29411764705882354,0.3891685361149328,17,136
P15170,17,0.23529411764705882,0.613540546964426,17,136
O60674,14,0.42857142857142855,0.20273116845747569,14,91
Q9Y616,14,0.14285714285714285,0.6953122653743771,14,91
Q5S007,13,0.23076923076923078,0.25801949553984865,13,78
Q16539,12,0.5,0.5497052183946982,12,66
O75530,12,0.4166666666666667,1.0,12,66
P11474,11,0.36363636363636365,0.8744588744588746,11,55
O43924,10,0.1,0.535637227486954,10,45
O60760,10,0.7,0.5173722635840989,10,45
