target,n_linkers,n_overlap,frac_overlap
P10275,1519,3,0.0019749835418038184
P03372,933,6,0.006430868167202572
Q06187,587,39,0.06643952299829642
P01116,575,99,0.17217391304347826
P15056,441,0,0.0
P51531,348,213,0.6120689655172413
P00533,342,1,0.0029239766081871343
Q9NWZ3,253,12,0.04743083003952569
P51532,210,210,1.0
P10636,163,0,0.0
O60885,120,27,0.225
P01116/P04049,100,99,0.99
Q92793,62,62,1.0
P14902,72,0,0.0
Q07889,84,30,0.35714285714285715
Q92918,74,0,0.0
Q92793/Q09472,42,42,1.0
Q09472,50,50,1.0
P36969,64,0,0.0
Q13422,61,60,0.9836065573770492
P36888,57,5,0.08771929824561403
P17706,56,47,0.8392857142857143
Q9BY41,51,7,0.13725490196078433
P18031,47,47,1.0
P09874,37,1,0.02702702702702703
P36897,49,0,0.0
Q00534,52,50,0.9615384615384616
P11802,51,51,1.0
P51531/P51532,28,16,0.5714285714285714
P50750,43,25,0.5813953488372093
Q02750,32,5,0.15625
O15379,30,25,0.8333333333333334
P98170,34,34,1.0
Q9UBN7,28,5,0.17857142857142858
P49336,31,1,0.03225806451612903
P43490,25,0,0.0
Q9UM73,30,2,0.06666666666666667
P01116/Q07889,30,30,1.0
P25440,25,25,1.0
Q15059,24,24,1.0
P37840,22,0,0.0
Q06124,20,0,0.0
P30530,21,7,0.3333333333333333
Q9NYV4,14,12,0.8571428571428571
P40337,23,18,0.782608695652174
Q14004,12,12,1.0
P06239,23,2,0.08695652173913043
P40763,17,0,0.0
P24941,17,12,0.7058823529411765
P49840,13,13,1.0
Q9Y2I7,21,0,0.0
P33981,5,0,0.0
Q08881,15,0,0.0
Q93009,17,0,0.0
P08581,12,0,0.0
P15170,14,0,0.0
Q96SW2,14,7,0.5
O60674,13,8,0.6153846153846154
Q9Y616,9,0,0.0
Q5S007,10,0,0.0
O75530,12,12,1.0
Q16539,11,10,0.9090909090909091
P11474,11,0,0.0
O43924,9,0,0.0
O60760,6,0,0.0
