target,n,mean_conf,base_auroc,top50_auroc,delta
P01116/Q07889,32,0.658,0.4371,0.5818,0.1447
P51532,271,0.5969,0.5926,0.4672,-0.1254
P06239,25,0.5911,0.6316,0.6,-0.0316
P01116/P04049,139,0.5788,0.8226,0.7117,-0.1109
Q96SW2,17,0.5424,0.1346,0.5,0.3654
Q13422,73,0.5392,0.4771,0.466,-0.011
P51531/P51532,48,0.5056,0.6778,0.6953,0.0175
P40337,26,0.4756,0.5573,0.2875,-0.2698
P49840,22,0.4707,0.5789,0.9167,0.3377
O15379,43,0.4631,0.9909,1.0,0.0091
Q09472,80,0.4408,0.7947,0.8711,0.0764
O75530,12,0.4368,0.6381,0.6,-0.0381
Q92793,111,0.4321,0.7779,0.6725,-0.1054
P03372,1291,0.4294,0.5884,0.6,0.0116
Q92793/Q09472,83,0.416,0.9506,0.5,-0.4506
P15056,606,0.3976,0.7255,0.6019,-0.1236
P98170,39,0.3771,0.5497,0.2059,-0.3438
P24941,22,0.3672,0.9333,0.5,-0.4333
Q92918,91,0.3557,0.789,0.4967,-0.2923
P00533,402,0.3468,0.7559,0.4204,-0.3355
Q9UBN7,39,0.3417,0.55,0.3148,-0.2352
P17706,68,0.338,0.803,0.8388,0.0359
P01116,722,0.3356,0.697,0.6106,-0.0864
P09874,57,0.331,0.272,0.2821,0.0101
P11802,56,0.3306,0.748,0.7462,-0.0018
P18031,59,0.3174,0.8975,0.956,0.0586
P50750,47,0.3129,0.8558,0.8375,-0.0183
Q00534,57,0.3095,0.799,0.8605,0.0616
Q9NWZ3,313,0.3082,0.8365,0.5067,-0.3297
P10636,210,0.2901,0.5539,0.3637,-0.1902
P10275,1968,0.2865,0.5117,0.6711,0.1594
Q14004,26,0.2851,0.5744,0.3333,-0.2411
Q06187,761,0.2824,0.7531,0.7516,-0.0015
P15170,17,0.2804,0.3013,0.1429,-0.1584
Q9BY41,61,0.2767,0.3692,0.6816,0.3124
Q93009,19,0.2662,0.5513,0.3333,-0.2179
P51531,432,0.2641,0.5485,0.5703,0.0219
P08581,17,0.2534,0.9444,1.0,0.0556
P49336,38,0.2357,0.5676,0.0882,-0.4794
P36897,57,0.23,0.5516,0.7273,0.1757
P30530,28,0.2261,0.9735,0.9271,-0.0464
Q9Y616,14,0.226,1.0,1.0,0.0
Q5S007,13,0.2254,0.95,0.875,-0.075
O60760,10,0.2181,0.746,0.5,-0.246
P37840,30,0.2051,0.4799,0.8016,0.3217
P36969,76,0.2023,0.8095,0.9118,0.1023
O43924,10,0.194,0.4074,0.5,0.0926
P36888,70,0.1918,0.6631,0.521,-0.1421
O60885,162,0.1899,0.5415,0.5765,0.035
Q9NYV4,28,0.1895,0.7135,0.7846,0.0712
O60674,14,0.1878,0.9583,0.6667,-0.2917
P33981,20,0.1775,0.66,0.3438,-0.3163
P40763,24,0.162,0.3081,0.5278,0.2197
P11474,11,0.1577,0.6905,0.6,-0.0905
Q08881,19,0.1571,0.5667,0.5,-0.0667
Q07889,91,0.1501,0.339,0.2925,-0.0466
Q9UM73,34,0.145,0.7413,0.875,0.1337
P14902,109,0.1437,0.3971,0.5124,0.1153
Q16539,12,0.1342,0.5185,0.6667,0.1481
Q15059,31,0.1304,0.5691,0.625,0.0559
Q02750,46,0.1248,0.6972,1.0,0.3028
Q06124,30,0.1207,0.6689,0.7411,0.0722
P25440,32,0.1116,0.6511,0.8203,0.1692
P43490,36,0.0992,0.5103,0.5974,0.0871
Q9Y2I7,21,0.0989,0.1481,0.1026,-0.0456
