target,n_test,rate,gin_auroc_mean,gin_auroc_std,rf_auroc_mean,rf_auroc_std,delta,gin_seeds,rf_seeds,gin_emb_rf_auroc_mean,gin_emb_rf_seeds
P10275,1968,0.7673,0.5879,0.0161,0.5165,0.0069,0.0714,"[0.6088, 0.5695, 0.5854]","[0.5232, 0.507, 0.5193]",0.8728,"[0.8732, 0.8742, 0.8711]"
P03372,1291,0.6538,0.3855,0.0028,0.5776,0.0206,-0.1922,"[0.3873, 0.3815, 0.3875]","[0.5626, 0.5635, 0.6068]",0.8056,"[0.8153, 0.8068, 0.7948]"
Q06187,761,0.8686,0.5237,0.0039,0.6829,0.0136,-0.1591,"[0.5189, 0.5284, 0.5238]","[0.6655, 0.6986, 0.6846]",0.8415,"[0.8368, 0.842, 0.8456]"
P01116,722,0.759,0.6502,0.0073,0.7054,0.0017,-0.0552,"[0.6605, 0.6442, 0.6459]","[0.7064, 0.7068, 0.703]",0.8914,"[0.8927, 0.891, 0.8905]"
P15056,606,0.8152,0.6041,0.0561,0.7162,0.0057,-0.112,"[0.6284, 0.6575, 0.5266]","[0.7103, 0.7143, 0.7238]",0.7458,"[0.7425, 0.7485, 0.7463]"
P51531,432,0.8403,0.6037,0.0245,0.6528,0.0063,-0.0491,"[0.6291, 0.6113, 0.5706]","[0.6442, 0.6592, 0.6549]",0.7007,"[0.7011, 0.7011, 0.7001]"
O60885,162,0.5,0.6029,0.0338,0.5511,0.009,0.0518,"[0.5707, 0.5884, 0.6496]","[0.5635, 0.5424, 0.5473]",0.7105,"[0.7099, 0.7089, 0.7128]"
Q06124,30,0.5,0.6993,0.066,0.7267,0.0166,-0.0274,"[0.7644, 0.6089, 0.7244]","[0.7444, 0.7311, 0.7044]",0.757,"[0.7556, 0.7289, 0.7867]"
Q9Y2I7,21,0.1429,0.7037,0.0302,0.4444,0.2636,0.2593,"[0.7407, 0.6667, 0.7037]","[0.6667, 0.5926, 0.0741]",0.3827,"[0.3796, 0.4074, 0.3611]"
P36969,76,0.1974,0.7727,0.1809,0.7752,0.0252,-0.0026,"[0.5169, 0.9038, 0.8973]","[0.7803, 0.8033, 0.7421]",0.8749,"[0.8721, 0.8732, 0.8792]"
