target,n,auroc
P10275,1968,0.5231474787202252
P03372,1291,0.598563443847168
Q06187,761,0.6935526979324256
P01116,722,0.6776784965181643
P15056,606,0.6954796847888954
P51531,432,0.6565190774676941
P00533,402,0.7657271241830066
Q9NWZ3,313,0.7827044025157233
P51532,271,0.7022603485838781
P10636,210,0.4953703703703704
O60885,162,0.5464868160341412
P01116/P04049,139,0.8055982905982906
Q92793,111,0.8862745098039215
P14902,109,0.4298245614035087
Q07889,91,0.3769447202912943
Q92918,91,0.7754237288135593
Q92793/Q09472,83,0.9025186567164178
Q09472,80,0.9478081597222222
P36969,76,0.7092896174863389
Q13422,73,0.4649481723949809
P36888,70,0.7445533769063181
P17706,68,0.9014756944444445
Q9BY41,61,0.41828703703703707
P18031,59,0.9572549019607842
P09874,57,0.26719576719576715
P36897,57,0.4752770673486786
Q00534,57,0.8352083333333334
P11802,56,0.7233062330623307
P51531/P51532,48,0.7551440329218106
P50750,47,0.7545454545454545
Q02750,46,0.5860805860805861
O15379,43,1.0
P98170,39,0.5984848484848485
Q9UBN7,39,0.4166666666666667
P49336,38,0.5245775729646697
P43490,36,0.4393004115226337
Q9UM73,34,0.7621527777777778
P01116/Q07889,32,0.45606060606060606
P25440,32,0.9210526315789473
Q15059,31,0.777065527065527
P37840,30,0.5245535714285715
Q06124,30,0.7888888888888889
P30530,28,0.9760101010101011
Q9NYV4,28,0.746588693957115
P40337,26,0.7395833333333334
Q14004,26,0.6517857142857143
P06239,25,0.7076023391812866
P40763,24,0.4005602240896358
P24941,22,0.8857142857142857
P49840,22,0.9473684210526315
Q9Y2I7,21,0.5555555555555555
P33981,20,0.6666666666666666
Q08881,19,0.5619047619047618
Q93009,19,0.4914529914529915
P08581,17,0.9888888888888888
P15170,17,0.36538461538461536
Q96SW2,17,0.08333333333333331
O60674,14,0.9513888888888888
Q9Y616,14,0.7361111111111112
Q5S007,13,0.9499999999999998
O75530,12,0.5190476190476191
Q16539,12,0.8796296296296298
P11474,11,0.5952380952380952
O43924,10,0.3333333333333333
O60760,10,0.746031746031746
