target,n,auroc
P10275,1968,0.5275439332157282
P03372,1291,0.5963413276503706
Q06187,761,0.7004967221381744
P01116,722,0.6933799675587996
P15056,606,0.7035407027183344
P51531,432,0.642851439294127
P00533,402,0.7684617828612925
Q9NWZ3,313,0.7649895178197065
P51532,271,0.6242919389978213
P10636,210,0.5305620305620306
O60885,162,0.5525326423817507
P01116/P04049,139,0.8144017094017094
Q92793,111,0.873604826546003
P14902,109,0.4537037037037037
Q07889,91,0.3711519364448857
Q92918,91,0.7880473163841808
Q92793/Q09472,83,0.9036069651741294
Q09472,80,0.9369574652777777
P36969,76,0.7193078324225866
Q13422,73,0.5591925804691762
P36888,70,0.7204520697167757
P17706,68,0.8852719907407408
Q9BY41,61,0.37407407407407406
P18031,59,0.958627450980392
P09874,57,0.24382716049382713
P36897,57,0.47698209718670076
Q00534,57,0.8433333333333334
P11802,56,0.7173441734417345
P51531/P51532,48,0.7251616696061141
P50750,47,0.7863636363636363
Q02750,46,0.5885225885225885
O15379,43,1.0
P98170,39,0.5008417508417509
Q9UBN7,39,0.4226851851851852
P49336,38,0.533026113671275
P43490,36,0.5195473251028807
Q9UM73,34,0.7413194444444443
P01116/Q07889,32,0.44166666666666665
P25440,32,0.7692307692307692
Q15059,31,0.7763532763532766
P37840,30,0.5401785714285715
Q06124,30,0.6874074074074074
P30530,28,0.9583333333333334
Q9NYV4,28,0.7378167641325536
P40337,26,0.7468750000000001
Q14004,26,0.570436507936508
P06239,25,0.7543859649122807
P40763,24,0.3991596638655462
P24941,22,0.8857142857142858
P49840,22,0.9415204678362573
Q9Y2I7,21,0.43209876543209874
P33981,20,0.5916666666666667
Q08881,19,0.5047619047619047
Q93009,19,0.6538461538461539
P08581,17,0.8861111111111111
P15170,17,0.3076923076923077
Q96SW2,17,0.1314102564102564
O60674,14,0.9444444444444445
Q9Y616,14,0.6944444444444443
Q5S007,13,0.9611111111111111
O75530,12,0.6
Q16539,12,0.8981481481481483
P11474,11,0.6190476190476191
O43924,10,0.7407407407407408
O60760,10,0.7619047619047619
