target,n,rate,auroc
P10275,1968,0.7672764227642277,0.5111394680779279
P03372,1291,0.6537567776917118,0.5999276376475079
Q06187,761,0.8685939553219448,0.6996041351487645
P01116,722,0.7590027700831025,0.7387749251894734
P15056,606,0.8151815181518152,0.7149122807017544
P51531,432,0.8402777777777778,0.6144182270664483
P00533,402,0.7611940298507462,0.7646264524328249
Q9NWZ3,313,0.8466453674121406,0.8025681341719078
P51532,271,0.4981549815498155,0.6425744371822804
P10636,210,0.37142857142857144,0.5189232064232064
O60885,162,0.5,0.5397805212620027
P01116/P04049,139,0.7194244604316546,0.8329487179487179
Q92793,111,0.7657657657657657,0.8281297134238311
P14902,109,0.1743119266055046,0.4220272904483431
Q07889,91,0.4175824175824176,0.2433796756041046
Q92918,91,0.6483516483516484,0.7994350282485877
Q92793/Q09472,83,0.8072289156626506,0.9437189054726368
Q09472,80,0.6,0.908203125
P36969,76,0.19736842105263158,0.7406193078324225
Q13422,73,0.3561643835616438,0.46290234588106927
P36888,70,0.4857142857142857,0.7369281045751634
P17706,68,0.47058823529411764,0.853298611111111
Q9BY41,61,0.26229508196721313,0.3900462962962963
P18031,59,0.423728813559322,0.9272549019607843
Q00534,57,0.5614035087719298,0.8252083333333333
P09874,57,0.3684210526315789,0.28703703703703703
P36897,57,0.40350877192982454,0.5221653878942881
P11802,56,0.26785714285714285,0.7376693766937669
P51531/P51532,48,0.5625,0.6760728982951205
P50750,47,0.46808510638297873,0.7915151515151514
Q02750,46,0.15217391304347827,0.728937728937729
O15379,43,0.23255813953488372,0.9959595959595959
Q9UBN7,39,0.6153846153846154,0.46851851851851856
P98170,39,0.8461538461538461,0.5765993265993266
P49336,38,0.18421052631578946,0.5476190476190476
P43490,36,0.5,0.4907407407407407
Q9UM73,34,0.5294117647058824,0.6851851851851851
P25440,32,0.40625,0.8171390013495277
P01116/Q07889,32,0.3125,0.47575757575757577
Q15059,31,0.41935483870967744,0.7343304843304844
Q06124,30,0.5,0.725925925925926
P37840,30,0.5333333333333333,0.4992559523809524
Q9NYV4,28,0.6785714285714286,0.6491228070175439
P30530,28,0.21428571428571427,0.9734848484848485
P40337,26,0.38461538461538464,0.7385416666666668
Q14004,26,0.46153846153846156,0.5982142857142857
P06239,25,0.76,0.6842105263157894
P40763,24,0.2916666666666667,0.38095238095238093
P24941,22,0.3181818181818182,0.9333333333333332
P49840,22,0.13636363636363635,1.0
Q9Y2I7,21,0.14285714285714285,0.4567901234567901
P33981,20,0.5,0.57
Q93009,19,0.3157894736842105,0.641025641025641
Q08881,19,0.7368421052631579,0.5428571428571428
Q96SW2,17,0.23529411764705882,0.1346153846153846
P08581,17,0.29411764705882354,1.0
P15170,17,0.23529411764705882,0.3076923076923077
O60674,14,0.42857142857142855,0.9444444444444445
Q9Y616,14,0.14285714285714285,0.7222222222222223
Q5S007,13,0.23076923076923078,0.9499999999999998
Q16539,12,0.5,0.9259259259259259
O75530,12,0.4166666666666667,0.46666666666666673
P11474,11,0.36363636363636365,0.5714285714285714
O43924,10,0.1,0.2962962962962963
O60760,10,0.7,0.7936507936507936
