target,n,auroc
P10275,1968,0.5211007162343234
P03372,1291,0.5959313626741026
Q06187,761,0.7128996469994958
P01116,722,0.6811655759711387
P15056,606,0.7092310102178523
P51531,432,0.639630827377863
P00533,402,0.7703227124183006
Q9NWZ3,313,0.7928066037735849
P51532,271,0.6659132171387073
P10636,210,0.5131928256928258
O60885,162,0.55895950820505
P01116/P04049,139,0.7946581196581196
Q92793,111,0.8604826546003016
P14902,109,0.45779727095516565
Q07889,91,0.34773253889440586
Q92918,91,0.7971398305084746
Q92793/Q09472,83,0.9000310945273632
Q09472,80,0.9328342013888888
P36969,76,0.6628415300546449
Q13422,73,0.6078832515002728
P36888,70,0.7027505446623094
P17706,68,0.8988715277777778
Q9BY41,61,0.37291666666666673
P18031,59,0.9554901960784313
P09874,57,0.29497354497354494
P36897,57,0.4697357203751065
Q00534,57,0.8539583333333333
P11802,56,0.7417344173441734
P51531/P51532,48,0.7489711934156378
P50750,47,0.7954545454545455
Q02750,46,0.5860805860805861
O15379,43,0.9959595959595959
P98170,39,0.5269360269360269
Q9UBN7,39,0.4583333333333333
P49336,38,0.5837173579109063
P43490,36,0.45113168724279834
Q9UM73,34,0.6180555555555555
P01116/Q07889,32,0.42196969696969694
P25440,32,0.5998650472334682
Q15059,31,0.6096866096866097
P37840,30,0.5424107142857143
Q06124,30,0.7444444444444445
P30530,28,0.8598484848484849
Q9NYV4,28,0.723196881091618
P40337,26,0.7479166666666668
Q14004,26,0.6666666666666666
P06239,25,0.6973684210526315
P40763,24,0.33753501400560215
P24941,22,0.8857142857142858
P49840,22,0.912280701754386
Q9Y2I7,21,0.5987654320987654
P33981,20,0.7516666666666666
Q08881,19,0.5952380952380952
Q93009,19,0.5213675213675213
P08581,17,0.9472222222222223
P15170,17,0.39423076923076916
Q96SW2,17,0.10256410256410253
O60674,14,0.9444444444444443
Q9Y616,14,0.7222222222222222
Q5S007,13,0.8944444444444444
O75530,12,0.5333333333333333
Q16539,12,0.8564814814814815
P11474,11,0.7261904761904762
O43924,10,0.5925925925925926
O60760,10,0.7777777777777777
