target,n,rate,auroc
P10275,1968,0.7672764227642277,0.5089338905115822
P03372,1291,0.6537567776917118,0.6181860993599598
Q06187,761,0.8685939553219448,0.7012884518406454
P01116,722,0.7590027700831025,0.729713762340241
P15056,606,0.8151815181518152,0.712240336417968
P51531,432,0.8402777777777778,0.6398637228676755
P00533,402,0.7611940298507462,0.7574891067538125
Q9NWZ3,313,0.8466453674121406,0.809433962264151
P51532,271,0.4981549815498155,0.6490105301379812
P10636,210,0.37142857142857144,0.5387367262367262
O60885,162,0.5,0.59170350048265
P01116/P04049,139,0.7194244604316546,0.8340598290598291
Q92793,111,0.7657657657657657,0.8439668174962293
P14902,109,0.1743119266055046,0.4828460038986355
Q07889,91,0.4175824175824176,0.24180734856007943
Q92918,91,0.6483516483516484,0.7971398305084746
Q92793/Q09472,83,0.8072289156626506,0.9477611940298507
Q09472,80,0.6,0.9305555555555557
P36969,76,0.19736842105263158,0.819672131147541
Q13422,73,0.3561643835616438,0.47217675941080195
P36888,70,0.4857142857142857,0.6800108932461875
P17706,68,0.47058823529411764,0.8486689814814815
Q9BY41,61,0.26229508196721313,0.3731481481481482
P18031,59,0.423728813559322,0.9305882352941176
Q00534,57,0.5614035087719298,0.8254166666666666
P09874,57,0.3684210526315789,0.2989417989417989
P36897,57,0.40350877192982454,0.4676044330775788
P11802,56,0.26785714285714285,0.7422764227642277
P51531/P51532,48,0.5625,0.6942974720752498
P50750,47,0.46808510638297873,0.8024242424242424
Q02750,46,0.15217391304347827,0.7191697191697192
O15379,43,0.23255813953488372,0.998989898989899
Q9UBN7,39,0.6153846153846154,0.5310185185185184
P98170,39,0.8461538461538461,0.5740740740740741
P49336,38,0.18421052631578946,0.4969278033794162
P43490,36,0.5,0.330246913580247
Q9UM73,34,0.5294117647058824,0.7418981481481483
P25440,32,0.40625,0.8481781376518218
P01116/Q07889,32,0.3125,0.5015151515151516
Q15059,31,0.41935483870967744,0.7713675213675214
Q06124,30,0.5,0.7022222222222222
P37840,30,0.5333333333333333,0.581845238095238
Q9NYV4,28,0.6785714285714286,0.7017543859649124
P30530,28,0.21428571428571427,0.9696969696969697
P40337,26,0.38461538461538464,0.7145833333333332
Q14004,26,0.46153846153846156,0.625
P06239,25,0.76,0.7076023391812866
P40763,24,0.2916666666666667,0.3109243697478991
P24941,22,0.3181818181818182,0.9365079365079364
P49840,22,0.13636363636363635,1.0
Q9Y2I7,21,0.14285714285714285,0.3333333333333333
P33981,20,0.5,0.61
Q93009,19,0.3157894736842105,0.6068376068376068
Q08881,19,0.7368421052631579,0.6285714285714286
Q96SW2,17,0.23529411764705882,0.17307692307692304
P08581,17,0.29411764705882354,0.9888888888888889
P15170,17,0.23529411764705882,0.5192307692307693
O60674,14,0.42857142857142855,0.9305555555555555
Q9Y616,14,0.14285714285714285,0.8055555555555555
Q5S007,13,0.23076923076923078,0.9499999999999998
Q16539,12,0.5,0.9074074074074074
O75530,12,0.4166666666666667,0.48571428571428577
P11474,11,0.36363636363636365,0.7023809523809524
O43924,10,0.1,0.7407407407407408
O60760,10,0.7,0.7619047619047619
