target,n,activity_rate,auroc,auroc_std
P10275,311,0.3698,0.6040816326530613,0.0428703257327045
Q06187,149,0.557,0.4767859316052087,0.0210736442748537
O60885,139,0.5324,0.5353083853083853,0.007899447994480027
P14902,109,0.1743,0.6046783625730994,0.033249441301025875
P00533,102,0.3725,0.3837719298245614,0.03567653308257965
P03372,80,0.6125,0.5077902128593373,0.028035458184156505
P36969,76,0.1974,0.596903460837887,0.01163761955917184
P51531,68,0.75,0.8073817762399077,0.004708746141451658
Q9BY41,60,0.2667,0.4775094696969697,0.004931976007575671
Q07889,57,0.1579,0.36072530864197533,0.03263168279905943
P51532,53,0.566,0.8101449275362319,0.025606143367751643
Q00534,46,0.4565,0.8488888888888888,0.0008979133729352743
Q02750,46,0.1522,0.8205128205128206,0.007912992305748275
P09874,45,0.2,0.6959876543209876,0.020278192741180114
P11802,45,0.2444,0.7379679144385026,0.008525457428569052
P36888,42,0.2857,0.6555555555555556,0.01587632240692795
P17706,40,0.275,0.6603970741901777,0.009940594352372207
P98170,39,0.8462,0.5,0.01091033787610751
Q9UBN7,39,0.6154,0.4689814814814815,0.10446151686052191
O15379,37,0.2432,0.8174603174603176,0.08177556357710972
P43490,36,0.5,0.3461934156378601,0.048018934280308456
Q9UM73,34,0.5294,0.43460648148148157,0.10173011980420169
P50750,33,0.3939,0.8025641025641027,0.0395154743780063
P18031,31,0.129,0.9907407407407408,0.0075601535271085625
P25440,31,0.3871,0.9298245614035087,0.009474767102935445
Q15059,31,0.4194,0.8105413105413106,0.016489796157820827
Q06124,30,0.5,0.6370370370370372,0.004190262407031368
Q9NYV4,28,0.6786,0.8654970760233917,0.008607954060748393
P40337,26,0.3846,0.69375,0.038527587518556054
Q14004,26,0.4615,0.7757936507936507,0.022049713066361942
P15056,24,0.5,0.8634259259259259,0.031228559174148223
P40763,24,0.2917,0.3067226890756302,0.045383338224144705
Q09472,24,0.625,0.7246913580246913,0.013636248169366939
Q92793,24,0.7917,0.6982456140350877,0.01312862240973317
Q07817,23,0.8696,0.3444444444444445,0.06322114820411688
P24941,22,0.3182,0.9238095238095237,0.02693740118805891
P49840,22,0.1364,0.4385964912280702,0.06365947677507966
Q9Y2I7,21,0.1429,0.4814814814814814,0.04000457221239419
P33981,20,0.5,0.6816666666666666,0.05734883511361752
Q08881,19,0.7368,0.36190476190476195,0.06424160744396211
Q93009,19,0.3158,0.8482905982905984,0.06020941369062125
P08581,17,0.2941,0.03333333333333335,0.013608276348795441
P15170,17,0.2353,0.7948717948717948,0.03951547437800625
Q96SW2,17,0.2353,0.20833333333333334,0.02398498324855089
O60674,14,0.4286,0.7222222222222223,0.051967463705193596
Q5S007,13,0.2308,0.7944444444444444,0.14989708403591162
O75530,12,0.4167,0.5428571428571428,0.08411200825074146
Q16539,12,0.5,0.5277777777777778,0.07856742013183865
P11474,11,0.3636,0.6904761904761906,0.06070261325705699
O43924,10,0.1,1.0,0.0
O60760,10,0.7,0.6031746031746031,0.044895668646764975
Q92918,10,0.5,0.6,0.08640987597877145
