target,n,auroc
P10275,1968,0.5053037971022876
P03372,1291,0.63237185943856
Q06187,761,0.6833988905698437
P01116,722,0.7202138742064491
P15056,606,0.7052547233468286
P51531,432,0.6230553226600657
P00533,402,0.7593216684822077
Q9NWZ3,313,0.7844601677148847
P51532,271,0.6589415395787944
P10636,210,0.4530400155400156
O60885,162,0.5551237108164405
P01116/P04049,139,0.7814102564102564
Q92793,111,0.8354449472096531
P14902,109,0.46189083820662763
Q07889,91,0.39730221780867264
Q92918,91,0.8054378531073446
Q92793/Q09472,83,0.8941231343283581
Q09472,80,0.939453125
P36969,76,0.7389799635701274
Q13422,73,0.48813420621931264
P36888,70,0.7429193899782135
P17706,68,0.8854166666666666
Q9BY41,61,0.39537037037037037
P18031,59,0.9376470588235294
Q00534,57,0.8675
P09874,57,0.2936507936507936
P36897,57,0.4757033248081841
P11802,56,0.702439024390244
P51531/P51532,48,0.7627865961199295
P50750,47,0.7724242424242425
Q02750,46,0.586080586080586
O15379,43,1.0
Q9UBN7,39,0.48009259259259257
P98170,39,0.5471380471380471
P49336,38,0.521505376344086
P43490,36,0.4372427983539095
Q9UM73,34,0.6817129629629629
P25440,32,0.6970310391363023
P01116/Q07889,32,0.5848484848484848
Q15059,31,0.7735042735042735
Q06124,30,0.6933333333333334
P37840,30,0.5669642857142857
Q9NYV4,28,0.7251461988304094
P30530,28,0.9558080808080808
P40337,26,0.6510416666666666
Q14004,26,0.5823412698412698
P06239,25,0.6359649122807017
P40763,24,0.3291316526610644
P24941,22,0.8857142857142858
P49840,22,0.9239766081871346
Q9Y2I7,21,0.34259259259259256
P33981,20,0.7200000000000001
Q93009,19,0.5982905982905983
Q08881,19,0.5142857142857142
Q96SW2,17,0.10897435897435896
P08581,17,1.0
P15170,17,0.32692307692307687
O60674,14,0.9305555555555555
Q9Y616,14,0.6527777777777777
Q5S007,13,0.9277777777777779
Q16539,12,0.888888888888889
O75530,12,0.48095238095238096
P11474,11,0.5714285714285714
O43924,10,0.0
O60760,10,0.7936507936507936
