target,n,auroc
P10275,311,0.5986468500443656
Q06187,149,0.45828769623950344
O60885,139,0.5420997920997921
P14902,109,0.6428849902534113
P00533,102,0.39281798245614025
P03372,80,0.6076366030283081
P36969,76,0.7763205828779599
P51531,68,0.8073817762399078
Q9BY41,60,0.4616477272727273
Q07889,57,0.4737654320987654
P51532,53,0.8410628019323672
Q00534,46,0.8317460317460318
Q02750,46,0.8156288156288157
P09874,45,0.5637860082304527
P11802,45,0.7286096256684491
P36888,42,0.49259259259259264
P17706,40,0.667189132706374
P98170,39,0.601851851851852
Q9UBN7,39,0.3671296296296296
O15379,37,0.9589947089947092
P43490,36,0.34259259259259256
Q9UM73,34,0.6956018518518517
P50750,33,0.8153846153846153
P18031,31,0.9691358024691358
P25440,31,0.9254385964912281
Q15059,31,0.7891737891737892
Q06124,30,0.5125925925925926
Q9NYV4,28,0.8752436647173489
P40337,26,0.7666666666666666
Q14004,26,0.7361111111111112
P15056,24,0.8310185185185185
P40763,24,0.35294117647058815
Q09472,24,0.7111111111111111
Q92793,24,0.7508771929824561
Q07817,23,0.6277777777777778
P24941,22,0.9428571428571427
P49840,22,0.9298245614035089
Q9Y2I7,21,0.4074074074074074
P33981,20,0.6233333333333333
Q08881,19,0.48095238095238096
Q93009,19,0.782051282051282
P08581,17,0.9222222222222222
P15170,17,0.5769230769230769
Q96SW2,17,0.1987179487179487
O60674,14,0.923611111111111
Q5S007,13,0.7277777777777779
O75530,12,0.5904761904761905
Q16539,12,0.8796296296296297
P11474,11,0.7976190476190476
O43924,10,0.14814814814814817
O60760,10,0.3650793650793651
Q92918,10,0.49333333333333335
