target,n,auroc
P10275,1968,0.5472242305059911
P03372,1291,0.6119420853787405
Q06187,761,0.6998234997478567
P01116,722,0.6628177699471433
P15056,606,0.703507566994409
P51531,432,0.65900107797341
P00533,402,0.7529162127814089
Q9NWZ3,313,0.808162997903564
P51532,271,0.6527233115468409
P10636,210,0.571532634032634
O60885,162,0.5910430320581211
P01116/P04049,139,0.8095726495726496
Q92793,111,0.8782051282051282
P14902,109,0.4360623781676414
Q07889,91,0.35815954981794107
Q92918,91,0.7723340395480226
Q92793/Q09472,83,0.904073383084577
Q09472,80,0.9440104166666666
P36969,76,0.8302367941712204
Q13422,73,0.6453900709219859
P36888,70,0.6880446623093682
P17706,68,0.8776041666666666
Q9BY41,61,0.39282407407407405
P18031,59,0.9550980392156863
P09874,57,0.28108465608465605
P36897,57,0.4168797953964194
Q00534,57,0.8552083333333332
P11802,56,0.7322493224932249
P51531/P51532,48,0.7592592592592592
P50750,47,0.795151515151515
Q02750,46,0.5836385836385837
O15379,43,0.9984848484848485
P98170,39,0.5269360269360269
Q9UBN7,39,0.46388888888888885
P49336,38,0.5583717357910906
P43490,36,0.3389917695473252
Q9UM73,34,0.7760416666666666
P01116/Q07889,32,0.5113636363636364
P25440,32,0.9183535762483132
Q15059,31,0.9017094017094017
P37840,30,0.6257440476190476
Q06124,30,0.7200000000000001
P30530,28,0.9873737373737373
Q9NYV4,28,0.7592592592592592
P40337,26,0.7479166666666667
Q14004,26,0.6468253968253967
P06239,25,0.7719298245614036
P40763,24,0.33893557422969184
P24941,22,0.8857142857142858
P49840,22,0.9941520467836257
Q9Y2I7,21,0.5339506172839507
P33981,20,0.64
Q08881,19,0.6
Q93009,19,0.561965811965812
P08581,17,0.8583333333333334
P15170,17,0.36858974358974356
Q96SW2,17,0.11217948717948716
O60674,14,0.9444444444444443
Q9Y616,14,0.75
Q5S007,13,0.9055555555555556
O75530,12,0.38095238095238093
Q16539,12,0.8425925925925927
P11474,11,0.613095238095238
O43924,10,0.8518518518518517
O60760,10,0.6984126984126986
