target,n,activity_rate,auroc,auroc_std
P10275,311,0.3698,0.5623040520556047,0.020386936588182383
Q06187,149,0.557,0.47307411464037963,0.017253638342263653
O60885,139,0.5324,0.5548163548163548,0.01751640648117316
P14902,109,0.1743,0.6730994152046783,0.03516155324598606
P00533,102,0.3725,0.35594846491228066,0.012208470910988698
P03372,80,0.6125,0.5491551459293394,0.05486043449594032
P36969,76,0.1974,0.6448087431693988,0.04885135877295521
P51531,68,0.75,0.7993079584775087,0.0032961222990162153
Q9BY41,60,0.2667,0.43087121212121215,0.0449536399674921
Q07889,57,0.1579,0.3371913580246914,0.03119040575834529
P51532,53,0.566,0.8207729468599033,0.013021093692699071
Q00534,46,0.4565,0.8333333333333334,0.010969620662330771
Q02750,46,0.1522,0.746031746031746,0.07352414758156091
P09874,45,0.2,0.6651234567901234,0.12113951794315037
P11802,45,0.2444,0.7335115864527628,0.002747065063711682
P36888,42,0.2857,0.6458333333333334,0.06426019318352179
P17706,40,0.275,0.6593521421107628,0.0007388785592335958
P98170,39,0.8462,0.49747474747474746,0.007434142143373612
Q9UBN7,39,0.6154,0.45601851851851855,0.01822687007873105
O15379,37,0.2432,0.8690476190476191,0.009720197391996704
P43490,36,0.5,0.25205761316872427,0.025242477667459445
Q9UM73,34,0.5294,0.3634259259259259,0.03189702263777933
P50750,33,0.3939,0.8717948717948718,0.01102862213723414
P18031,31,0.129,0.9074074074074074,0.0378007676355429
P25440,31,0.3871,0.9283625730994153,0.00901230117393128
Q15059,31,0.4194,0.8133903133903133,0.023232915142877612
Q06124,30,0.5,0.6637037037037037,0.04566232594791836
Q9NYV4,28,0.6786,0.8567251461988304,0.01894953420587091
P40337,26,0.3846,0.6395833333333333,0.02124591463996991
Q14004,26,0.4615,0.7579365079365079,0.02066732803174571
P15056,24,0.5,0.8495370370370371,0.0065472850109866065
P40763,24,0.2917,0.41036414565826335,0.02917740428011154
Q09472,24,0.625,0.6975308641975309,0.024255410746158633
Q92793,24,0.7917,0.7298245614035088,0.009924305700863828
Q07817,23,0.8696,0.45555555555555555,0.054997194092287004
P24941,22,0.3182,0.9047619047619048,0.026937401188058933
P49840,22,0.1364,0.42397660818713456,0.020675636876799634
Q9Y2I7,21,0.1429,0.4814814814814814,0.10903408476947961
P33981,20,0.5,0.5916666666666668,0.1222247474486607
Q08881,19,0.7368,0.4333333333333333,0.08438116736509213
Q93009,19,0.3158,0.8504273504273504,0.05952302682557312
P08581,17,0.2941,0.0666666666666667,0.023570226039551594
P15170,17,0.2353,0.7115384615384617,0.07850928662766596
Q96SW2,17,0.2353,0.22435897435897437,0.018130943107347374
O60674,14,0.4286,0.6527777777777777,0.03540985773328324
Q5S007,13,0.2308,0.9611111111111112,0.03142696805273544
O75530,12,0.4167,0.4761904761904763,0.09428090415820635
Q16539,12,0.5,0.47222222222222227,0.10393492741038728
P11474,11,0.3636,0.41666666666666674,0.18113242922265405
O43924,10,0.1,1.0,0.0
O60760,10,0.7,0.6269841269841271,0.07360014678964845
Q92918,10,0.5,0.34,0.19252705437591536
