target,n,auroc
P10275,1968,0.5280818319403877
P03372,1291,0.6043069294683532
Q06187,761,0.6774205748865354
P01116,722,0.6617602846994993
P15056,606,0.6922293715056872
P51531,432,0.6663073421966703
P00533,402,0.7814202069716775
Q9NWZ3,313,0.8065513626834381
P51532,271,0.6513253449527959
P10636,210,0.5789303289303289
O60885,162,0.5987908347304781
P01116/P04049,139,0.794102564102564
Q92793,111,0.8806184012066365
P14902,109,0.44288499025341127
Q07889,91,0.3373882820258192
Q92918,91,0.779837570621469
Q92793/Q09472,83,0.9046952736318407
Q09472,80,0.9457465277777778
P36969,76,0.7905282331511841
Q13422,73,0.5947899618112384
P36888,70,0.6866830065359477
P17706,68,0.8912037037037037
Q9BY41,61,0.3703703703703704
P18031,59,0.9592156862745099
P09874,57,0.2638888888888889
P36897,57,0.44543904518329075
Q00534,57,0.8635416666666668
P11802,56,0.7379403794037941
P51531/P51532,48,0.7651381540270429
P50750,47,0.8293939393939395
Q02750,46,0.6379731379731379
O15379,43,0.98989898989899
P98170,39,0.5244107744107745
Q9UBN7,39,0.4143518518518518
P49336,38,0.6359447004608295
P43490,36,0.441358024691358
Q9UM73,34,0.7239583333333334
P01116/Q07889,32,0.47272727272727266
P25440,32,0.7408906882591092
Q15059,31,0.8119658119658121
P37840,30,0.6116071428571429
Q06124,30,0.7192592592592594
P30530,28,0.8623737373737373
Q9NYV4,28,0.7309941520467836
P40337,26,0.7125
Q14004,26,0.697420634920635
P06239,25,0.7119883040935672
P40763,24,0.4579831932773109
P24941,22,0.8873015873015874
P49840,22,0.9093567251461989
Q9Y2I7,21,0.43209876543209874
P33981,20,0.5833333333333334
Q08881,19,0.5738095238095239
Q93009,19,0.5448717948717948
P08581,17,0.8444444444444446
P15170,17,0.5512820512820512
Q96SW2,17,0.21474358974358973
O60674,14,0.9513888888888888
Q9Y616,14,0.6944444444444445
Q5S007,13,0.9611111111111111
O75530,12,0.5904761904761905
Q16539,12,0.8101851851851852
P11474,11,0.7559523809523809
O43924,10,0.6296296296296297
O60760,10,0.8968253968253969
