target_uniprot,target_name,n,n_pos,mean_auroc_linker,mean_auroc_full,auroc_linker_s42,auroc_linker_s43,auroc_linker_s44
O60674,JAK2,10,2,0.5000,0.2604,0.5000,0.5000,0.5000
O60885,BRD4,62,34,0.4828,0.4788,0.4947,0.4538,0.5000
P00533,EGFR,24,6,0.3704,0.3565,0.3194,0.3333,0.4583
P09874,PARP1,36,10,0.4936,0.5090,0.5731,0.4577,0.4500
P10275,AR,121,39,0.3984,0.3458,0.3718,0.4589,0.3646
P11474,ERRalpha,10,4,0.3750,0.3958,0.2500,0.1667,0.7083
P11802,CDK4,71,24,0.4507,0.3880,0.4521,0.4473,0.4526
P12931,Src,10,4,0.4792,0.3333,0.4375,0.5000,0.5000
P24941,CDK2,14,7,0.6190,0.2653,0.5714,0.6429,0.6429
P25440,BRD2,28,19,0.4259,0.5750,0.3947,0.5175,0.3655
P30291,Wee1,12,4,0.5208,0.4948,0.5000,0.5000,0.5625
P31749,AKT1,30,5,0.6520,0.5747,0.6480,0.6480,0.6600
P31751,AKT2,30,4,0.5929,0.5881,0.5000,0.8558,0.4231
P36888,FLT3,31,16,0.7076,0.4361,0.8771,0.6229,0.6229
Q00534,CDK6,62,28,0.4645,0.4347,0.4727,0.3860,0.5347
Q00987,MDM2,15,3,0.1296,0.6019,0.1389,0.0833,0.1667
Q02750,MEK1,33,6,0.5556,0.5360,0.7099,0.4630,0.4938
Q05397,FAK,15,10,0.9000,0.4000,0.8900,0.9000,0.9100
Q06187,BTK,64,29,0.5649,0.5103,0.6025,0.5010,0.5911
Q07817,BCL-xL,29,16,0.5617,0.5072,0.6202,0.3990,0.6659
Q15059,BRD3,21,13,0.6731,0.5385,0.6538,0.6731,0.6923
Q96SW2,CRBN,17,5,0.5139,0.5611,0.5833,0.5000,0.4583
Q9NYV4,CDK12,10,2,0.5000,0.3542,0.5625,0.4375,0.5000
Q9UM73,ALK,57,28,0.3668,0.4124,0.3633,0.3695,0.3676
Q9Y243,AKT3,28,4,0.8403,0.3559,0.7917,0.8333,0.8958
Q9Y616,IRAK3,12,2,0.6750,0.5167,0.6750,0.6000,0.7500
