TPD ID	Activity Type	Target Symbols	Target IDs	Cell Line	Activity
TPD-S8O3RK	Cell viability_1	.	.	CWR22RV1	+++
TPD-UUBKDB	Cell viability_1	.	.	CWR22RV1	+
TPD-45WEMQ	Cell viability_1	.	.	CWR22RV1	++
TPD-DI6CID	Cell viability_1	.	.	CWR22RV1	+
TPD-TEV980	Cell viability_1	.	.	CWR22RV1	-
TPD-SFP28C	Cell viability_1	.	.	CWR22RV1	-
TPD-U5N0HH	Cell viability_1	.	.	CWR22RV1	-
TPD-9OOM53	Cell viability_1	.	.	CWR22RV1	+++
TPD-O9IIW5	Cell viability_1	.	.	CWR22RV1	++
TPD-4I8LC7	Cell viability_1	.	.	CWR22RV1	+++
TPD-0HK63C	Cell viability_1	.	.	CWR22RV1	+++
TPD-MB0ESI	Cell viability_1	.	.	CWR22RV1	-
TPD-COCE7G	Cell viability_1	.	.	CWR22RV1	+++
TPD-DXI1C9	Cell viability_1	.	.	CWR22RV1	+++
TPD-3SSGQ7	Cell viability_1	.	.	CWR22RV1	+++
TPD-N1V0YU	Cell viability_1	.	.	CWR22RV1	-
TPD-YR4VER	Cell viability_1	.	.	CWR22RV1	+
TPD-4H1DK5	Cell viability_1	.	.	CWR22RV1	+
TPD-ON5B9A	Cell viability_1	.	.	CWR22RV1	-
TPD-7HPVGA	Cell viability_1	.	.	CWR22RV1	+
TPD-0VAKHK	Cell viability_1	.	.	CWR22RV1	+++
TPD-MI9NCI	Cell viability_1	.	.	CWR22RV1	+++
TPD-4JYITD	Cell viability_1	.	.	CWR22RV1	+++
TPD-BWH55T	Cell viability_1	.	.	CWR22RV1	+++
TPD-Y32ZLH	Cell viability_1	.	.	CWR22RV1	++
TPD-HKRG14	Cell viability_1	.	.	CWR22RV1	++
TPD-CI1JIU	Cell viability_1	.	.	CWR22RV1	+
TPD-IZUG2W	Cell viability_1	.	.	CWR22RV1	+++
TPD-G9BR2U	Cell viability_1	.	.	CWR22RV1	+++
TPD-VOY34R	Cell viability_1	.	.	CWR22RV1	+
TPD-3ZWLX3	Cell viability_1	.	.	CWR22RV1	-
TPD-VDOEHT	Cell viability_1	.	.	CWR22RV1	-
TPD-GWL7CY	Cell viability_1	.	.	CWR22RV1	-
TPD-ZIRB7F	Cell viability_1	.	.	CWR22RV1	++
TPD-KMNKMG	Cell viability_1	.	.	CWR22RV1	+++
TPD-SEHKPQ	Cell viability_1	.	.	CWR22RV1	+++
