target,n_entries,random_auroc,dataset
P10275,1968,0.9162417941525203,merged
P03372,1291,0.879173425787504,merged
Q06187,761,0.8907715582450833,merged
P01116,722,0.9121360852420505,merged
P15056,606,0.8182836899942163,merged
P51531,432,0.7487723080608456,merged
P00533,402,0.8592388344226579,merged
Q9NWZ3,313,0.9537735849056603,merged
P51532,271,0.834776688453159,merged
P10636,210,0.7944832944832945,merged
O60885,162,0.7755677488187777,merged
P01116/P04049,139,0.8196153846153846,merged
Q92793,111,0.8056561085972851,merged
P14902,109,0.681578947368421,merged
Q07889,91,0.8147964250248262,merged
Q92918,91,0.8569915254237288,merged
Q92793/Q09472,83,0.9682835820895522,merged
Q09472,80,0.8997395833333333,merged
P36969,76,0.8590163934426229,merged
Q13422,73,0.8436988543371522,merged
P36888,70,0.8382352941176471,merged
P17706,68,0.8502604166666667,merged
Q9BY41,61,0.7749999999999999,merged
P18031,59,0.9317647058823529,merged
Q00534,57,0.9025,merged
P09874,57,0.8968253968253969,merged
P36897,57,0.6393861892583119,merged
P11802,56,0.7821138211382114,merged
P51531/P51532,48,0.6596119929453264,merged
P50750,47,0.749090909090909,merged
Q02750,46,0.9743589743589745,merged
O15379,43,1.0,merged
Q9UBN7,39,0.6458333333333334,merged
P98170,39,0.5606060606060606,merged
P49336,38,0.532258064516129,merged
P43490,36,0.7777777777777778,merged
Q9UM73,34,0.875,merged
P25440,32,0.8076923076923076,merged
P01116/Q07889,32,0.4545454545454546,merged
Q15059,31,0.8055555555555556,merged
Q06124,30,0.6222222222222222,merged
P37840,30,0.8058035714285714,merged
Q9NYV4,28,0.7923976608187135,merged
P30530,28,0.9166666666666666,merged
P40337,26,0.6749999999999999,merged
Q14004,26,0.7113095238095238,merged
P06239,25,0.37719298245614036,merged
P40763,24,0.13445378151260506,merged
P24941,22,0.980952380952381,merged
P49840,22,0.8333333333333334,merged
Q9Y2I7,21,0.712962962962963,merged
P33981,20,0.645,merged
Q93009,19,0.717948717948718,merged
Q08881,19,0.6,merged
Q96SW2,17,0.11538461538461534,merged
P08581,17,1.0,merged
P15170,17,0.2692307692307692,merged
O60674,14,1.0,merged
Q9Y616,14,0.9166666666666666,merged
Q5S007,13,0.9,merged
Q16539,12,0.888888888888889,merged
O75530,12,0.1142857142857143,merged
P11474,11,0.3928571428571429,merged
O43924,10,1.0,merged
O60760,10,0.7142857142857143,merged
P10275,123,0.8524096385542169,dm
P00533,88,0.9056547619047619,dm
Q06187,72,0.7884920634920635,dm
P11802,71,0.859485815602837,dm
O60885,67,0.720508166969147,dm
Q00534,62,0.8760504201680672,dm
Q9UM73,58,0.6202380952380953,dm
P36888,43,0.9710648148148149,dm
P09874,36,0.7403846153846154,dm
Q02750,33,0.6203703703703705,dm
P31749,30,0.656,dm
P31751,30,0.9086538461538463,dm
P25440,29,0.6888888888888889,dm
Q07817,29,0.5432692307692307,dm
Q9Y243,28,0.875,dm
Q15059,22,0.5446428571428571,dm
Q06124,18,0.8928571428571429,dm
Q96SW2,17,0.4583333333333334,dm
Q00987,15,0.7222222222222222,dm
Q05397,15,0.92,dm
P24941,14,0.8571428571428572,dm
Q9Y616,12,0.09999999999999998,dm
P30291,12,0.359375,dm
O60674,11,0.7777777777777778,dm
Q9NYV4,11,0.7777777777777778,dm
P11474,10,0.3333333333333333,dm
P12931,10,0.8333333333333334,dm
P10275,311,0.9126885536823426,protac8k
Q06187,149,0.7265425337714495,protac8k
O60885,139,0.7197505197505196,protac8k
P14902,109,0.6868421052631579,protac8k
P00533,102,0.7580180921052632,protac8k
P03372,80,0.8545095457537853,protac8k
P36969,76,0.9103825136612023,protac8k
P51531,68,0.8304498269896194,protac8k
Q9BY41,60,0.8068181818181819,protac8k
Q07889,57,0.4548611111111111,protac8k
P51532,53,0.9115942028985506,protac8k
Q00534,46,0.8742857142857142,protac8k
Q02750,46,0.8021978021978022,protac8k
P11802,45,0.8663101604278075,protac8k
P09874,45,0.7160493827160495,protac8k
P36888,42,0.8111111111111111,protac8k
P17706,40,0.7178683385579938,protac8k
Q9UBN7,39,0.7486111111111111,protac8k
P98170,39,0.6287878787878788,protac8k
O15379,37,1.0,protac8k
P43490,36,0.7314814814814815,protac8k
Q9UM73,34,0.8350694444444444,protac8k
P50750,33,0.7807692307692308,protac8k
P25440,31,0.7807017543859649,protac8k
Q15059,31,0.6901709401709402,protac8k
P18031,31,0.8611111111111112,protac8k
Q06124,30,0.6822222222222223,protac8k
Q9NYV4,28,0.7426900584795322,protac8k
P40337,26,0.765625,protac8k
Q14004,26,0.5833333333333333,protac8k
P15056,24,0.7777777777777779,protac8k
P40763,24,0.07983193277310927,protac8k
Q92793,24,0.6947368421052632,protac8k
Q09472,24,0.7777777777777778,protac8k
Q07817,23,0.8666666666666667,protac8k
P24941,22,0.980952380952381,protac8k
P49840,22,0.912280701754386,protac8k
Q9Y2I7,21,0.6944444444444444,protac8k
P33981,20,0.72,protac8k
Q93009,19,0.7051282051282051,protac8k
Q08881,19,0.6571428571428571,protac8k
Q96SW2,17,0.23076923076923073,protac8k
P08581,17,1.0,protac8k
P15170,17,0.6538461538461539,protac8k
O60674,14,1.0,protac8k
Q5S007,13,0.09999999999999998,protac8k
Q16539,12,0.6666666666666667,protac8k
O75530,12,0.7285714285714286,protac8k
P11474,11,0.2857142857142857,protac8k
O43924,10,1.0,protac8k
O60760,10,0.761904761904762,protac8k
Q92918,10,0.72,protac8k
