target,auroc
O15379,0.9936
O43924,1.0
O60674,1.0
O60760,1.0
O60885,0.7775
O75530,0.475
P00533,0.8698
P01116,0.889
P03372,0.8663
P06239,0.4917
P08581,1.0
P09874,0.9125
P10275,0.911
P10636,0.7661
P11474,0.5476
P11802,0.8243
P14902,0.7962
P15056,0.7677
P24941,1.0
P25440,0.7434
P30530,0.947
P33981,0.9329
P36888,0.871
P36897,0.5515
P37840,0.721
P40337,0.7812
P40763,0.4988
P49336,0.3569
P49840,0.8032
P50750,0.7884
P51531,0.7825
P51532,0.8124
P98170,0.8595
Q00534,0.9
Q02750,0.9798
Q06124,0.7375
Q06187,0.9142
Q07889,0.856
Q08881,0.8352
Q09472,0.8664
Q14004,0.7052
Q15059,0.7537
Q16539,0.9167
Q5S007,0.6167
Q92793,0.8286
Q92918,0.8887
Q96SW2,0.6357
Q9BY41,0.8325
Q9H8M2,0.8
Q9NWZ3,0.9466
Q9NYV4,0.8418
Q9UBN7,0.6834
Q9UM73,0.8531
Q9Y616,0.9722
