target,auroc,n_test
O15379,1.0,43
O43924,1.0,10
O60674,0.9167,14
O60760,1.0,10
O60885,0.538,162
O75530,0.6,12
P00533,0.8114,402
P01116,0.5995,722
P01116/P04049,0.765,139
P01116/Q07889,0.4545,32
P03372,0.5508,1291
P06239,0.5439,25
P08581,1.0,17
P09874,0.2024,57
P10275,0.5346,1968
P10636,0.5761,210
P11474,0.6071,11
P11802,0.8049,56
P14902,0.4673,109
P15056,0.6652,606
P15170,0.3846,17
P17706,0.8663,68
P18031,0.9606,59
P24941,0.4095,22
P25440,0.917,32
P30530,0.8598,28
P33981,0.86,20
P36888,0.8137,70
P36897,0.5128,57
P36969,0.6383,76
P37840,0.7924,30
P40337,0.8906,26
P40763,0.3697,24
P43490,0.7531,36
P49336,0.2972,38
P49840,0.9474,22
P50750,0.7455,47
P51531,0.5035,432
P51531/P51532,0.7637,48
P51532,0.6092,271
P98170,0.5379,39
Q00534,0.8319,57
Q02750,0.6374,46
Q06124,0.78,30
Q06187,0.6598,761
Q07889,0.5412,91
Q08881,0.8286,19
Q09472,0.9447,80
Q14004,0.8542,26
Q15059,0.8269,31
Q16539,0.9444,12
Q5S007,0.95,13
Q92793,0.8649,111
Q92793/Q09472,0.9459,83
Q92918,0.8008,91
Q93009,0.7564,19
Q96SW2,0.1923,17
Q9BY41,0.4354,61
Q9NWZ3,0.8142,313
Q9NYV4,0.883,28
Q9UBN7,0.5333,39
Q9UM73,0.8802,34
Q9Y2I7,0.7963,21
Q9Y616,0.9167,14
