seed,target,auroc
42,O15379,0.9545454545454546
43,O15379,0.9575757575757575
44,O15379,0.9606060606060606
53,O15379,0.9484848484848485
71,O15379,0.9606060606060606
42,O43924,1.0
43,O43924,1.0
44,O43924,0.888888888888889
53,O43924,0.5555555555555556
71,O43924,0.8888888888888888
42,O60674,0.9791666666666666
43,O60674,0.9583333333333334
44,O60674,1.0
53,O60674,1.0
71,O60674,0.9791666666666666
42,O60760,0.8095238095238095
43,O60760,0.9047619047619049
44,O60760,0.9047619047619049
53,O60760,0.8095238095238095
71,O60760,0.5238095238095238
42,O60885,0.5733882030178327
43,O60885,0.47142203932327387
44,O60885,0.49382716049382713
53,O60885,0.525224813290657
71,O60885,0.4823959762231367
42,O75530,0.5428571428571428
43,O75530,0.7428571428571429
44,O75530,0.7428571428571429
53,O75530,0.8
71,O75530,0.4285714285714286
42,P00533,0.7176947167755992
43,P00533,0.7222222222222222
44,P00533,0.7133374183006536
53,P00533,0.79255174291939
71,P00533,0.7493191721132897
42,P01116,0.6907248930279385
43,P01116,0.6955805856195989
44,P01116,0.6324041446430069
53,P01116,0.5611943116033224
71,P01116,0.6738191123416395
42,P01116/P04049,0.8073076923076924
43,P01116/P04049,0.8155128205128205
44,P01116/P04049,0.8221794871794872
53,P01116/P04049,0.8226923076923078
71,P01116/P04049,0.8306410256410256
42,P01116/Q07889,0.40909090909090917
43,P01116/Q07889,0.4636363636363636
44,P01116/Q07889,0.475
53,P01116/Q07889,0.5636363636363636
71,P01116/Q07889,0.3522727272727273
42,P03372,0.5742469544196698
43,P03372,0.6132245512473891
44,P03372,0.5488406119787526
53,P03372,0.6389913801329559
71,P03372,0.5857851712840739
42,P06239,0.5789473684210527
43,P06239,0.5614035087719298
44,P06239,0.40350877192982454
53,P06239,0.45614035087719296
71,P06239,0.5877192982456141
42,P08581,0.8
43,P08581,1.0
44,P08581,0.8166666666666667
53,P08581,0.25
71,P08581,0.23333333333333334
42,P09874,0.15873015873015872
43,P09874,0.47089947089947093
44,P09874,0.3677248677248677
53,P09874,0.36772486772486773
71,P09874,0.2367724867724868
42,P10275,0.5163560253332948
43,P10275,0.5038079470198675
44,P10275,0.422588131524914
53,P10275,0.47563477833367074
71,P10275,0.5248380519968767
42,P10636,0.5816822066822066
43,P10636,0.2787975912975913
44,P10636,0.5820221445221444
53,P10636,0.46013014763014765
71,P10636,0.5299630924630925
42,P11474,0.5
43,P11474,0.5
44,P11474,0.6428571428571429
53,P11474,0.32142857142857145
71,P11474,0.7857142857142857
42,P11802,0.7284552845528455
43,P11802,0.7463414634146341
44,P11802,0.7479674796747967
53,P11802,0.7317073170731707
71,P11802,0.7658536585365854
42,P14902,0.5760233918128655
43,P14902,0.4853801169590643
44,P14902,0.5029239766081871
53,P14902,0.660233918128655
71,P14902,0.5619883040935673
42,P15056,0.7022303354540197
43,P15056,0.6263917004048583
44,P15056,0.6630277617119722
53,P15056,0.6798727588201272
71,P15056,0.6655942741469058
42,P15170,0.28846153846153844
43,P15170,0.17307692307692304
44,P15170,0.11538461538461539
53,P15170,0.6153846153846154
71,P15170,0.28846153846153844
42,P17706,0.8394097222222222
43,P17706,0.8342013888888888
44,P17706,0.8298611111111109
53,P17706,0.828125
71,P17706,0.8524305555555555
42,P18031,0.8935294117647058
43,P18031,0.8982352941176471
44,P18031,0.918235294117647
53,P18031,0.8935294117647059
71,P18031,0.9005882352941176
42,P24941,0.7619047619047619
43,P24941,0.18095238095238095
44,P24941,0.9238095238095239
53,P24941,0.4095238095238095
71,P24941,0.5428571428571428
42,P25440,0.694331983805668
43,P25440,0.7105263157894737
44,P25440,0.6255060728744939
53,P25440,0.6862348178137653
71,P25440,0.6578947368421052
42,P30530,0.8068181818181818
43,P30530,0.8371212121212122
44,P30530,0.6780303030303031
53,P30530,0.9431818181818182
71,P30530,0.9621212121212122
42,P33981,0.8
43,P33981,0.6900000000000001
44,P33981,0.92
53,P33981,0.63
71,P33981,0.69
42,P36888,0.8014705882352942
43,P36888,0.727124183006536
44,P36888,0.7483660130718954
53,P36888,0.704248366013072
71,P36888,0.494281045751634
42,P36897,0.4207161125319693
43,P36897,0.479539641943734
44,P36897,0.6930946291560103
53,P36897,0.6636828644501278
71,P36897,0.4910485933503837
42,P36969,0.7704918032786885
43,P36969,0.86448087431694
44,P36969,0.8284153005464481
53,P36969,0.6174863387978141
71,P36969,0.5180327868852459
42,P37840,0.6227678571428571
43,P37840,0.5959821428571429
44,P37840,0.39062500000000006
53,P37840,0.44419642857142855
71,P37840,0.6629464285714286
42,P40337,0.30312500000000003
43,P40337,0.528125
44,P40337,0.553125
53,P40337,0.665625
71,P40337,0.740625
42,P40763,0.40336134453781514
43,P40763,0.4621848739495798
44,P40763,0.29411764705882354
53,P40763,0.42857142857142855
71,P40763,0.2689075630252101
42,P43490,0.6296296296296297
43,P43490,0.2438271604938272
44,P43490,0.3240740740740741
53,P43490,0.29012345679012347
71,P43490,0.617283950617284
42,P49336,0.4400921658986175
43,P49336,0.4354838709677419
44,P49336,0.5
53,P49336,0.49078341013824883
71,P49336,0.5230414746543779
42,P49840,0.6315789473684211
43,P49840,0.8421052631578947
44,P49840,0.8947368421052632
53,P49840,0.8947368421052632
71,P49840,0.8947368421052632
42,P50750,0.6381818181818182
43,P50750,0.38
44,P50750,0.4490909090909091
53,P50750,0.3290909090909091
71,P50750,0.6363636363636364
42,P51531,0.6037848844172955
43,P51531,0.5734818541142651
44,P51531,0.5812272926897433
53,P51531,0.5655367908332336
71,P51531,0.5615043717810517
42,P51531/P51532,0.6701940035273368
43,P51531/P51532,0.6525573192239859
44,P51531/P51532,0.6490299823633158
53,P51531/P51532,0.6225749559082893
71,P51531/P51532,0.6437389770723103
42,P51532,0.5615468409586057
43,P51532,0.5842592592592593
44,P51532,0.5822440087145969
53,P51532,0.5456971677559913
71,P51532,0.5229302832244008
42,P98170,0.5429292929292929
43,P98170,0.6035353535353536
44,P98170,0.5378787878787878
53,P98170,0.5277777777777778
71,P98170,0.5378787878787878
42,Q00534,0.828125
43,Q00534,0.788125
44,Q00534,0.855625
53,Q00534,0.783125
71,Q00534,0.824375
42,Q02750,0.6373626373626373
43,Q02750,0.7252747252747251
44,Q02750,0.5934065934065934
53,Q02750,0.6043956043956044
71,Q02750,0.5714285714285714
42,Q06124,0.5311111111111111
43,Q06124,0.5177777777777779
44,Q06124,0.7488888888888888
53,Q06124,0.7355555555555555
71,Q06124,0.46
42,Q06187,0.6743116490166414
