target,auroc
P10275,0.5658712072705542
P03372,0.6356179329939834
Q06187,0.7161365045687725
P01116,0.7129951639285969
P15056,0.6843414843414842
P51531,0.6193948331421705
P00533,0.7595498911593287
Q9NWZ3,0.8054128963886852
P51532,0.6659411687112518
P10636,0.49881628787878785
O60885,0.5734880450070324
P01116/P04049,0.8248351444227734
Q92793,0.83545054200542
P14902,0.41838931955211023
Q07889,0.35074074074074074
Q92918,0.8499007936507935
Q92793/Q09472,0.9382716049382717
Q09472,0.9137037037037037
P36969,0.8249791144527987
Q13422,0.5677519379844961
P36888,0.7307449494949494
P17706,0.8461279461279462
Q9BY41,0.486449864498645
P18031,0.9417952314165499
P09874,0.3916666666666666
P36897,0.5770609318996415
Q00534,0.8265151515151515
P11802,0.7342342342342342
P51531/P51532,0.6748148148148148
P50750,0.7833333333333332
Q02750,0.7206349206349206
O15379,0.9897828863346104
P98170,0.5919540229885057
Q9UBN7,0.539072039072039
P49336,0.5915637860082305
P43490,0.5499999999999999
Q9UM73,0.8157051282051282
P01116/Q07889,0.4927983539094651
P25440,0.8077651515151515
Q15059,0.7787878787878787
P37840,0.5974025974025974
Q06124,0.7104700854700855
P30530,0.9907407407407408
Q9NYV4,0.6220238095238095
P40337,0.7052469135802469
Q14004,0.6151515151515151
P06239,0.6041666666666666
P40763,0.33547008547008544
P24941,0.904040404040404
P49840,0.9444444444444443
Q9Y2I7,0.7261904761904762
P33981,0.7202380952380952
Q08881,0.7727272727272728
Q93009,0.6518518518518519
P08581,1.0
P15170,0.419753086419753
Q96SW2,0.1358024691358025
O60674,1.0
Q9Y616,0.9166666666666666
Q5S007,0.8055555555555557
O75530,0.625
Q16539,1.0
P11474,0.5925925925925927
O43924,0.5
O60760,0.8333333333333334
