target,random_auroc,n_entries,n_fold_evals
O00444,0.8381,30,3
O15264,0.3333,9,6
O15379,0.992,43,13
O43924,1.0,10,3
O60674,0.8095,14,7
O60760,0.5,10,6
O60885,0.6942,162,15
O75530,0.5,12,5
P00533,0.8442,402,15
P00918,1.0,3,2
P01116,0.8573,722,15
P01116/P04049,0.8,139,15
P01116/Q07889,0.632,32,15
P03372,0.794,1291,15
P06239,0.6325,25,10
P07437,0.3333,16,3
P08581,0.9704,17,6
P09874,0.5508,57,14
P10275,0.836,1968,15
P10415,0.5,9,3
P10636,0.524,210,15
P11362,0.4667,9,5
P11474,0.5,11,7
P11802,0.7878,56,15
P14902,0.563,109,15
P15056,0.7101,606,15
P15170,0.3278,17,9
P17706,0.7498,68,15
P18031,0.7972,59,15
P21802,0.8333,4,3
P22607,0.4081,43,4
P24941,0.8674,22,11
P25440,0.5798,32,13
P30530,0.8561,28,11
P31749,0.3,8,5
P31751,0.0,6,2
P33981,0.8632,20,13
P36507,1.0,5,1
P36888,0.7345,70,15
P36897,0.6817,57,15
P36969,0.9041,76,15
P37840,0.7511,30,13
P40337,0.6419,26,14
P40763,0.4394,24,11
P42229,0.8974,50,3
P42568/Q03111,0.75,9,3
P43490,0.6567,36,14
P49336,0.3575,38,12
P49840,0.626,22,6
P49841,0.6667,23,6
P50750,0.7133,47,15
P51531,0.6454,432,15
P51531/P51532,0.6704,48,15
P51532,0.7414,271,15
P56524,0.3333,6,3
P61964,0.6571,24,5
P98170,0.7046,39,10
Q00534,0.79,57,15
Q00987,1.0,4,3
Q02750,0.9302,46,10
Q03111,0.4583,7,4
Q05397,0.4401,70,4
Q06124,0.7801,30,12
Q06187,0.854,761,15
Q07817,0.7259,272,15
Q07889,0.7689,91,15
Q08881,0.6806,19,12
Q09472,0.6846,80,15
Q12866,1.0,3,2
Q13164,1.0,7,4
Q13422,0.7444,73,14
Q13489,0.9184,38,7
Q13490,1.0,38,6
Q13547,0.7952,30,6
Q14004,0.6887,26,14
Q14145,0.6,7,5
Q15059,0.5285,31,10
Q16539,0.5833,12,7
Q5S007,0.9107,13,7
Q8NB16,0.1667,11,3
Q8TBX8,0.5,5,2
Q92793,0.7063,111,15
Q92793/Q09472,0.8533,83,13
Q92918,0.909,91,15
Q93009,0.4886,19,11
Q96SW2,0.2143,17,7
Q9BY41,0.6541,61,15
Q9H8M2,0.8889,11,3
Q9NPI1,0.0,3,2
Q9NWZ3,0.902,313,15
Q9NYV4,0.746,28,14
Q9UBN7,0.7884,39,15
Q9UM73,0.7846,34,13
Q9Y243,0.6667,6,3
Q9Y2I7,0.6521,21,8
Q9Y616,0.8333,14,3
