target,auroc
P10275,0.9114824026143036
P03372,0.8616845319507617
Q06187,0.8897049924357033
P01116,0.9001751405319237
P15056,0.7748337189126664
P51531,0.6887651215714458
P00533,0.8659620098039215
Q9NWZ3,0.9165487421383648
P51532,0.8299019607843136
P10636,0.7703962703962702
O60885,0.7203170248437738
P01116/P04049,0.8365384615384613
Q92793,0.7852941176470588
P14902,0.6681286549707602
Q07889,0.8334160873882821
Q92918,0.856197033898305
Q92793/Q09472,0.9029850746268657
Q09472,0.8850911458333334
P36969,0.7076502732240438
Q13422,0.8858428805237315
P36888,0.8214869281045751
P17706,0.8263888888888888
Q9BY41,0.797222222222222
P18031,0.9005882352941178
P09874,0.7883597883597884
P36897,0.6419437340153452
Q00534,0.870625
P11802,0.6642276422764228
P51531/P51532,0.6278659611992945
P50750,0.7590909090909091
Q02750,0.8534798534798536
O15379,0.9803030303030303
P98170,0.5909090909090909
Q9UBN7,0.6208333333333333
P49336,0.4700460829493087
P43490,0.6944444444444443
Q9UM73,0.8124999999999999
P01116/Q07889,0.3318181818181818
P25440,0.7348178137651823
Q15059,0.6452991452991453
P37840,0.39508928571428575
Q06124,0.6311111111111112
P30530,0.8409090909090908
Q9NYV4,0.7192982456140351
P40337,0.75
Q14004,0.5714285714285714
P06239,0.2894736842105263
P40763,0.3697478991596639
P24941,0.8761904761904762
P49840,0.8947368421052632
Q9Y2I7,0.5555555555555556
P33981,0.8000000000000002
Q08881,0.36428571428571427
Q93009,0.35897435897435886
P08581,1.0
P15170,0.5769230769230769
Q96SW2,0.0
O60674,0.9895833333333334
Q9Y616,0.7083333333333334
Q5S007,0.85
O75530,0.6000000000000001
Q16539,0.7361111111111112
P11474,0.125
O43924,1.0
O60760,0.761904761904762
