target,auroc_cond,auroc_base,n_test,rate,delta
O15379,0.9888888888888889,1.0,43,0.23255814611911774,-0.011111111111111072
O43924,0.6296296296296297,0.9259259259259259,10,0.10000000149011612,-0.2962962962962963
O60674,0.9722222222222223,0.9791666666666666,14,0.4285714328289032,-0.006944444444444309
O60760,0.8253968253968255,0.7301587301587302,10,0.699999988079071,0.09523809523809523
O60885,0.5363003607173703,0.5568764924046131,162,0.5,-0.020576131687242816
O75530,0.6476190476190476,0.45714285714285713,12,0.4166666567325592,0.19047619047619052
P00533,0.7444966412490922,0.7623910675381264,402,0.7611940503120422,-0.01789442628903415
P01116,0.6576457057359398,0.7202960259529602,722,0.7590027451515198,-0.06265032021702033
P01116/P04049,0.7715384615384616,0.8108119658119658,139,0.7194244861602783,-0.03927350427350418
P01116/Q07889,0.49924242424242427,0.4234848484848485,32,0.3125,0.07575757575757575
P03372,0.617315365557994,0.596048432414093,1291,0.6537567973136902,0.021266933143901046
P06239,0.5687134502923977,0.6871345029239766,25,0.7599999904632568,-0.11842105263157887
P08581,0.3277777777777778,1.0,17,0.29411765933036804,-0.6722222222222223
P09874,0.34126984126984133,0.33641975308641975,57,0.3684210479259491,0.004850088183421586
P10275,0.4855410798461494,0.5278822888651108,1968,0.767276406288147,-0.04234120901896138
P10636,0.4741809116809117,0.5145202020202021,210,0.37142857909202576,-0.0403392903392904
P11474,0.4761904761904762,0.5952380952380952,11,0.3636363744735718,-0.11904761904761901
P11802,0.759891598915989,0.7143631436314363,56,0.2678571343421936,0.04552845528455274
P14902,0.5670565302144249,0.5066276803118908,109,0.17431192100048065,0.060428849902534165
P15056,0.7259344274146907,0.7139935174474648,606,0.8151814937591553,0.011940909967225966
P15170,0.5897435897435898,0.4423076923076923,17,0.23529411852359772,0.14743589743589747
P17706,0.9088541666666666,0.8920717592592592,68,0.47058823704719543,0.01678240740740744
P18031,0.9550980392156863,0.9586274509803921,59,0.4237288236618042,-0.003529411764705892
P24941,0.9238095238095237,0.8857142857142858,22,0.3181818127632141,0.03809523809523796
P25440,0.8630229419703103,0.9197031039136302,32,0.40625,-0.05668016194331993
P30530,0.8118686868686869,0.9785353535353535,28,0.2142857164144516,-0.16666666666666663
P33981,0.6866666666666666,0.7033333333333333,20,0.5,-0.016666666666666607
P36888,0.6648965141612201,0.7412854030501089,70,0.48571428656578064,-0.07638888888888884
P36897,0.53537936913896,0.4838022165387894,57,0.4035087823867798,0.051577152600170595
P36969,0.717304189435337,0.7781420765027324,76,0.19736842811107635,-0.060837887067395346
P37840,0.5677083333333334,0.4918154761904762,30,0.5333333611488342,0.07589285714285715
P40337,0.421875,0.7312500000000002,26,0.38461539149284363,-0.3093750000000002
P40763,0.3753501400560224,0.33893557422969184,24,0.2916666567325592,0.03641456582633057
P43490,0.49794238683127573,0.47016460905349794,36,0.5,0.02777777777777779
P49336,0.6259600614439323,0.5568356374807988,38,0.18421052396297455,0.06912442396313356
P49840,0.8771929824561404,0.9473684210526315,22,0.13636364042758942,-0.07017543859649111
P50750,0.8090909090909091,0.770909090909091,47,0.4680851101875305,0.038181818181818095
P51531,0.6104590037396361,0.6458857348185412,432,0.8402777910232544,-0.03542673107890504
P51531/P51532,0.6866549088771311,0.75896531452087,48,0.5625,-0.07231040564373892
P51532,0.7080882352941177,0.7023511256354394,271,0.49815496802330017,0.005737109658678241
P98170,0.537878787878788,0.617003367003367,39,0.8461538553237915,-0.07912457912457904
Q00534,0.7385416666666668,0.8341666666666666,57,0.5614035129547119,-0.09562499999999985
Q02750,0.5860805860805861,0.5897435897435898,46,0.15217390656471252,-0.00366300366300365
Q06124,0.7000000000000001,0.7459259259259259,30,0.5,-0.045925925925925815
Q06187,0.6963212304589007,0.718517397881997,761,0.8685939311981201,-0.02219616742309627
Q07889,0.8121482952664681,0.37537239324726906,91,0.4175824224948883,0.4367759020191991
Q08881,0.5904761904761905,0.5523809523809523,19,0.7368420958518982,0.03809523809523818
Q09472,0.9555121527777777,0.9524739583333334,80,0.6000000238418579,0.0030381944444443088
Q13422,0.7671849427168574,0.47190398254228044,73,0.3561643958091736,0.295280960174577
Q14004,0.683531746031746,0.6597222222222222,26,0.4615384638309479,0.023809523809523836
Q15059,0.7727920227920229,0.7784900284900286,31,0.4193548262119293,-0.005698005698005715
Q16539,0.8981481481481483,0.888888888888889,12,0.5,0.0092592592592593
Q5S007,0.8833333333333333,0.8166666666666668,13,0.23076923191547394,0.06666666666666654
Q92793,0.8879336349924586,0.8809954751131222,111,0.7657657861709595,0.006938159879336436
Q92793/Q09472,0.8779539800995025,0.8966106965174129,83,0.8072289228439331,-0.018656716417910335
Q92918,0.7551200564971752,0.7549435028248587,91,0.6483516693115234,0.00017655367231650398
Q93009,0.6153846153846153,0.5128205128205129,19,0.31578946113586426,0.10256410256410242
Q96SW2,0.1923076923076923,0.12179487179487176,17,0.23529411852359772,0.07051282051282053
Q9BY41,0.40625,0.4016203703703704,61,0.26229506731033325,0.004629629629629595
Q9NWZ3,0.8263233752620546,0.8025157232704402,313,0.8466453552246094,0.023807651991614387
Q9NYV4,0.7621832358674464,0.7231968810916181,28,0.6785714030265808,0.03898635477582835
Q9UBN7,0.7250000000000001,0.4305555555555555,39,0.6153846383094788,0.29444444444444456
Q9UM73,0.46122685185185186,0.7494212962962963,34,0.529411792755127,-0.2881944444444444
Q9Y2I7,0.6790123456790124,0.5925925925925927,21,0.1428571492433548,0.08641975308641969
Q9Y616,0.9166666666666666,0.9583333333333334,14,0.1428571492433548,-0.04166666666666674
