target,n,within,loto,gap,max_seq_similarity,nearest_training_target,tertile
P18031,59,0.8561904761904764,0.9315686274509803,-0.075378151260504,0.8893847465515137,Q16288,low
Q9BY41,61,0.8030864197530864,0.392824074074074,0.4102623456790123,0.8985798954963684,P50395,low
P01116,722,0.9189912251806476,0.7275323712839444,0.1914588538967032,0.9190900325775146,Q9Y243,low
P43490,36,0.8270833333333332,0.4804526748971193,0.3466306584362138,0.9230015873908997,P00338,low
P36969,76,0.8767806267806268,0.774863387978142,0.1019172388024848,0.9254007339477539,Q9BV86,low
P17706,68,0.7773100907029478,0.8564814814814813,-0.0791713907785335,0.931290864944458,P53350,low
P40337,26,0.7402777777777778,0.734375,0.0059027777777778,0.9430636763572693,P30291,low
P00533,402,0.8721031293198624,0.7612223129992737,0.1108808163205887,0.9436578154563904,Q16288,low
P37840,30,0.6268518518518518,0.4977678571428571,0.1290839947089946,0.9521303176879883,P14625,low
Q9Y616,14,1.0,0.8055555555555557,0.1944444444444443,0.9526419639587402,O43353,low
O60760,10,1.0,0.7777777777777777,0.2222222222222223,0.9599413871765137,P07437,low
Q9UBN7,39,0.8177777777777779,0.4064814814814815,0.4112962962962964,0.9633502960205078,P52333,low
Q9UM73,34,0.8648148148148149,0.7517361111111112,0.1130787037037037,0.9673858880996704,Q12866,low
P15170,17,0.8472222222222223,0.2051282051282051,0.6420940170940171,0.9677116870880127,Q13153,low
Q07889,91,0.8535930735930735,0.2388282025819265,0.614764871011147,0.9682263731956482,P16591,low
O75530,12,0.8166666666666667,0.4476190476190476,0.369047619047619,0.9723829030990601,Q13153,low
Q93009,19,0.9111111111111112,0.5341880341880342,0.3769230769230769,0.9730641841888428,P09874,low
P40763,24,0.4777777777777778,0.3165266106442577,0.1612511671335201,0.9734123945236206,P42226,low
Q96SW2,17,0.875,0.1089743589743589,0.7660256410256411,0.9736657738685608,Q14289,low
P15056,606,0.8145594717305614,0.7143519857335646,0.1002074859969968,0.9737228155136108,Q05397,low
Q92918,91,0.8621332371332372,0.7754237288135594,0.0867095083196778,0.9742372035980225,Q06418,mid
P14902,109,0.7354938271604936,0.4216374269005847,0.3138564002599088,0.974254310131073,P04035,mid
P10636,210,0.8261469214941436,0.5091135716135716,0.3170333498805719,0.9752097129821777,P00519,mid
O43924,10,0.5,0.8888888888888888,-0.3888888888888888,0.9756424427032471,Q15910,mid
P36897,57,0.7087301587301588,0.4995737425404944,0.2091564161896643,0.9759320020675659,P11362,mid
Q06124,30,0.6888888888888888,0.7399999999999999,-0.0511111111111111,0.9783473014831543,O60674,mid
Q5S007,13,0.9444444444444444,0.9166666666666666,0.0277777777777777,0.9802250862121582,P36888,mid
P09874,57,0.8732738095238095,0.2685185185185185,0.604755291005291,0.9820156693458557,Q9UGN5,mid
P33981,20,0.8833333333333333,0.65,0.2333333333333332,0.982092022895813,O00444,mid
P08581,17,1.0,0.9888888888888888,0.011111111111111,0.9829490184783936,P35968,mid
Q9NWZ3,313,0.9658141160027952,0.8131551362683438,0.1526589797344514,0.9832071661949158,O60674,mid
P10275,1968,0.925157309817546,0.5274504275234487,0.3977068822940972,0.9845359921455383,P56524,mid
P11474,11,0.2916666666666667,0.6904761904761904,-0.3988095238095236,0.9847647547721863,P22736,mid
P03372,1291,0.8880576383399778,0.5929321684673318,0.295125469872646,0.9852861762046814,P22736,mid
Q9Y2I7,21,0.837962962962963,0.4567901234567901,0.3811728395061729,0.9865726232528687,Q9BZ95,mid
P50750,47,0.8040000000000002,0.813939393939394,-0.0099393939393938,0.9866012334823608,Q00534,mid
O60885,162,0.851187193627451,0.5302545343697608,0.3209326592576902,0.9866775870323181,Q15059,mid
P30530,28,0.9541666666666668,0.9760101010101008,-0.0218434343434341,0.9873968958854675,Q06418,mid
P11802,56,0.7828703703703702,0.7533875338753387,0.0294828364950314,0.9896286129951477,Q00534,mid
Q00534,57,0.9171428571428571,0.835625,0.0815178571428572,0.9896286129951477,P11802,mid
P24941,22,0.9444444444444444,0.9333333333333332,0.0111111111111112,0.9904400110244751,P06493,high
Q16539,12,0.8833333333333333,0.9444444444444444,-0.0611111111111112,0.9906522035598755,O15264,high
P49840,22,0.925925925925926,0.7719298245614036,0.1539961013645224,0.9914324283599854,P49841,high
Q9NYV4,28,0.7763888888888888,0.645224171539961,0.1311647173489277,0.9916126132011414,Q14004,high
Q14004,26,0.7,0.5982142857142857,0.1017857142857142,0.9916126132011414,Q9NYV4,high
O15379,43,0.973015873015873,1.0,-0.026984126984127,0.992435872554779,Q13547,high
P36888,70,0.8880668934240362,0.716230936819172,0.1718359566048641,0.9924686551094055,P10721,high
P06239,25,0.4472222222222222,0.6842105263157895,-0.2369883040935673,0.9926919937133789,P51451,high
Q15059,31,0.6912037037037037,0.7215099715099716,-0.0303062678062679,0.9937062859535217,P25440,high
P25440,32,0.5342592592592593,0.8157894736842105,-0.2815302144249512,0.9937062859535217,Q15059,high
P49336,38,0.4035714285714285,0.5614439324116742,-0.1578725038402457,0.9940864443778992,Q9BWU1,high
Q08881,19,0.7666666666666667,0.5714285714285715,0.1952380952380952,0.9953675866127014,Q06187,high
Q06187,761,0.9158723513328776,0.7034039334341906,0.2124684178986869,0.9953675866127014,Q08881,high
P98170,39,0.915873015873016,0.56986531986532,0.346007696007696,0.9963496923446655,Q13489,high
O60674,14,1.0,0.951388888888889,0.048611111111111,0.9974163770675659,P23458,high
Q09472,80,0.8223544973544976,0.9055989583333334,-0.0832444609788357,0.9981715679168701,Q92793,high
Q92793,111,0.6462745098039216,0.8257164404223228,-0.1794419306184012,0.9981715679168701,Q09472,high
Q02750,46,1.0,0.6373626373626374,0.3626373626373625,0.9981752634048462,P36507,high
P51532,271,0.8412290156117315,0.634368191721133,0.2068608238905984,0.9988085627555847,P51531,high
P51531,432,0.8053814304670468,0.5926325175337034,0.2127489129333434,0.9988085627555847,P51532,high
