target,auroc
O15379,1.0
O43924,0.5
O60674,1.0
O60760,1.0
O60885,0.5639
O75530,0.8333
P00533,0.65
P01116,0.6653
P01116/P04049,0.6829
P01116/Q07889,0.4383
P03372,0.517
P06239,0.4141
P08581,1.0
P09874,0.2953
P10275,0.5848
P10636,0.5256
P11474,0.6667
P11802,0.8224
P14902,0.3488
P15056,0.516
P15170,0.4815
P17706,0.8879
P18031,0.9818
P24941,0.0
P25440,0.9318
P30530,0.8722
P33981,0.7321
P36888,0.6416
P36897,0.49
P36969,0.7732
P37840,0.7338
P40337,0.8148
P40763,0.4872
P43490,0.3875
P49336,0.2407
P49840,1.0
P50750,0.6364
P51531,0.5704
P51531/P51532,0.7556
P51532,0.7065
P98170,0.469
Q00534,0.8848
Q02750,0.6714
Q06124,0.6731
Q06187,0.6216
Q07889,0.5806
Q08881,0.7273
Q09472,0.9063
Q13422,0.6419
Q14004,0.8818
Q15059,0.8121
Q16539,0.9167
Q5S007,1.0
Q92793,0.8577
Q92793/Q09472,0.9122
Q92918,0.8071
Q93009,0.5556
Q96SW2,0.963
Q9BY41,0.535
Q9NWZ3,0.7334
Q9NYV4,0.9107
Q9UBN7,0.5824
Q9UM73,0.8365
Q9Y2I7,0.5
