target,seed,n,auroc
P10275,42,1968,0.4769404841088522
P03372,42,1291,0.5747055143823488
Q06187,42,761,0.7294024205748866
P01116,42,722,0.7579075425790754
P15056,42,606,0.67581513880856
P51531,42,432,0.7381323112548409
P00533,42,402,0.7890625
Q9NWZ3,42,313,0.8525157232704402
P51532,42,271,0.6533224400871459
P10636,42,210,0.45095182595182587
O60885,42,162,0.5577655845145557
P01116/P04049,42,139,0.8235897435897436
Q92793,42,111,0.8414027149321267
P14902,42,109,0.487719298245614
Q07889,42,91,0.40466732869910627
Q92918,42,91,0.708686440677966
Q92793/Q09472,42,83,0.9458955223880596
Q09472,42,80,0.931640625
P36969,42,76,0.7956284153005464
Q13422,42,73,0.5671031096563012
P36888,42,70,0.6331699346405228
P17706,42,68,0.7942708333333333
Q9BY41,42,61,0.39861111111111114
P18031,42,59,0.9376470588235294
P09874,42,57,0.44576719576719576
P36897,42,57,0.41304347826086957
Q00534,42,57,0.85375
P11802,42,56,0.7504065040650406
P51531/P51532,42,48,0.7213403880070547
P50750,42,47,0.7927272727272727
Q02750,42,46,0.6593406593406593
O15379,42,43,1.0
P98170,42,39,0.5505050505050505
Q9UBN7,42,39,0.5069444444444444
P49336,42,38,0.47465437788018433
P43490,42,36,0.22222222222222224
Q9UM73,42,34,0.6076388888888888
P01116/Q07889,42,32,0.4454545454545455
P25440,42,32,0.8947368421052632
Q15059,42,31,0.8076923076923077
P37840,42,30,0.5044642857142858
Q06124,42,30,0.7244444444444444
P30530,42,28,0.946969696969697
Q9NYV4,42,28,0.7953216374269005
P40337,42,26,0.69375
Q14004,42,26,0.7202380952380951
P06239,42,25,0.5964912280701754
P40763,42,24,0.4117647058823529
P24941,42,22,0.7714285714285715
P49840,42,22,0.8245614035087719
Q9Y2I7,42,21,0.3703703703703704
P33981,42,20,0.47000000000000003
Q08881,42,19,0.6
Q93009,42,19,0.7564102564102564
P08581,42,17,0.5166666666666666
P15170,42,17,0.4423076923076923
Q96SW2,42,17,0.30769230769230765
O60674,42,14,0.9791666666666666
Q9Y616,42,14,0.5
Q5S007,42,13,0.5166666666666666
O75530,42,12,0.7142857142857143
Q16539,42,12,0.8611111111111112
P11474,42,11,0.3928571428571429
O43924,42,10,0.8888888888888888
O60760,42,10,0.5714285714285714
P10275,43,1968,0.4850386072471731
P03372,43,1291,0.5413406384851087
Q06187,43,761,0.7659379727685325
P01116,43,722,0.7656525295746288
P15056,43,606,0.6842737854251011
P51531,43,432,0.7288896873877111
P00533,43,402,0.7914453976034859
Q9NWZ3,43,313,0.8724056603773586
P51532,43,271,0.6571895424836601
P10636,43,210,0.3688811188811189
O60885,43,162,0.5870294162475233
P01116/P04049,43,139,0.8148717948717948
Q92793,43,111,0.8470588235294118
P14902,43,109,0.4666666666666667
Q07889,43,91,0.45729890764647463
Q92918,43,91,0.6790254237288135
Q92793/Q09472,43,83,0.9458955223880596
Q09472,43,80,0.9368489583333334
P36969,43,76,0.86775956284153
Q13422,43,73,0.5548281505728314
P36888,43,70,0.707516339869281
P17706,43,68,0.8003472222222222
Q9BY41,43,61,0.39027777777777783
P18031,43,59,0.943529411764706
P09874,43,57,0.4854497354497354
P36897,43,57,0.3849104859335038
Q00534,43,57,0.8775
P11802,43,56,0.73739837398374
P51531/P51532,43,48,0.7530864197530864
P50750,43,47,0.750909090909091
Q02750,43,46,0.7435897435897436
O15379,43,43,0.993939393939394
P98170,43,39,0.5808080808080808
Q9UBN7,43,39,0.5180555555555555
P49336,43,38,0.5806451612903226
P43490,43,36,0.22839506172839508
Q9UM73,43,34,0.4131944444444444
P01116/Q07889,43,32,0.4454545454545455
P25440,43,32,0.8987854251012146
Q15059,43,31,0.7948717948717949
P37840,43,30,0.53125
Q06124,43,30,0.6133333333333334
P30530,43,28,0.946969696969697
Q9NYV4,43,28,0.8187134502923976
P40337,43,26,0.63125
Q14004,43,26,0.7142857142857142
P06239,43,25,0.631578947368421
P40763,43,24,0.3277310924369748
P24941,43,22,0.9428571428571428
P49840,43,22,0.8596491228070176
Q9Y2I7,43,21,0.3333333333333333
P33981,43,20,0.6699999999999999
Q08881,43,19,0.6571428571428571
Q93009,43,19,0.7948717948717948
P08581,43,17,0.3666666666666667
P15170,43,17,0.6153846153846153
Q96SW2,43,17,0.2692307692307692
O60674,43,14,1.0
Q9Y616,43,14,0.5416666666666667
Q5S007,43,13,0.6833333333333333
O75530,43,12,0.6285714285714286
Q16539,43,12,0.8611111111111112
P11474,43,11,0.6785714285714286
O43924,43,10,0.8888888888888888
O60760,43,10,0.8095238095238095
P10275,44,1968,0.4873470892738367
P03372,44,1291,0.5565446844153228
Q06187,44,761,0.764198184568835
P01116,44,722,0.7559726067623123
P15056,44,606,0.6768182475419318
P51531,44,432,0.7097856030662355
P00533,44,402,0.8003982843137254
Q9NWZ3,44,313,0.8634433962264151
P51532,44,271,0.6516884531590414
P10636,44,210,0.44007381507381504
O60885,44,162,0.5443529949702789
P01116/P04049,44,139,0.8264102564102564
Q92793,44,111,0.8352941176470589
P14902,44,109,0.41461988304093567
Q07889,44,91,0.4155908639523337
Q92918,44,91,0.6197033898305084
Q92793/Q09472,44,83,0.9449626865671641
Q09472,44,80,0.9329427083333334
P36969,44,76,0.8218579234972678
Q13422,44,73,0.4885433715220949
P36888,44,70,0.6715686274509804
P17706,44,68,0.7881944444444444
Q9BY41,44,61,0.41666666666666663
P18031,44,59,0.9435294117647058
P09874,44,57,0.4642857142857143
P36897,44,57,0.4718670076726343
Q00534,44,57,0.88125
P11802,44,56,0.7536585365853659
P51531/P51532,44,48,0.7354497354497355
P50750,44,47,0.7763636363636364
Q02750,44,46,0.6227106227106226
O15379,44,43,1.0
P98170,44,39,0.5909090909090909
Q9UBN7,44,39,0.44861111111111107
P49336,44,38,0.6543778801843317
P43490,44,36,0.22530864197530864
Q9UM73,44,34,0.40625
P01116/Q07889,44,32,0.4818181818181818
P25440,44,32,0.8825910931174089
Q15059,44,31,0.7905982905982907
P37840,44,30,0.5446428571428571
Q06124,44,30,0.7022222222222221
P30530,44,28,0.9696969696969696
Q9NYV4,44,28,0.8128654970760233
P40337,44,26,0.69375
Q14004,44,26,0.6785714285714286
P06239,44,25,0.7017543859649121
P40763,44,24,0.36974789915966383
P24941,44,22,0.7714285714285715
P49840,44,22,0.8421052631578948
Q9Y2I7,44,21,0.6481481481481481
P33981,44,20,0.71
Q08881,44,19,0.5857142857142857
Q93009,44,19,0.7435897435897436
P08581,44,17,0.5166666666666667
P15170,44,17,0.3846153846153846
Q96SW2,44,17,0.30769230769230765
O60674,44,14,1.0
Q9Y616,44,14,0.5
Q5S007,44,13,0.6166666666666667
O75530,44,12,0.6285714285714286
Q16539,44,12,0.9166666666666667
P11474,44,11,0.3928571428571429
O43924,44,10,0.6666666666666667
O60760,44,10,0.8095238095238095
