target,random_auroc,n_entries,n_fold_evals
O00444,0.7905,30,3
O15264,0.0,9,6
O15379,0.9061,43,13
O43924,1.0,10,3
O60674,1.0,14,7
O60760,0.6667,10,6
O60885,0.7194,162,15
O75530,0.6667,12,5
P00533,0.8168,402,15
P00918,1.0,3,2
P01116,0.7155,722,15
P01116/P04049,0.6425,139,15
P01116/Q07889,0.4168,32,15
P03372,0.7153,1291,15
P06239,0.5275,25,10
P07437,0.2222,16,3
P08581,0.7111,17,6
P09874,0.4011,57,14
P10275,0.6876,1968,15
P10415,0.8333,9,3
P10636,0.4201,210,15
P11362,0.6,9,5
P11474,0.2619,11,7
P11802,0.635,56,15
P14902,0.3837,109,15
P15056,0.6946,606,15
P15170,0.213,17,9
P17706,0.6532,68,15
P18031,0.7354,59,15
P21802,0.3333,4,3
P22607,0.343,43,4
P24941,0.8674,22,11
P25440,0.4455,32,13
P30530,0.7073,28,11
P31749,0.2,8,5
P31751,0.5,6,2
P33981,0.7158,20,13
P36507,1.0,5,1
P36888,0.4844,70,15
P36897,0.6715,57,15
P36969,0.9072,76,15
P37840,0.5597,30,13
P40337,0.4683,26,14
P40763,0.5091,24,11
P42229,0.7863,50,3
P42568/Q03111,0.5833,9,3
P43490,0.6558,36,14
P49336,0.6096,38,12
P49840,0.3978,22,6
P49841,0.425,23,6
P50750,0.816,47,15
P51531,0.618,432,15
P51531/P51532,0.5859,48,15
P51532,0.687,271,15
P56524,0.6667,6,3
P61964,0.8857,24,5
P98170,0.749,39,10
Q00534,0.5983,57,15
Q00987,0.8333,4,3
Q02750,0.6239,46,10
Q03111,0.2083,7,4
Q05397,0.4812,70,4
Q06124,0.8079,30,12
Q06187,0.8553,761,15
Q07817,0.7493,272,15
Q07889,0.7804,91,15
Q08881,0.7812,19,12
Q09472,0.6082,80,15
Q12866,0.5,3,2
Q13164,1.0,7,4
Q13422,0.5926,73,14
Q13489,0.4069,38,7
Q13490,0.4597,38,6
Q13547,0.7006,30,6
Q14004,0.7,26,14
Q14145,0.7,7,5
Q15059,0.5674,31,10
Q16539,0.1548,12,7
Q5S007,0.9583,13,7
Q8NB16,0.3333,11,3
Q8TBX8,0.5,5,2
Q92793,0.6215,111,15
Q92793/Q09472,0.8073,83,13
Q92918,0.8413,91,15
Q93009,0.6553,19,11
Q96SW2,0.3333,17,7
Q9BY41,0.42,61,15
Q9H8M2,1.0,11,3
Q9NPI1,0.5,3,2
Q9NWZ3,0.8283,313,15
Q9NYV4,0.7287,28,14
Q9UBN7,0.7217,39,15
Q9UM73,0.8284,34,13
Q9Y243,0.0,6,3
Q9Y2I7,0.4801,21,8
Q9Y616,0.8611,14,3
