seed,target,auroc
42,O15379,0.9788
42,O43924,1.0
42,O60674,1.0
42,O60760,0.4286
42,O60885,0.8216
42,O75530,0.0
42,P00533,0.8669
42,P01116,0.9165
42,P01116/P04049,0.8119
42,P01116/Q07889,0.25
42,P03372,0.8767
42,P06239,0.2632
42,P08581,1.0
42,P09874,0.8307
42,P10275,0.9209
42,P10636,0.7905
42,P11474,0.2857
42,P11802,0.7431
42,P14902,0.7354
42,P15056,0.8197
42,P15170,0.4808
42,P17706,0.76
42,P18031,0.8576
42,P24941,0.9048
42,P25440,0.5486
42,P30530,0.9545
42,P33981,0.605
42,P36888,0.8742
42,P36897,0.6355
42,P36969,0.8634
42,P37840,0.5737
42,P40337,0.6312
42,P40763,0.2101
42,P43490,0.7685
42,P49336,0.2696
42,P49840,0.4825
42,P50750,0.7336
42,P51531,0.8018
42,P51531/P51532,0.5891
42,P51532,0.8202
42,P98170,0.8586
42,Q00534,0.9013
42,Q02750,0.9304
42,Q06124,0.6311
42,Q06187,0.9198
42,Q07889,0.8232
42,Q08881,0.5
42,Q09472,0.7803
42,Q13422,0.847
42,Q14004,0.5149
42,Q15059,0.6389
42,Q16539,0.8889
42,Q5S007,0.8
42,Q92793,0.7278
42,Q92793/Q09472,0.8619
42,Q92918,0.8591
42,Q93009,0.7308
42,Q96SW2,0.8462
42,Q9BY41,0.8278
42,Q9NWZ3,0.9539
42,Q9NYV4,0.7339
42,Q9UBN7,0.7347
42,Q9UM73,0.8715
42,Q9Y2I7,0.7315
42,Q9Y616,0.1667
43,O15379,0.9758
43,O43924,1.0
43,O60674,1.0
43,O60760,0.1905
43,O60885,0.807
43,O75530,0.4571
43,P00533,0.8571
43,P01116,0.9116
43,P01116/P04049,0.8212
43,P01116/Q07889,0.3227
43,P03372,0.8815
43,P06239,0.4035
43,P08581,0.9833
43,P09874,0.7646
43,P10275,0.9164
43,P10636,0.7802
43,P11474,0.1429
43,P11802,0.7894
43,P14902,0.7515
43,P15056,0.8115
43,P15170,0.4808
43,P17706,0.7435
43,P18031,0.8224
43,P24941,0.9524
43,P25440,0.6174
43,P30530,0.8902
43,P33981,0.8
43,P36888,0.8742
43,P36897,0.61
43,P36969,0.8661
43,P37840,0.5804
43,P40337,0.5687
43,P40763,0.1933
43,P43490,0.7731
43,P49336,0.235
43,P49840,0.3684
43,P50750,0.7955
43,P51531,0.8207
43,P51531/P51532,0.7531
43,P51532,0.8269
43,P98170,0.8939
43,Q00534,0.9281
43,Q02750,0.9597
43,Q06124,0.5333
43,Q06187,0.9183
43,Q07889,0.7994
43,Q08881,0.65
43,Q09472,0.7975
43,Q13422,0.8265
43,Q14004,0.494
43,Q15059,0.3825
43,Q16539,0.6111
43,Q5S007,0.8833
43,Q92793,0.7536
43,Q92793/Q09472,0.9254
43,Q92918,0.8724
43,Q93009,0.7564
43,Q96SW2,0.7885
43,Q9BY41,0.7389
43,Q9NWZ3,0.9634
43,Q9NYV4,0.6433
43,Q9UBN7,0.7722
43,Q9UM73,0.8438
43,Q9Y2I7,0.6944
43,Q9Y616,0.4167
44,O15379,0.9697
44,O43924,1.0
44,O60674,1.0
44,O60760,0.6667
44,O60885,0.8482
44,O75530,0.1429
44,P00533,0.8653
44,P01116,0.9198
44,P01116/P04049,0.8209
44,P01116/Q07889,0.2409
44,P03372,0.8821
44,P06239,0.1228
44,P08581,1.0
44,P09874,0.8267
44,P10275,0.9208
44,P10636,0.7901
44,P11474,0.1429
44,P11802,0.6309
44,P14902,0.6351
44,P15056,0.8035
44,P15170,0.3462
44,P17706,0.7826
44,P18031,0.8635
44,P24941,0.8857
44,P25440,0.5648
44,P30530,0.9242
44,P33981,0.75
44,P36888,0.8738
44,P36897,0.6176
44,P36969,0.8825
44,P37840,0.558
44,P40337,0.6031
44,P40763,0.2059
44,P43490,0.7917
44,P49336,0.3756
44,P49840,0.5439
44,P50750,0.72
44,P51531,0.7904
44,P51531/P51532,0.6349
44,P51532,0.8326
44,P98170,0.8485
44,Q00534,0.9313
44,Q02750,0.9377
44,Q06124,0.4533
44,Q06187,0.9141
44,Q07889,0.8424
44,Q08881,0.7714
44,Q09472,0.8646
44,Q13422,0.856
44,Q14004,0.4881
44,Q15059,0.6282
44,Q16539,0.5833
44,Q5S007,0.8667
44,Q92793,0.6819
44,Q92793/Q09472,0.8983
44,Q92918,0.8591
44,Q93009,0.641
44,Q96SW2,0.5577
44,Q9BY41,0.7917
44,Q9NWZ3,0.9428
44,Q9NYV4,0.5965
44,Q9UBN7,0.7306
44,Q9UM73,0.8819
44,Q9Y2I7,0.6389
44,Q9Y616,0.2083
53,O15379,0.9727
53,O43924,0.4444
53,O60674,1.0
53,O60760,0.3333
53,O60885,0.8278
53,O75530,0.3714
53,P00533,0.8657
53,P01116,0.9146
53,P01116/P04049,0.8351
53,P01116/Q07889,0.25
53,P03372,0.878
53,P06239,0.2544
53,P08581,1.0
53,P09874,0.7923
53,P10275,0.9216
53,P10636,0.7947
53,P11474,0.3929
53,P11802,0.6
53,P14902,0.6608
53,P15056,0.8029
53,P15170,0.4615
53,P17706,0.7973
53,P18031,0.8488
53,P24941,0.9238
53,P25440,0.4798
53,P30530,0.8523
53,P33981,0.805
53,P36888,0.8513
53,P36897,0.491
53,P36969,0.8973
53,P37840,0.5045
53,P40337,0.6812
53,P40763,0.1345
53,P43490,0.7932
53,P49336,0.1613
53,P49840,0.4474
53,P50750,0.7655
53,P51531,0.8094
53,P51531/P51532,0.6473
53,P51532,0.8232
53,P98170,0.9091
53,Q00534,0.92
53,Q02750,0.9267
53,Q06124,0.4467
53,Q06187,0.9197
53,Q07889,0.852
53,Q08881,0.6
53,Q09472,0.8333
53,Q13422,0.8707
53,Q14004,0.5446
53,Q15059,0.6325
53,Q16539,0.5
53,Q5S007,0.85
53,Q92793,0.671
53,Q92793/Q09472,0.9403
53,Q92918,0.8528
53,Q93009,0.5897
53,Q96SW2,0.75
53,Q9BY41,0.7028
53,Q9NWZ3,0.9571
53,Q9NYV4,0.5292
53,Q9UBN7,0.7847
53,Q9UM73,0.816
53,Q9Y2I7,0.6574
53,Q9Y616,0.8333
71,O15379,0.9758
71,O43924,0.5556
71,O60674,1.0
71,O60760,0.5238
71,O60885,0.8469
71,O75530,0.3429
71,P00533,0.8739
71,P01116,0.9136
71,P01116/P04049,0.8263
71,P01116/Q07889,0.25
71,P03372,0.8858
71,P06239,0.2105
71,P08581,1.0
71,P09874,0.8188
71,P10275,0.921
71,P10636,0.7967
71,P11474,0.4286
71,P11802,0.7016
71,P14902,0.7371
71,P15056,0.8104
71,P15170,0.4231
71,P17706,0.7852
71,P18031,0.8376
71,P24941,0.8762
71,P25440,0.6073
71,P30530,0.8864
71,P33981,0.645
71,P36888,0.8873
71,P36897,0.6726
71,P36969,0.8743
71,P37840,0.5246
71,P40337,0.5312
71,P40763,0.2647
71,P43490,0.6883
71,P49336,0.4078
71,P49840,0.9035
71,P50750,0.7555
71,P51531,0.8037
71,P51531/P51532,0.6667
71,P51532,0.8093
71,P98170,0.9141
71,Q00534,0.93
71,Q02750,0.978
71,Q06124,0.6044
71,Q06187,0.9126
71,Q07889,0.8347
71,Q08881,0.6214
71,Q09472,0.7454
71,Q13422,0.7954
71,Q14004,0.5179
71,Q15059,0.6517
71,Q16539,0.5278
71,Q5S007,0.1
71,Q92793,0.6611
71,Q92793/Q09472,0.9039
71,Q92918,0.8586
71,Q93009,0.7308
71,Q96SW2,0.7788
71,Q9BY41,0.6806
71,Q9NWZ3,0.9602
71,Q9NYV4,0.6608
71,Q9UBN7,0.7931
71,Q9UM73,0.8108
