target,n,auroc,rate,per_seed
P01116,718,0.6371457347306739,0.7576601505279541,"[0.6391248309668696, 0.616696247464503, 0.6556161257606492]"
Q06187,397,0.8230564155486757,0.8564231991767883,"[0.8170020639834882, 0.8285345717234264, 0.8236326109391126]"
Q9NWZ3,260,0.7462471941638609,0.8307692408561707,"[0.78125, 0.7606271043771045, 0.696864478114478]"
P14902,68,0.7474747474747475,0.1617647111415863,"[0.7910685805422648, 0.6985645933014355, 0.7527910685805423]"
P17706,53,0.44300766283524906,0.4528301954269409,"[0.46695402298850575, 0.42816091954022983, 0.4339080459770115]"
O15379,40,0.5877777777777777,0.25,"[0.7666666666666667, 0.46333333333333326, 0.5333333333333333]"
Q00534,34,0.5986159169550173,0.5,"[0.6055363321799307, 0.6816608996539792, 0.5086505190311419]"
P11802,24,0.5143229166666666,0.3333333432674408,"[0.4765625, 0.56640625, 0.5]"
Q02750,22,0.8187134502923977,0.13636364042758942,"[0.7894736842105263, 0.8771929824561404, 0.7894736842105263]"
Q96SW2,16,0.5069444444444445,0.25,"[0.5416666666666666, 0.5208333333333334, 0.45833333333333337]"
Q92918,16,0.9010416666666666,0.5,"[0.984375, 0.78125, 0.9375]"
P36969,14,0.7416666666666667,0.2857142984867096,"[0.75, 0.75, 0.725]"
P24941,12,0.638888888888889,0.5,"[0.8333333333333334, 0.38888888888888895, 0.6944444444444445]"
