target,random_auroc,n_entries,n_fold_evals
O00444,0.5,30,3
O15264,0.75,9,6
O15379,0.9904,43,13
O43924,1.0,10,3
O60674,0.9444,14,7
O60760,0.7083,10,6
O60885,0.7337,162,15
O75530,0.7,12,5
P00533,0.8261,402,15
P00918,0.5,3,2
P01116,0.8953,722,15
P01116/P04049,0.8137,139,15
P01116/Q07889,0.5033,32,15
P03372,0.8663,1291,15
P06239,0.3783,25,10
P07437,0.3889,16,3
P08581,1.0,17,6
P09874,0.8525,57,14
P10275,0.8951,1968,15
P10415,0.5833,9,3
P10636,0.7632,210,15
P11362,0.7333,9,5
P11474,0.619,11,7
P11802,0.7932,56,15
P14902,0.6698,109,15
P15056,0.7616,606,15
P15170,0.5537,17,9
P17706,0.8541,68,15
P18031,0.9062,59,15
P21802,0.8333,4,3
P22607,0.7195,43,4
P24941,0.9545,22,11
P25440,0.7226,32,13
P30530,0.9495,28,11
P31749,0.525,8,5
P31751,0.5,6,2
P33981,0.8365,20,13
P36507,1.0,5,1
P36888,0.7998,70,15
P36897,0.6915,57,15
P36969,0.878,76,15
P37840,0.6451,30,13
P40337,0.7555,26,14
P40763,0.4985,24,11
P42229,0.5,50,3
P42568/Q03111,0.6667,9,3
P43490,0.7881,36,14
P49336,0.4339,38,12
P49840,0.9097,22,6
P49841,0.8458,23,6
P50750,0.7518,47,15
P51531,0.691,432,15
P51531/P51532,0.6539,48,15
P51532,0.8179,271,15
P56524,0.3333,6,3
P61964,0.344,24,5
P98170,0.6519,39,10
Q00534,0.9002,57,15
Q00987,0.8333,4,3
Q02750,0.9178,46,10
Q03111,0.375,7,4
Q05397,0.9082,70,4
Q06124,0.5663,30,12
Q06187,0.8727,761,15
Q07817,0.8557,272,15
Q07889,0.8382,91,15
Q08881,0.6701,19,12
Q09472,0.9088,80,15
Q12866,1.0,3,2
Q13164,0.875,7,4
Q13422,0.8547,73,14
Q13489,0.8421,38,7
Q13490,1.0,38,6
Q13547,0.6903,30,6
Q14004,0.8262,26,14
Q14145,0.55,7,5
Q15059,0.5113,31,10
Q16539,0.7262,12,7
Q5S007,0.6548,13,7
Q8NB16,0.5,11,3
Q8TBX8,0.625,5,2
Q92793,0.8403,111,15
Q92793/Q09472,0.9401,83,13
Q92918,0.8879,91,15
Q93009,0.6189,19,11
Q96SW2,0.1667,17,7
Q9BY41,0.7751,61,15
Q9H8M2,0.5833,11,3
Q9NPI1,0.75,3,2
Q9NWZ3,0.8917,313,15
Q9NYV4,0.6789,28,14
Q9UBN7,0.7548,39,15
Q9UM73,0.8729,34,13
Q9Y243,0.75,6,3
Q9Y2I7,0.6917,21,8
Q9Y616,0.6667,14,3
