target,auroc_cond,auroc_base,n_test,rate,delta
O15379,0.9696969696969697,1.0,43,0.23255814611911774,-0.030303030303030276
O43924,0.8888888888888888,0.9259259259259259,10,0.10000000149011612,-0.03703703703703709
O60674,0.9791666666666666,0.9791666666666666,14,0.4285714328289032,0.0
O60760,0.7936507936507936,0.7301587301587302,10,0.699999988079071,0.06349206349206338
O60885,0.5415079002184626,0.5568764924046131,162,0.5,-0.015368592186150498
O75530,0.6095238095238095,0.45714285714285713,12,0.4166666567325592,0.15238095238095234
P00533,0.8144290123456791,0.7623910675381264,402,0.7611940503120422,0.05203794480755275
P01116,0.5689392985988757,0.7202960259529602,722,0.7590027451515198,-0.15135672735408445
P01116/P04049,0.7982478632478633,0.8108119658119658,139,0.7194244861602783,-0.012564102564102453
P01116/Q07889,0.46439393939393936,0.4234848484848485,32,0.3125,0.04090909090909084
P03372,0.6088293556128094,0.596048432414093,1291,0.6537567973136902,0.012780923198716376
P06239,0.5599415204678362,0.6871345029239766,25,0.7599999904632568,-0.1271929824561404
P08581,0.6666666666666666,1.0,17,0.29411765933036804,-0.33333333333333337
P09874,0.4237213403880071,0.33641975308641975,57,0.3684210479259491,0.08730158730158732
P10275,0.5917045027328726,0.5278822888651108,1968,0.767276406288147,0.06382221386776177
P10636,0.5575789950789951,0.5145202020202021,210,0.37142857909202576,0.04305879305879301
P11474,0.6309523809523809,0.5952380952380952,11,0.3636363744735718,0.0357142857142857
P11802,0.7013550135501355,0.7143631436314363,56,0.2678571343421936,-0.01300813008130075
P14902,0.5071150097465886,0.5066276803118908,109,0.17431192100048065,0.0004873294346978696
P15056,0.7187138519375362,0.7139935174474648,606,0.8151814937591553,0.004720334490071476
P15170,0.4102564102564102,0.4423076923076923,17,0.23529411852359772,-0.032051282051282104
P17706,0.8729745370370371,0.8920717592592592,68,0.47058823704719543,-0.0190972222222221
P18031,0.7331372549019607,0.9586274509803921,59,0.4237288236618042,-0.22549019607843146
P24941,0.8666666666666667,0.8857142857142858,22,0.3181818127632141,-0.01904761904761909
P25440,0.8589743589743589,0.9197031039136302,32,0.40625,-0.06072874493927127
P30530,0.9381313131313131,0.9785353535353535,28,0.2142857164144516,-0.04040404040404033
P33981,0.68,0.7033333333333333,20,0.5,-0.023333333333333206
P36888,0.6349400871459695,0.7412854030501089,70,0.48571428656578064,-0.10634531590413943
P36897,0.5451832907075874,0.4838022165387894,57,0.4035087823867798,0.06138107416879801
P36969,0.6695810564663024,0.7781420765027324,76,0.19736842811107635,-0.10856102003642998
P37840,0.6004464285714286,0.4918154761904762,30,0.5333333611488342,0.10863095238095238
P40337,0.5947916666666667,0.7312500000000002,26,0.38461539149284363,-0.13645833333333346
P40763,0.42016806722689076,0.33893557422969184,24,0.2916666567325592,0.08123249299719892
P43490,0.5709876543209876,0.47016460905349794,36,0.5,0.1008230452674897
P49336,0.6551459293394777,0.5568356374807988,38,0.18421052396297455,0.0983102918586789
P49840,0.8771929824561404,0.9473684210526315,22,0.13636364042758942,-0.07017543859649111
P50750,0.8248484848484848,0.770909090909091,47,0.4680851101875305,0.05393939393939384
P51531,0.6210856922319373,0.6458857348185412,432,0.8402777910232544,-0.024800042586603843
P51531/P51532,0.6355085243974133,0.75896531452087,48,0.5625,-0.12345679012345667
P51532,0.7046205519244735,0.7023511256354394,271,0.49815496802330017,0.0022694262890340378
P98170,0.5412457912457912,0.617003367003367,39,0.8461538553237915,-0.0757575757575758
Q00534,0.5989583333333334,0.8341666666666666,57,0.5614035129547119,-0.23520833333333324
Q02750,0.42857142857142855,0.5897435897435898,46,0.15217390656471252,-0.1611721611721612
Q06124,0.6362962962962962,0.7459259259259259,30,0.5,-0.10962962962962963
Q06187,0.6838300554715078,0.718517397881997,761,0.8685939311981201,-0.03468734241048921
Q07889,0.8368917576961271,0.37537239324726906,91,0.4175824224948883,0.46151936444885805
Q08881,0.6571428571428571,0.5523809523809523,19,0.7368420958518982,0.10476190476190483
Q09472,0.9512803819444445,0.9524739583333334,80,0.6000000238418579,-0.0011935763888888395
Q13422,0.8494271685761047,0.47190398254228044,73,0.3561643958091736,0.37752318603382423
Q14004,0.6795634920634921,0.6597222222222222,26,0.4615384638309479,0.019841269841269882
Q15059,0.7713675213675214,0.7784900284900286,31,0.4193548262119293,-0.007122507122507171
Q16539,0.4444444444444445,0.888888888888889,12,0.5,-0.4444444444444445
Q5S007,0.38333333333333336,0.8166666666666668,13,0.23076923191547394,-0.4333333333333334
Q92793,0.8783559577677225,0.8809954751131222,111,0.7657657861709595,-0.002639517345399689
Q92793/Q09472,0.625,0.8966106965174129,83,0.8072289228439331,-0.2716106965174129
Q92918,0.8020833333333334,0.7549435028248587,91,0.6483516693115234,0.0471398305084747
Q93009,0.6239316239316239,0.5128205128205129,19,0.31578946113586426,0.11111111111111105
Q96SW2,0.1858974358974359,0.12179487179487176,17,0.23529411852359772,0.06410256410256414
Q9BY41,0.6381944444444444,0.4016203703703704,61,0.26229506731033325,0.236574074074074
Q9NWZ3,0.8307258909853249,0.8025157232704402,313,0.8466453552246094,0.028210167714884715
Q9NYV4,0.5497076023391813,0.7231968810916181,28,0.6785714030265808,-0.1734892787524368
Q9UBN7,0.7018518518518518,0.4305555555555555,39,0.6153846383094788,0.2712962962962963
Q9UM73,0.5543981481481481,0.7494212962962963,34,0.529411792755127,-0.19502314814814814
Q9Y2I7,0.6728395061728395,0.5925925925925927,21,0.1428571492433548,0.08024691358024683
Q9Y616,0.8472222222222223,0.9583333333333334,14,0.1428571492433548,-0.11111111111111105
