seed,target,auroc
42,O15379,1.0
43,O15379,1.0
44,O15379,0.997
53,O15379,1.0
71,O15379,1.0
42,O43924,1.0
43,O43924,1.0
44,O43924,1.0
53,O43924,1.0
71,O43924,1.0
42,O60674,0.9583
43,O60674,0.9792
44,O60674,0.8958
53,O60674,0.875
71,O60674,0.9167
42,O60760,1.0
43,O60760,1.0
44,O60760,1.0
53,O60760,1.0
71,O60760,1.0
42,O60885,0.5743
43,O60885,0.5549
44,O60885,0.5813
53,O60885,0.5799
71,O60885,0.5589
42,O75530,0.6286
43,O75530,0.7143
44,O75530,0.6857
53,O75530,0.6857
71,O75530,0.6286
42,P00533,0.7986
43,P00533,0.8026
44,P00533,0.821
53,P00533,0.8009
71,P00533,0.796
42,P01116,0.5877
43,P01116,0.5535
44,P01116,0.5693
53,P01116,0.5381
71,P01116,0.5512
42,P01116/P04049,0.7596
43,P01116/P04049,0.7606
44,P01116/P04049,0.7647
53,P01116/P04049,0.7514
71,P01116/P04049,0.7663
42,P01116/Q07889,0.4727
43,P01116/Q07889,0.4182
44,P01116/Q07889,0.5091
53,P01116/Q07889,0.5227
71,P01116/Q07889,0.5318
42,P03372,0.5024
43,P03372,0.5416
44,P03372,0.5555
53,P03372,0.5354
71,P03372,0.5405
42,P06239,0.5526
43,P06239,0.5614
44,P06239,0.5439
53,P06239,0.4561
71,P06239,0.5351
42,P08581,1.0
43,P08581,1.0
44,P08581,1.0
53,P08581,1.0
71,P08581,1.0
42,P09874,0.2249
43,P09874,0.2474
44,P09874,0.2474
53,P09874,0.2183
71,P09874,0.2249
42,P10275,0.5604
43,P10275,0.5056
44,P10275,0.5045
53,P10275,0.5403
71,P10275,0.5644
42,P10636,0.549
43,P10636,0.5401
44,P10636,0.5607
53,P10636,0.5313
71,P10636,0.5636
42,P11474,0.6071
43,P11474,0.6429
44,P11474,0.6071
53,P11474,0.6071
71,P11474,0.6429
42,P11802,0.7756
43,P11802,0.787
44,P11802,0.7789
53,P11802,0.7675
71,P11802,0.7805
42,P14902,0.4491
43,P14902,0.4135
44,P14902,0.4497
53,P14902,0.4316
71,P14902,0.3275
42,P15056,0.6721
43,P15056,0.646
44,P15056,0.6619
53,P15056,0.6148
71,P15056,0.6938
42,P15170,0.5192
43,P15170,0.4231
44,P15170,0.5192
53,P15170,0.3269
71,P15170,0.4038
42,P17706,0.8438
43,P17706,0.8377
44,P17706,0.8663
53,P17706,0.9062
71,P17706,0.8429
42,P18031,0.9465
43,P18031,0.9476
44,P18031,0.9606
53,P18031,0.9688
71,P18031,0.9535
42,P24941,0.1333
43,P24941,0.1333
44,P24941,0.1333
53,P24941,0.6286
71,P24941,0.1905
42,P25440,0.9413
43,P25440,0.9372
44,P25440,0.9494
53,P25440,0.8806
71,P25440,0.9413
42,P30530,0.8902
