target,seed,n,auroc
P10275,42,1968,0.48329911217791144
P03372,42,1291,0.5444789910620567
Q06187,42,761,0.7647881996974281
P01116,42,722,0.7613998657605504
P15056,42,606,0.6838761567379988
P51531,42,432,0.6944743881502774
P00533,42,402,0.7683312908496732
Q9NWZ3,42,313,0.8742924528301887
P51532,42,271,0.6633442265795207
P10636,42,210,0.3343045843045843
O60885,42,162,0.5491540923639688
P01116/P04049,42,139,0.8284615384615384
Q92793,42,111,0.8307692307692307
P14902,42,109,0.38362573099415204
Q07889,42,91,0.4011916583912612
Q92918,42,91,0.753707627118644
Q92793/Q09472,42,83,0.9514925373134329
Q09472,42,80,0.9453125
P36969,42,76,0.8316939890710382
Q13422,42,73,0.502454991816694
P36888,42,70,0.673202614379085
P17706,42,68,0.7760416666666666
Q9BY41,42,61,0.42500000000000004
P18031,42,59,0.9329411764705882
P09874,42,57,0.4484126984126984
P36897,42,57,0.4923273657289003
Q00534,42,57,0.86375
P11802,42,56,0.7390243902439024
P51531/P51532,42,48,0.707231040564374
P50750,42,47,0.750909090909091
Q02750,42,46,0.6593406593406593
O15379,42,43,0.996969696969697
P98170,42,39,0.5505050505050505
Q9UBN7,42,39,0.44583333333333336
P49336,42,38,0.5990783410138248
P43490,42,36,0.22839506172839508
Q9UM73,42,34,0.5902777777777778
P01116/Q07889,42,32,0.4681818181818182
P25440,42,32,0.8987854251012146
Q15059,42,31,0.7905982905982907
P37840,42,30,0.5267857142857143
Q06124,42,30,0.7733333333333334
P30530,42,28,0.9393939393939394
Q9NYV4,42,28,0.8830409356725146
P40337,42,26,0.68125
Q14004,42,26,0.6964285714285714
P06239,42,25,0.7192982456140351
P40763,42,24,0.47058823529411764
P24941,42,22,0.9428571428571428
P49840,42,22,0.8421052631578948
Q9Y2I7,42,21,0.7592592592592593
P33981,42,20,0.5700000000000001
Q08881,42,19,0.6142857142857143
Q93009,42,19,0.8205128205128205
P08581,42,17,0.8166666666666667
P15170,42,17,0.25
Q96SW2,42,17,0.1538461538461538
O60674,42,14,1.0
Q9Y616,42,14,0.5416666666666666
Q5S007,42,13,0.6166666666666666
O75530,42,12,0.7714285714285714
Q16539,42,12,0.9166666666666667
P11474,42,11,0.7857142857142857
O43924,42,10,0.4444444444444444
O60760,42,10,0.4761904761904762
P10275,43,1968,0.48212209722664046
P03372,43,1291,0.5904701697467052
Q06187,43,761,0.7550907715582451
P01116,43,722,0.7683582934809967
P15056,43,606,0.684300896471949
P51531,43,432,0.718169840699485
P00533,43,402,0.7769437636165577
Q9NWZ3,43,313,0.8470125786163523
P51532,43,271,0.6519063180827886
P10636,43,210,0.350475912975913
O60885,43,162,0.5864959609815577
P01116/P04049,43,139,0.8364102564102565
Q92793,43,111,0.8416289592760181
P14902,43,109,0.39649122807017545
Q07889,43,91,0.4443892750744787
Q92918,43,91,0.7923728813559322
Q92793/Q09472,43,83,0.9514925373134329
Q09472,43,80,0.9440104166666666
P36969,43,76,0.8524590163934425
Q13422,43,73,0.5008183306055646
P36888,43,70,0.7459150326797386
P17706,43,68,0.7881944444444445
Q9BY41,43,61,0.3861111111111111
P18031,43,59,0.928235294117647
P09874,43,57,0.48412698412698413
P36897,43,57,0.43094629156010233
Q00534,43,57,0.8525
P11802,43,56,0.7650406504065042
P51531/P51532,43,48,0.6948853615520283
P50750,43,47,0.7290909090909091
Q02750,43,46,0.6263736263736264
O15379,43,43,1.0
P98170,43,39,0.5252525252525253
Q9UBN7,43,39,0.5402777777777777
P49336,43,38,0.663594470046083
P43490,43,36,0.20061728395061731
Q9UM73,43,34,0.6284722222222222
P01116/Q07889,43,32,0.4454545454545455
P25440,43,32,0.902834008097166
Q15059,43,31,0.7905982905982907
P37840,43,30,0.5089285714285714
Q06124,43,30,0.5822222222222222
P30530,43,28,0.9545454545454546
Q9NYV4,43,28,0.8713450292397661
P40337,43,26,0.7
