target,auroc
P10275,0.8102907678397497
P03372,0.8285436901851284
Q06187,0.8096387518000911
P01116,0.8589716236398549
P15056,0.7594380094380094
P51531,0.6716437271287345
P00533,0.8071003908901528
Q9NWZ3,0.8743512404554225
P51532,0.7398571617012456
P10636,0.6651785714285715
O60885,0.6373742291463812
P01116/P04049,0.8325438840902759
Q92793,0.8529810298102981
P14902,0.5558785529715763
Q07889,0.7283333333333334
Q92918,0.8734126984126984
Q92793/Q09472,0.9410934744268079
Q09472,0.9414814814814815
P36969,0.8299916457811195
Q13422,0.8009302325581397
P36888,0.7594696969696969
P17706,0.8515151515151516
Q9BY41,0.4991869918699187
P18031,0.9373539036933146
P09874,0.8380208333333332
P36897,0.5596518177163339
Q00534,0.8388888888888889
P11802,0.7368082368082368
P51531/P51532,0.668148148148148
P50750,0.790151515151515
Q02750,0.7126984126984127
O15379,1.0
P98170,0.6091954022988505
Q9UBN7,0.5897435897435898
P49336,0.5041152263374485
P43490,0.48055555555555557
Q9UM73,0.8717948717948718
P01116/Q07889,0.5082304526748971
P25440,0.8143939393939394
Q15059,0.7717171717171718
P37840,0.6839826839826838
Q06124,0.6752136752136751
P30530,0.9888888888888889
Q9NYV4,0.7916666666666666
P40337,0.6851851851851851
Q14004,0.7333333333333334
P06239,0.5677083333333334
P40763,0.23076923076923075
P24941,0.8989898989898991
P49840,0.9555555555555556
Q9Y2I7,0.7976190476190476
P33981,0.8333333333333334
Q08881,0.6565656565656566
Q93009,0.562962962962963
P08581,1.0
P15170,0.5802469135802469
Q96SW2,0.22222222222222224
O60674,1.0
Q9Y616,0.9166666666666666
Q5S007,0.8333333333333334
O75530,0.486111111111111
Q16539,0.9722222222222223
P11474,0.5185185185185185
O43924,0.5
O60760,0.9166666666666666
