target,auroc
O15379,0.9818
O43924,1.0
O60674,0.875
O60760,0.8571
O60885,0.5579
O75530,0.4857
P00533,0.6681
P01116,0.5121
P01116/P04049,0.6865
P01116/Q07889,0.5773
P03372,0.5621
P06239,0.4123
P08581,1.0
P09874,0.1574
P10275,0.6152
P10636,0.5189
P11474,0.5
P11802,0.8415
P14902,0.355
P15056,0.4785
P15170,0.5577
P17706,0.862
P18031,0.9629
P24941,0.3619
P25440,0.917
P30530,0.7879
P33981,0.64
P36888,0.6013
P36897,0.468
P36969,0.3235
P37840,0.7076
P40337,0.4094
P40763,0.6387
P43490,0.4784
P49336,0.3433
P49840,0.9474
P50750,0.6473
P51531,0.5617
P51531/P51532,0.709
P51532,0.633
P98170,0.553
Q00534,0.8381
Q02750,0.7143
Q06124,0.7178
Q06187,0.4678
Q07889,0.4364
Q08881,0.8429
Q09472,0.8366
Q13422,0.5307
Q14004,0.8542
Q15059,0.7756
Q16539,0.8056
Q5S007,0.95
Q92793,0.8921
Q92793/Q09472,0.875
Q92918,0.7296
Q93009,0.7564
Q96SW2,0.1538
Q9BY41,0.5368
Q9NWZ3,0.7311
Q9NYV4,0.7953
Q9UBN7,0.4694
Q9UM73,0.849
Q9Y2I7,0.6852
