target,n,within,loto,gap
P10275,1968,0.925157309817546,0.5274504275234487,0.39770688229409723
P03372,1291,0.8880576383399778,0.5929321684673318,0.295125469872646
Q06187,761,0.9158723513328776,0.7034039334341906,0.21246841789868698
P01116,722,0.9189912251806477,0.7275323712839444,0.19145885389670325
P15056,606,0.8145594717305614,0.7143519857335646,0.1002074859969968
P51531,432,0.8053814304670468,0.5926325175337034,0.21274891293334341
P00533,402,0.8721031293198624,0.7612223129992737,0.11088081632058877
Q9NWZ3,313,0.9658141160027952,0.8131551362683438,0.15265897973445142
P51532,271,0.8412290156117315,0.634368191721133,0.20686082389059846
P10636,210,0.8261469214941436,0.5091135716135716,0.31703334988057197
O60885,162,0.851187193627451,0.5302545343697608,0.3209326592576902
P01116/P04049,139,0.8683333333333334,0.8361965811965812,0.032136752136752156
Q92793,111,0.6462745098039216,0.8257164404223228,-0.1794419306184012
P14902,109,0.7354938271604936,0.42163742690058476,0.31385640025990885
Q07889,91,0.8535930735930735,0.2388282025819265,0.614764871011147
Q92918,91,0.8621332371332372,0.7754237288135594,0.08670950831967783
Q92793/Q09472,83,0.9043345543345543,0.9387437810945274,-0.034409226759973044
Q09472,80,0.8223544973544976,0.9055989583333334,-0.08324446097883575
P36969,76,0.8767806267806268,0.774863387978142,0.10191723880248482
Q13422,73,0.8778271604938273,0.47517730496453897,0.4026498555292883
P36888,70,0.8880668934240362,0.716230936819172,0.17183595660486417
P17706,68,0.7773100907029478,0.8564814814814813,-0.07917139077853352
Q9BY41,61,0.8030864197530864,0.39282407407407405,0.4102623456790123
P18031,59,0.8561904761904764,0.9315686274509805,-0.07537815126050407
Q00534,57,0.9171428571428571,0.835625,0.0815178571428572
P09874,57,0.8732738095238095,0.2685185185185185,0.604755291005291
P36897,57,0.7087301587301588,0.49957374254049447,0.2091564161896643
P11802,56,0.7828703703703702,0.7533875338753387,0.029482836495031473
P51531/P51532,48,0.7151111111111111,0.6754850088183422,0.03962610229276897
P50750,47,0.8040000000000002,0.813939393939394,-0.009939393939393804
Q02750,46,1.0,0.6373626373626374,0.36263736263736257
O15379,43,0.973015873015873,1.0,-0.026984126984127
Q9UBN7,39,0.8177777777777779,0.4064814814814815,0.41129629629629644
P98170,39,0.915873015873016,0.56986531986532,0.346007696007696
P49336,38,0.4035714285714285,0.5614439324116742,-0.1578725038402457
P43490,36,0.8270833333333332,0.48045267489711935,0.3466306584362138
Q9UM73,34,0.8648148148148149,0.7517361111111112,0.11307870370370376
P25440,32,0.5342592592592593,0.8157894736842105,-0.2815302144249512
P01116/Q07889,32,0.325,0.46060606060606063,-0.13560606060606062
Q15059,31,0.6912037037037037,0.7215099715099716,-0.030306267806267995
Q06124,30,0.6888888888888888,0.7399999999999999,-0.05111111111111111
P37840,30,0.6268518518518518,0.49776785714285715,0.12908399470899462
Q9NYV4,28,0.7763888888888888,0.645224171539961,0.13116471734892776
P30530,28,0.9541666666666667,0.9760101010101009,-0.021843434343434165
P40337,26,0.7402777777777778,0.734375,0.005902777777777812
Q14004,26,0.7,0.5982142857142857,0.10178571428571426
P06239,25,0.4472222222222222,0.6842105263157895,-0.2369883040935673
P40763,24,0.4777777777777778,0.3165266106442577,0.1612511671335201
P24941,22,0.9444444444444445,0.9333333333333332,0.011111111111111294
P49840,22,0.925925925925926,0.7719298245614036,0.15399610136452246
Q9Y2I7,21,0.837962962962963,0.4567901234567901,0.3811728395061729
P33981,20,0.8833333333333333,0.65,0.23333333333333328
Q93009,19,0.9111111111111111,0.5341880341880342,0.3769230769230769
Q08881,19,0.7666666666666667,0.5714285714285715,0.1952380952380952
Q96SW2,17,0.875,0.10897435897435896,0.7660256410256411
P08581,17,1.0,0.9888888888888889,0.011111111111111072
P15170,17,0.8472222222222223,0.20512820512820515,0.6420940170940171
O60674,14,1.0,0.951388888888889,0.04861111111111105
Q9Y616,14,1.0,0.8055555555555557,0.1944444444444443
Q5S007,13,0.9444444444444444,0.9166666666666666,0.02777777777777779
Q16539,12,0.8833333333333333,0.9444444444444445,-0.06111111111111123
O75530,12,0.8166666666666667,0.44761904761904764,0.369047619047619
P11474,11,0.2916666666666667,0.6904761904761904,-0.39880952380952367
O43924,10,0.5,0.8888888888888888,-0.38888888888888884
O60760,10,1.0,0.7777777777777777,0.22222222222222232
