seed,target,auroc
7,P10275,0.8324
7,P03372,0.8136
7,Q06187,0.7971
7,P01116,0.8647
7,P15056,0.7482
7,P51531,0.6549
7,P00533,0.8107
7,Q9NWZ3,0.8604
7,P51532,0.6822
7,P10636,0.7008
7,O60885,0.6753
7,P01116/P04049,0.8384
7,Q92793,0.8544
7,P14902,0.7235
7,Q07889,0.3361
7,Q92918,0.8875
7,Q92793/Q09472,0.9291
7,Q09472,0.9393
7,P36969,0.8484
7,Q13422,0.6521
7,P36888,0.7509
7,P17706,0.8414
7,Q9BY41,0.5463
7,P18031,0.9663
7,P09874,0.8688
7,P36897,0.5407
7,Q00534,0.8318
7,P11802,0.6834
7,P51531/P51532,0.7044
7,P50750,0.8205
7,Q02750,0.8
7,O15379,1.0
7,P98170,0.6621
7,Q9UBN7,0.6062
7,P49336,0.5432
7,P43490,0.5792
7,Q9UM73,0.9135
7,P01116/Q07889,0.4506
7,P25440,0.8466
7,Q15059,0.8
7,P37840,0.7403
7,Q06124,0.7179
7,P30530,0.9444
7,Q9NYV4,0.8839
7,P40337,0.7963
7,Q14004,0.6182
7,P06239,0.5781
7,P40763,0.1667
7,P24941,0.9848
7,P49840,1.0
7,Q9Y2I7,0.6429
7,P33981,0.7679
7,Q08881,0.6667
7,Q93009,0.7333
7,P08581,1.0
7,P15170,0.7407
7,Q96SW2,0.3333
7,O60674,1.0
7,Q9Y616,0.875
7,Q5S007,1.0
7,O75530,0.5
7,Q16539,0.8333
7,P11474,0.3333
7,O43924,0.5
7,O60760,1.0
13,P10275,0.8438
13,P03372,0.8154
13,Q06187,0.8068
13,P01116,0.8449
13,P15056,0.7609
13,P51531,0.6678
13,P00533,0.8012
13,Q9NWZ3,0.8785
13,P51532,0.6775
13,P10636,0.6901
13,O60885,0.6702
13,P01116/P04049,0.844
13,Q92793,0.8415
13,P14902,0.6324
13,Q07889,0.3739
13,Q92918,0.8571
13,Q92793/Q09472,0.9524
13,Q09472,0.9533
13,P36969,0.8647
13,Q13422,0.6307
13,P36888,0.7585
13,P17706,0.9
13,Q9BY41,0.5122
13,P18031,0.9495
13,P09874,0.7156
13,P36897,0.5868
13,Q00534,0.847
13,P11802,0.722
13,P51531/P51532,0.7578
13,P50750,0.7977
13,Q02750,0.6381
13,O15379,1.0
13,P98170,0.5241
13,Q9UBN7,0.6227
