seed,target,auroc
42,O15379,0.9787878787878788
43,O15379,0.9818181818181819
44,O15379,0.9803030303030303
53,O15379,0.9818181818181819
71,O15379,0.9833333333333334
42,O43924,1.0
43,O43924,1.0
44,O43924,1.0
53,O43924,1.0
71,O43924,1.0
42,O60674,0.9270833333333334
43,O60674,0.9270833333333334
44,O60674,0.9270833333333334
53,O60674,0.9270833333333334
71,O60674,0.9270833333333334
42,O60760,0.8095238095238095
43,O60760,0.8095238095238095
44,O60760,0.8095238095238095
53,O60760,0.8095238095238095
71,O60760,0.8095238095238095
42,O60885,0.44078646547782346
43,O60885,0.4370522786160646
44,O60885,0.4556470050297211
53,O60885,0.4535893918609968
71,O60885,0.443758573388203
42,O75530,0.5
43,O75530,0.5
44,O75530,0.5
53,O75530,0.5
71,O75530,0.5
42,P00533,0.5972562636165577
43,P00533,0.5931372549019609
44,P00533,0.5948393246187365
53,P00533,0.5869247004357299
71,P00533,0.6029752178649237
42,P01116,0.4906451883547278
43,P01116,0.4854801157815253
44,P01116,0.4875094387113013
53,P01116,0.49162052185586036
71,P01116,0.48770345666582765
42,P01116/P04049,0.8064102564102564
43,P01116/P04049,0.8087179487179488
44,P01116/P04049,0.8074358974358975
53,P01116/P04049,0.8105128205128205
71,P01116/P04049,0.8064102564102564
42,P01116/Q07889,0.5681818181818181
43,P01116/Q07889,0.5681818181818181
44,P01116/Q07889,0.5681818181818181
53,P01116/Q07889,0.5681818181818181
71,P01116/Q07889,0.5681818181818181
42,P03372,0.601673081204873
43,P03372,0.6041872090927404
44,P03372,0.6002125809769183
53,P03372,0.6043144396026167
71,P03372,0.6029612901173701
42,P06239,0.5
43,P06239,0.5
44,P06239,0.5
53,P06239,0.5
71,P06239,0.5
42,P08581,0.8
43,P08581,0.8
44,P08581,0.8
53,P08581,0.8
71,P08581,0.7
42,P09874,0.29034391534391535
43,P09874,0.29034391534391535
44,P09874,0.2916666666666667
53,P09874,0.2705026455026455
71,P09874,0.2837301587301587
42,P10275,0.4902513085977038
43,P10275,0.48781775065791383
44,P10275,0.4891162266115272
53,P10275,0.4901913010786894
71,P10275,0.4922127591891031
42,P10636,0.4065656565656565
43,P10636,0.4101592851592851
44,P10636,0.4165695415695415
53,P10636,0.4103049728049728
71,P10636,0.4164238539238539
42,P11474,0.4642857142857143
43,P11474,0.4642857142857143
44,P11474,0.48214285714285715
53,P11474,0.48214285714285715
71,P11474,0.48214285714285715
42,P11802,0.7170731707317073
43,P11802,0.7170731707317073
44,P11802,0.7170731707317073
53,P11802,0.7170731707317073
71,P11802,0.7170731707317073
42,P14902,0.45321637426900585
43,P14902,0.4523391812865497
44,P14902,0.4497076023391813
53,P14902,0.4526315789473684
71,P14902,0.4523391812865497
42,P15056,0.5767875216888375
43,P15056,0.5800318102949682
44,P15056,0.5755223395026026
53,P15056,0.575459080393291
71,P15056,0.5722419028340081
42,P15170,0.5480769230769231
43,P15170,0.5288461538461537
44,P15170,0.5288461538461537
53,P15170,0.5288461538461537
71,P15170,0.5480769230769231
42,P17706,0.8328993055555556
43,P17706,0.8328993055555556
44,P17706,0.8328993055555556
53,P17706,0.8328993055555556
71,P17706,0.8328993055555556
42,P18031,0.8758823529411766
43,P18031,0.8823529411764706
44,P18031,0.8811764705882352
53,P18031,0.8747058823529412
71,P18031,0.8794117647058823
42,P24941,0.9047619047619048
43,P24941,0.9047619047619048
44,P24941,0.9047619047619048
53,P24941,0.9047619047619048
71,P24941,0.9047619047619048
42,P25440,0.736842105263158
43,P25440,0.7469635627530364
44,P25440,0.7510121457489878
53,P25440,0.7591093117408908
71,P25440,0.8380566801619433
42,P30530,0.6818181818181819
43,P30530,0.6818181818181819
44,P30530,0.6818181818181819
53,P30530,0.6818181818181819
71,P30530,0.6818181818181819
42,P33981,0.22
43,P33981,0.255
44,P33981,0.31999999999999995
53,P33981,0.32
71,P33981,0.33000000000000007
42,P36888,0.7933006535947712
43,P36888,0.7965686274509804
44,P36888,0.7920751633986929
53,P36888,0.7883986928104575
71,P36888,0.7871732026143791
42,P36897,0.45140664961636834
43,P36897,0.4092071611253197
44,P36897,0.4386189258312021
53,P36897,0.43030690537084404
71,P36897,0.3951406649616368
42,P36969,0.4579234972677595
43,P36969,0.4557377049180327
44,P36969,0.45355191256830596
53,P36969,0.4557377049180327
71,P36969,0.4557377049180327
42,P37840,0.5580357142857143
43,P37840,0.5491071428571429
44,P37840,0.5513392857142858
53,P37840,0.5446428571428572
71,P37840,0.5558035714285715
42,P40337,0.6593749999999999
43,P40337,0.6593749999999999
44,P40337,0.6875
53,P40337,0.6843750000000001
71,P40337,0.6625
42,P40763,0.5042016806722689
43,P40763,0.5042016806722689
44,P40763,0.5042016806722689
53,P40763,0.5042016806722689
71,P40763,0.4411764705882353
42,P43490,0.49382716049382713
43,P43490,0.49382716049382713
44,P43490,0.5015432098765432
53,P43490,0.49382716049382713
71,P43490,0.49382716049382713
42,P49336,0.5460829493087558
43,P49336,0.5368663594470046
44,P49336,0.6013824884792627
53,P49336,0.5276497695852533
71,P49336,0.576036866359447
42,P49840,0.8421052631578947
43,P49840,0.8421052631578947
44,P49840,0.8421052631578947
53,P49840,0.8421052631578947
71,P49840,0.8421052631578947
42,P50750,0.7290909090909091
43,P50750,0.7127272727272728
44,P50750,0.7245454545454546
53,P50750,0.7245454545454546
71,P50750,0.7290909090909091
42,P51531,0.5607857228410589
43,P51531,0.5553359683794467
44,P51531,0.5563540543777699
53,P51531,0.5606060606060607
71,P51531,0.5586497384916358
42,P51531/P51532,0.5802469135802469
43,P51531/P51532,0.5802469135802468
44,P51531/P51532,0.5802469135802468
53,P51531/P51532,0.5987654320987654
71,P51531/P51532,0.5811287477954146
42,P51532,0.6418028322440087
43,P51532,0.6460511982570806
44,P51532,0.6597766884531591
53,P51532,0.6643518518518519
71,P51532,0.6624727668845316
42,P98170,0.6136363636363636
43,P98170,0.6060606060606061
44,P98170,0.6060606060606061
53,P98170,0.6060606060606061
71,P98170,0.6060606060606061
42,Q00534,0.8418749999999999
43,Q00534,0.83875
44,Q00534,0.8225
53,Q00534,0.836875
71,Q00534,0.82
42,Q02750,0.6135531135531135
43,Q02750,0.6153846153846153
44,Q02750,0.6135531135531135
53,Q02750,0.6135531135531135
71,Q02750,0.6153846153846153
42,Q06124,0.7555555555555555
43,Q06124,0.7666666666666666
44,Q06124,0.76
53,Q06124,0.7333333333333334
71,Q06124,0.7533333333333334
42,Q06187,0.6213993948562784
43,Q06187,0.6180105900151286
44,Q06187,0.6231921331316188
53,Q06187,0.6193494704992436
71,Q06187,0.616497730711044
42,Q07889,0.49627606752730885
43,Q07889,0.4940417080436942
44,Q07889,0.4853525322740814
53,Q07889,0.5019860973187686
71,Q07889,0.49528301886792453
42,Q08881,0.5071428571428571
43,Q08881,0.5214285714285715
44,Q08881,0.46428571428571425
53,Q08881,0.6071428571428572
71,Q08881,0.5214285714285715
42,Q09472,0.9026692708333334
43,Q09472,0.9033203125
44,Q09472,0.91015625
53,Q09472,0.9078776041666667
71,Q09472,0.9091796875
42,Q13422,0.5613747954173486
43,Q13422,0.5585106382978723
44,Q13422,0.5613747954173486
53,Q13422,0.5589198036006546
71,Q13422,0.5589198036006546
42,Q14004,0.7023809523809523
43,Q14004,0.630952380952381
44,Q14004,0.6160714285714286
53,Q14004,0.6964285714285715
71,Q14004,0.6488095238095238
42,Q15059,0.6965811965811967
43,Q15059,0.6303418803418803
44,Q15059,0.7393162393162394
53,Q15059,0.6581196581196582
71,Q15059,0.670940170940171
