target,primary_id,n,within,loto,gap,max_cosine_sim,most_similar_target
Q96SW2,Q96SW2,17,0.875,0.1089743589743589,0.7660256410256411,0.9687845,P08581
P15170,P15170,17,0.8472222222222223,0.2051282051282051,0.6420940170940171,0.96705484,P09874
Q07889,Q07889,91,0.8535930735930735,0.2388282025819265,0.614764871011147,0.95188516,P15056
P09874,P09874,57,0.8732738095238095,0.2685185185185185,0.604755291005291,0.9730642,Q93009
P40763,P40763,24,0.4777777777777778,0.3165266106442577,0.1612511671335201,0.9436718,Q07889
Q9BY41,Q9BY41,61,0.8030864197530864,0.392824074074074,0.4102623456790123,0.8821606,P00533
Q9UBN7,Q9UBN7,39,0.8177777777777779,0.4064814814814815,0.4112962962962964,0.95894086,P11474
P14902,P14902,109,0.7354938271604936,0.4216374269005847,0.3138564002599088,0.9662749,O60674
O75530,O75530,12,0.8166666666666667,0.4476190476190476,0.369047619047619,0.9708283,Q93009
Q9Y2I7,Q9Y2I7,21,0.837962962962963,0.4567901234567901,0.3811728395061729,0.9834336,P03372
P01116/Q07889,P01116,32,0.325,0.4606060606060606,-0.1356060606060606,1.0000002,P01116
P43490,P43490,36,0.8270833333333332,0.4804526748971193,0.3466306584362138,0.9078501,P40763
P37840,P37840,30,0.6268518518518518,0.4977678571428571,0.1290839947089946,0.94728154,P51531
P36897,P36897,57,0.7087301587301588,0.4995737425404944,0.2091564161896643,0.97576,Q9NWZ3
P10636,P10636,210,0.8261469214941436,0.5091135716135716,0.3170333498805719,0.9735104,Q14004
P10275,P10275,1968,0.925157309817546,0.5274504275234487,0.3977068822940972,0.980839,Q14004
O60885,O60885,162,0.851187193627451,0.5302545343697608,0.3209326592576902,0.98667765,Q15059
Q93009,Q93009,19,0.9111111111111112,0.5341880341880342,0.3769230769230769,0.9730642,P09874
P49336,P49336,38,0.4035714285714285,0.5614439324116742,-0.1578725038402457,0.877779,Q9BY41
P98170,P98170,39,0.915873015873016,0.56986531986532,0.346007696007696,0.9733242,O60674
Q08881,Q08881,19,0.7666666666666667,0.5714285714285715,0.1952380952380952,0.9953679,Q06187
P51531,P51531,432,0.8053814304670468,0.5926325175337034,0.2127489129333434,1.0000005,P51531/P51532
P03372,P03372,1291,0.8880576383399778,0.5929321684673318,0.295125469872646,0.9834336,Q9Y2I7
Q14004,Q14004,26,0.7,0.5982142857142857,0.1017857142857142,0.9916128,Q9NYV4
P51532,P51532,271,0.8412290156117315,0.634368191721133,0.2068608238905984,0.99880844,P51531
Q02750,Q02750,46,1.0,0.6373626373626374,0.3626373626373625,0.96647495,Q06187
Q9NYV4,Q9NYV4,28,0.7763888888888888,0.645224171539961,0.1311647173489277,0.9916128,Q14004
P33981,P33981,20,0.8833333333333333,0.65,0.2333333333333332,0.97552174,Q9Y2I7
P51531/P51532,P51531,48,0.7151111111111111,0.6754850088183422,0.0396261022927689,1.0000005,P51531
P06239,P06239,25,0.4472222222222222,0.6842105263157895,-0.2369883040935673,0.97895163,Q08881
P11474,P11474,11,0.2916666666666667,0.6904761904761904,-0.3988095238095236,0.9763036,P03372
Q06187,Q06187,761,0.9158723513328776,0.7034039334341906,0.2124684178986869,0.9953679,Q08881
P15056,P15056,606,0.8145594717305614,0.7143519857335646,0.1002074859969968,0.96276075,Q92918
P36888,P36888,70,0.8880668934240362,0.716230936819172,0.1718359566048641,0.9848782,O60674
Q15059,Q15059,31,0.6912037037037037,0.7215099715099716,-0.0303062678062679,0.99370646,P25440
P01116,P01116,722,0.9189912251806476,0.7275323712839444,0.1914588538967032,1.0000002,P01116/P04049
P40337,P40337,26,0.7402777777777778,0.734375,0.0059027777777778,0.928594,P15056
Q06124,Q06124,30,0.6888888888888888,0.7399999999999999,-0.0511111111111111,0.9783474,O60674
Q9UM73,Q9UM73,34,0.8648148148148149,0.7517361111111112,0.1130787037037037,0.94996077,P08581
P11802,P11802,56,0.7828703703703702,0.7533875338753387,0.0294828364950314,0.9896286,Q00534
P00533,P00533,402,0.8721031293198624,0.7612223129992737,0.1108808163205887,0.9130791,P40763
P49840,P49840,22,0.925925925925926,0.7719298245614036,0.1539961013645224,0.97740847,P51531
P36969,P36969,76,0.8767806267806268,0.774863387978142,0.1019172388024848,0.9065994,P06239
Q92918,Q92918,91,0.8621332371332372,0.7754237288135594,0.0867095083196778,0.96276075,P15056
O60760,O60760,10,1.0,0.7777777777777777,0.2222222222222223,0.9579716,Q06124
Q9Y616,Q9Y616,14,1.0,0.8055555555555557,0.1944444444444443,0.8556882,P18031
Q9NWZ3,Q9NWZ3,313,0.9658141160027952,0.8131551362683438,0.1526589797344514,0.9832072,O60674
P50750,P50750,47,0.8040000000000002,0.813939393939394,-0.0099393939393938,0.9866011,Q00534
P25440,P25440,32,0.5342592592592593,0.8157894736842105,-0.2815302144249512,0.99370646,Q15059
Q92793,Q92793,111,0.6462745098039216,0.8257164404223228,-0.1794419306184012,1.0000001,Q92793/Q09472
Q00534,Q00534,57,0.9171428571428571,0.835625,0.0815178571428572,0.9896286,P11802
P01116/P04049,P01116,139,0.8683333333333334,0.8361965811965812,0.0321367521367521,1.0000002,P01116
P17706,P17706,68,0.7773100907029478,0.8564814814814813,-0.0791713907785335,0.92200404,Q07889
O43924,O43924,10,0.5,0.8888888888888888,-0.3888888888888888,0.9752862,O60674
Q09472,Q09472,80,0.8223544973544976,0.9055989583333334,-0.0832444609788357,0.9981716,Q92793
Q5S007,Q5S007,13,0.9444444444444444,0.9166666666666666,0.0277777777777777,0.98022497,P36888
P18031,P18031,59,0.8561904761904764,0.9315686274509803,-0.075378151260504,0.8871913,P17706
P24941,P24941,22,0.9444444444444444,0.9333333333333332,0.0111111111111112,0.97665715,Q16539
Q92793/Q09472,Q92793,83,0.9043345543345545,0.9387437810945274,-0.034409226759973,1.0000001,Q92793
Q16539,Q16539,12,0.8833333333333333,0.9444444444444444,-0.0611111111111112,0.9787902,Q00534
O60674,O60674,14,1.0,0.951388888888889,0.048611111111111,0.9848782,P36888
P30530,P30530,28,0.9541666666666668,0.9760101010101008,-0.0218434343434341,0.9603764,Q92918
P08581,P08581,17,1.0,0.9888888888888888,0.011111111111111,0.97621137,O60674
O15379,O15379,43,0.973015873015873,1.0,-0.026984126984127,0.9599899,O75530
