target,auroc_cond,auroc_base,n_test,rate,delta
O15379,1.0,1.0,43,0.23255814611911774,0.0
O43924,0.6666666666666666,0.9259259259259259,10,0.10000000149011612,-0.2592592592592593
O60674,0.9791666666666666,0.9791666666666666,14,0.4285714328289032,0.0
O60760,0.8095238095238094,0.7301587301587302,10,0.699999988079071,0.0793650793650792
O60885,0.5707971345831427,0.5568764924046131,162,0.5,0.013920642178529619
O75530,0.5714285714285714,0.45714285714285713,12,0.4166666567325592,0.11428571428571427
P00533,0.7271298565722585,0.7623910675381264,402,0.7611940503120422,-0.03526121096586787
P01116,0.5965964706211371,0.7202960259529602,722,0.7590027451515198,-0.12369955533182309
P01116/P04049,0.7576923076923077,0.8108119658119658,139,0.7194244861602783,-0.05311965811965813
P01116/Q07889,0.5196969696969697,0.4234848484848485,32,0.3125,0.09621212121212114
P03372,0.6644180441136451,0.596048432414093,1291,0.6537567973136902,0.06836961169955214
P06239,0.6140350877192983,0.6871345029239766,25,0.7599999904632568,-0.07309941520467833
P08581,0.9500000000000001,1.0,17,0.29411765933036804,-0.04999999999999993
P09874,0.4537037037037037,0.33641975308641975,57,0.3684210479259491,0.11728395061728397
P10275,0.6006010391663533,0.5278822888651108,1968,0.767276406288147,0.07271875030124253
P10636,0.5583559958559958,0.5145202020202021,210,0.37142857909202576,0.043835793835793724
P11474,0.5119047619047619,0.5952380952380952,11,0.3636363744735718,-0.08333333333333337
P11802,0.7317073170731708,0.7143631436314363,56,0.2678571343421936,0.017344173441734556
P14902,0.5463937621832359,0.5066276803118908,109,0.17431192100048065,0.039766081871345116
P15056,0.7224130036630036,0.7139935174474648,606,0.8151814937591553,0.008419486215538896
P15170,0.4679487179487179,0.4423076923076923,17,0.23529411852359772,0.025641025641025605
P17706,0.8509837962962963,0.8920717592592592,68,0.47058823704719543,-0.04108796296296291
P18031,0.4468627450980392,0.9586274509803921,59,0.4237288236618042,-0.5117647058823529
P24941,0.9238095238095237,0.8857142857142858,22,0.3181818127632141,0.03809523809523796
P25440,0.8549257759784075,0.9197031039136302,32,0.40625,-0.06477732793522273
P30530,0.8724747474747474,0.9785353535353535,28,0.2142857164144516,-0.10606060606060608
P33981,0.7566666666666667,0.7033333333333333,20,0.5,0.053333333333333455
P36888,0.6228213507625272,0.7412854030501089,70,0.48571428656578064,-0.11846405228758172
P36897,0.46035805626598464,0.4838022165387894,57,0.4035087823867798,-0.02344416027280477
P36969,0.5970856102003643,0.7781420765027324,76,0.19736842811107635,-0.18105646630236805
P37840,0.6510416666666666,0.4918154761904762,30,0.5333333611488342,0.1592261904761904
P40337,0.5447916666666667,0.7312500000000002,26,0.38461539149284363,-0.1864583333333335
P40763,0.29971988795518206,0.33893557422969184,24,0.2916666567325592,-0.039215686274509776
P43490,0.6347736625514403,0.47016460905349794,36,0.5,0.16460905349794236
P49336,0.5798771121351766,0.5568356374807988,38,0.18421052396297455,0.02304147465437778
P49840,0.912280701754386,0.9473684210526315,22,0.13636364042758942,-0.0350877192982455
P50750,0.7921212121212121,0.770909090909091,47,0.4680851101875305,0.021212121212121127
P51531,0.6224298319159979,0.6458857348185412,432,0.8402777910232544,-0.02345590290254329
P51531/P51532,0.6337448559670782,0.75896531452087,48,0.5625,-0.12522045855379182
P51532,0.6799927378358751,0.7023511256354394,271,0.49815496802330017,-0.02235838779956434
P98170,0.6523569023569024,0.617003367003367,39,0.8461538553237915,0.03535353535353536
Q00534,0.6860416666666667,0.8341666666666666,57,0.5614035129547119,-0.14812499999999995
Q02750,0.5970695970695971,0.5897435897435898,46,0.15217390656471252,0.0073260073260073
Q06124,0.6548148148148148,0.7459259259259259,30,0.5,-0.09111111111111103
Q06187,0.7604841149773071,0.718517397881997,761,0.8685939311981201,0.04196671709531008
Q07889,0.85062893081761,0.37537239324726906,91,0.4175824224948883,0.475256537570341
Q08881,0.6619047619047619,0.5523809523809523,19,0.7368420958518982,0.10952380952380958
Q09472,0.9437934027777777,0.9524739583333334,80,0.6000000238418579,-0.008680555555555691
Q13422,0.8254228041462084,0.47190398254228044,73,0.3561643958091736,0.35351882160392795
Q14004,0.7212301587301587,0.6597222222222222,26,0.4615384638309479,0.06150793650793651
Q15059,0.7742165242165241,0.7784900284900286,31,0.4193548262119293,-0.00427350427350448
Q16539,0.7962962962962964,0.888888888888889,12,0.5,-0.09259259259259256
Q5S007,0.5833333333333334,0.8166666666666668,13,0.23076923191547394,-0.2333333333333334
Q92793,0.8817496229260936,0.8809954751131222,111,0.7657657861709595,0.0007541478129714507
Q92793/Q09472,0.7498445273631841,0.8966106965174129,83,0.8072289228439331,-0.1467661691542288
Q92918,0.797316384180791,0.7549435028248587,91,0.6483516693115234,0.04237288135593231
Q93009,0.7393162393162394,0.5128205128205129,19,0.31578946113586426,0.22649572649572647
Q96SW2,0.12179487179487176,0.12179487179487176,17,0.23529411852359772,0.0
Q9BY41,0.394675925925926,0.4016203703703704,61,0.26229506731033325,-0.00694444444444442
Q9NWZ3,0.8370545073375263,0.8025157232704402,313,0.8466453552246094,0.034538784067086103
Q9NYV4,0.6715399610136452,0.7231968810916181,28,0.6785714030265808,-0.051656920077972845
Q9UBN7,0.6328703703703703,0.4305555555555555,39,0.6153846383094788,0.20231481481481478
Q9UM73,0.5758101851851852,0.7494212962962963,34,0.529411792755127,-0.17361111111111105
Q9Y2I7,0.7345679012345679,0.5925925925925927,21,0.1428571492433548,0.14197530864197527
Q9Y616,0.9027777777777777,0.9583333333333334,14,0.1428571492433548,-0.05555555555555569
