seed,target,auroc
42,O15379,0.9909
42,O43924,1.0
42,O60674,0.9271
42,O60760,0.6667
42,O60885,0.753
42,O75530,0.2143
42,P00533,0.8068
42,P01116,0.8946
42,P01116/P04049,0.7823
42,P01116/Q07889,0.5909
42,P03372,0.8647
42,P06239,0.25
42,P08581,1.0
42,P09874,0.8737
42,P10275,0.894
42,P10636,0.7716
42,P11474,0.4286
42,P11802,0.7602
42,P14902,0.6749
42,P15056,0.7687
42,P15170,0.5
42,P17706,0.8451
42,P18031,0.8682
42,P24941,0.9238
42,P25440,0.7632
42,P30530,0.875
42,P33981,0.72
42,P36888,0.8145
42,P36897,0.6726
42,P36969,0.8137
42,P37840,0.6049
42,P40337,0.6187
42,P40763,0.395
42,P43490,0.7762
42,P49336,0.4009
42,P49840,0.9035
42,P50750,0.6791
42,P51531,0.6849
42,P51531/P51532,0.5979
42,P51532,0.8007
42,P98170,0.6136
42,Q00534,0.8856
42,Q02750,0.9121
42,Q06124,0.5067
42,Q06187,0.8719
42,Q07889,0.8071
42,Q08881,0.4643
42,Q09472,0.8932
42,Q13422,0.8797
42,Q14004,0.75
42,Q15059,0.7051
42,Q16539,0.6667
42,Q5S007,0.4833
42,Q92793,0.836
42,Q92793/Q09472,0.9142
42,Q92918,0.8705
42,Q93009,0.641
42,Q96SW2,0.125
42,Q9BY41,0.7861
42,Q9NWZ3,0.9101
42,Q9NYV4,0.7398
42,Q9UBN7,0.6292
42,Q9UM73,0.8802
42,Q9Y2I7,0.8333
42,Q9Y616,0.6875
43,O15379,0.9909
43,O43924,1.0
43,O60674,0.9375
43,O60760,0.6667
43,O60885,0.7186
43,O75530,0.6143
43,P00533,0.8342
43,P01116,0.8935
43,P01116/P04049,0.8051
43,P01116/Q07889,0.5455
43,P03372,0.8679
43,P06239,0.4298
43,P08581,1.0
43,P09874,0.8115
43,P10275,0.8923
43,P10636,0.7371
43,P11474,0.3214
43,P11802,0.7293
43,P14902,0.6646
43,P15056,0.7644
43,P15170,0.5962
43,P17706,0.8563
43,P18031,0.8888
43,P24941,0.9571
43,P25440,0.6154
43,P30530,0.9091
43,P33981,0.805
43,P36888,0.8162
43,P36897,0.6669
43,P36969,0.8492
43,P37840,0.6451
43,P40337,0.6844
43,P40763,0.3571
43,P43490,0.7485
43,P49336,0.4332
43,P49840,0.9211
43,P50750,0.7536
43,P51531,0.7007
43,P51531/P51532,0.6358
43,P51532,0.8112
43,P98170,0.6566
43,Q00534,0.8625
43,Q02750,0.9414
43,Q06124,0.5422
43,Q06187,0.8746
43,Q07889,0.8307
43,Q08881,0.6643
43,Q09472,0.9137
43,Q13422,0.856
43,Q14004,0.6994
43,Q15059,0.4829
43,Q16539,0.7361
43,Q5S007,0.6833
43,Q92793,0.8407
43,Q92793/Q09472,0.9221
43,Q92918,0.8914
43,Q93009,0.6346
43,Q96SW2,0.1346
43,Q9BY41,0.7993
43,Q9NWZ3,0.8983
43,Q9NYV4,0.6784
43,Q9UBN7,0.6861
43,Q9UM73,0.8542
43,Q9Y2I7,0.6296
43,Q9Y616,0.6875
44,O15379,0.9864
44,O43924,1.0
44,O60674,0.9375
44,O60760,0.6905
44,O60885,0.7399
44,O75530,0.8143
44,P00533,0.8242
44,P01116,0.894
44,P01116/P04049,0.8129
44,P01116/Q07889,0.3818
44,P03372,0.8613
44,P06239,0.1535
44,P08581,1.0
44,P09874,0.871
44,P10275,0.8958
44,P10636,0.7711
44,P11474,0.25
44,P11802,0.7878
44,P14902,0.6053
44,P15056,0.7513
44,P15170,0.4327
44,P17706,0.8485
44,P18031,0.9147
44,P24941,0.9238
44,P25440,0.7206
44,P30530,0.9205
44,P33981,0.77
44,P36888,0.7953
44,P36897,0.6483
44,P36969,0.8628
44,P37840,0.4754
44,P40337,0.6969
44,P40763,0.5252
44,P43490,0.7917
44,P49336,0.4263
44,P49840,0.8333
44,P50750,0.8082
44,P51531,0.6984
44,P51531/P51532,0.6481
44,P51532,0.8411
44,P98170,0.6515
44,Q00534,0.8825
44,Q02750,0.9176
44,Q06124,0.4689
44,Q06187,0.8571
44,Q07889,0.8424
44,Q08881,0.6429
44,Q09472,0.9157
44,Q13422,0.8269
44,Q14004,0.7619
44,Q15059,0.5748
44,Q16539,0.6389
44,Q5S007,0.75
44,Q92793,0.817
44,Q92793/Q09472,0.9361
44,Q92918,0.8594
44,Q93009,0.5769
44,Q96SW2,0.0673
44,Q9BY41,0.7479
44,Q9NWZ3,0.879
44,Q9NYV4,0.4942
44,Q9UBN7,0.5611
44,Q9UM73,0.8663
44,Q9Y2I7,0.713
44,Q9Y616,0.7292
53,O15379,0.9379
53,O43924,1.0
53,O60674,0.9375
53,O60760,0.6667
53,O60885,0.7629
53,O75530,0.6714
53,P00533,0.8194
53,P01116,0.8883
53,P01116/P04049,0.7991
53,P01116/Q07889,0.5591
53,P03372,0.8607
53,P06239,0.3421
53,P08581,1.0
53,P09874,0.8333
