seed,target,auroc
42,O15379,0.9939
42,O43924,1.0
42,O60674,1.0
42,O60760,0.7619
42,O60885,0.7411
42,O75530,0.0857
42,P00533,0.8634
42,P01116,0.8978
42,P01116/P04049,0.7942
42,P01116/Q07889,0.5591
42,P03372,0.8747
42,P06239,0.3333
42,P08581,1.0
42,P09874,0.787
42,P10275,0.9057
42,P10636,0.7382
42,P11474,0.4286
42,P11802,0.7691
42,P14902,0.6816
42,P15056,0.769
42,P15170,0.2885
42,P17706,0.7938
42,P18031,0.8506
42,P24941,0.8762
42,P25440,0.7267
42,P30530,0.9015
42,P33981,0.655
42,P36888,0.8456
42,P36897,0.6867
42,P36969,0.8503
42,P37840,0.7701
42,P40337,0.7125
42,P40763,0.395
42,P43490,0.7593
42,P49336,0.1175
42,P49840,0.7105
42,P50750,0.74
42,P51531,0.727
42,P51531/P51532,0.649
42,P51532,0.8017
42,P98170,0.5354
42,Q00534,0.86
42,Q02750,0.9927
42,Q06124,0.6356
42,Q06187,0.9036
42,Q07889,0.8366
42,Q08881,0.6714
42,Q09472,0.8646
42,Q13422,0.7807
42,Q14004,0.6518
42,Q15059,0.6474
42,Q16539,0.8889
42,Q5S007,0.9
42,Q92793,0.7699
42,Q92793/Q09472,0.9664
42,Q92918,0.8851
42,Q93009,0.7051
42,Q96SW2,0.4423
42,Q9BY41,0.8056
42,Q9NWZ3,0.9305
42,Q9NYV4,0.9035
42,Q9UBN7,0.7486
42,Q9UM73,0.8021
42,Q9Y2I7,0.6389
42,Q9Y616,0.9167
43,O15379,0.9939
43,O43924,1.0
43,O60674,0.8958
43,O60760,1.0
43,O60885,0.7722
43,O75530,0.6286
43,P00533,0.8574
43,P01116,0.898
43,P01116/P04049,0.8109
43,P01116/Q07889,0.5
43,P03372,0.88
43,P06239,0.4386
43,P08581,1.0
43,P09874,0.7341
43,P10275,0.9145
43,P10636,0.7474
43,P11474,0.3214
43,P11802,0.7683
43,P14902,0.7474
43,P15056,0.75
43,P15170,0.2115
43,P17706,0.773
43,P18031,0.84
43,P24941,0.9333
43,P25440,0.6457
43,P30530,0.9167
43,P33981,0.79
43,P36888,0.844
43,P36897,0.6905
43,P36969,0.8486
43,P37840,0.7589
43,P40337,0.675
43,P40763,0.5714
43,P43490,0.7639
43,P49336,0.1382
43,P49840,0.6316
43,P50750,0.8336
43,P51531,0.707
43,P51531/P51532,0.7848
43,P51532,0.7721
43,P98170,0.697
43,Q00534,0.8531
43,Q02750,0.9817
43,Q06124,0.6578
43,Q06187,0.8976
43,Q07889,0.7659
43,Q08881,0.7929
43,Q09472,0.877
43,Q13422,0.8527
43,Q14004,0.6548
43,Q15059,0.4551
43,Q16539,0.8611
43,Q5S007,0.9167
43,Q92793,0.8489
43,Q92793/Q09472,0.9515
43,Q92918,0.9052
43,Q93009,0.7179
43,Q96SW2,0.3654
43,Q9BY41,0.7306
43,Q9NWZ3,0.9419
43,Q9NYV4,0.6667
43,Q9UBN7,0.7417
43,Q9UM73,0.8576
43,Q9Y2I7,0.5093
43,Q9Y616,0.8333
44,O15379,0.9939
44,O43924,1.0
44,O60674,0.9792
44,O60760,1.0
44,O60885,0.7406
44,O75530,0.7714
44,P00533,0.8497
44,P01116,0.9102
44,P01116/P04049,0.8199
44,P01116/Q07889,0.5091
44,P03372,0.8776
44,P06239,0.1579
44,P08581,1.0
44,P09874,0.8095
44,P10275,0.916
44,P10636,0.7018
44,P11474,0.4286
44,P11802,0.7724
44,P14902,0.6696
44,P15056,0.7164
44,P15170,0.2308
44,P17706,0.8173
44,P18031,0.8635
44,P24941,0.8095
44,P25440,0.7713
44,P30530,0.8864
44,P33981,0.83
44,P36888,0.8525
44,P36897,0.6637
44,P36969,0.8825
44,P37840,0.7857
44,P40337,0.6562
44,P40763,0.3445
44,P43490,0.7948
44,P49336,0.1797
44,P49840,0.7193
44,P50750,0.7609
44,P51531,0.7202
44,P51531/P51532,0.7513
44,P51532,0.7972
44,P98170,0.5556
44,Q00534,0.8838
44,Q02750,0.9634
44,Q06124,0.6978
44,Q06187,0.9027
44,Q07889,0.8314
44,Q08881,0.7286
44,Q09472,0.8913
44,Q13422,0.7488
44,Q14004,0.5893
44,Q15059,0.6709
44,Q16539,0.5833
44,Q5S007,0.9
44,Q92793,0.786
44,Q92793/Q09472,0.9375
44,Q92918,0.866
44,Q93009,0.6026
44,Q96SW2,0.4615
44,Q9BY41,0.8
44,Q9NWZ3,0.9309
44,Q9NYV4,0.7485
44,Q9UBN7,0.775
44,Q9UM73,0.809
44,Q9Y2I7,0.7593
44,Q9Y616,0.9167
53,O15379,0.9242
53,O43924,1.0
53,O60674,0.8958
53,O60760,1.0
53,O60885,0.7967
53,O75530,0.6
53,P00533,0.8567
53,P01116,0.8904
53,P01116/P04049,0.8459
53,P01116/Q07889,0.45
53,P03372,0.8687
53,P06239,0.3421
53,P08581,1.0
53,P09874,0.7989
53,P10275,0.915
53,P10636,0.7273
53,P11474,0.5357
53,P11802,0.7984
53,P14902,0.6637
53,P15056,0.755
53,P15170,0.4231
53,P17706,0.799
53,P18031,0.8947
53,P24941,0.981
53,P25440,0.6822
53,P30530,0.9205
53,P33981,0.845
53,P36888,0.8358
53,P36897,0.6394
53,P36969,0.8896
53,P37840,0.6786
53,P40337,0.7813
53,P40763,0.1933
53,P43490,0.7654
53,P49336,0.1152
53,P49840,0.8158
53,P50750,0.7227
53,P51531,0.7224
53,P51531/P51532,0.6914
53,P51532,0.8102
53,P98170,0.7273
53,Q00534,0.9113
53,Q02750,0.9487
53,Q06124,0.5667
53,Q06187,0.9015
53,Q07889,0.8406
53,Q08881,0.7857
53,Q09472,0.9062
53,Q13422,0.7676
53,Q14004,0.5565
53,Q15059,0.5726
53,Q16539,0.8333
53,Q5S007,0.9167
53,Q92793,0.8385
53,Q92793/Q09472,0.959
53,Q92918,0.8776
53,Q93009,0.6154
53,Q96SW2,0.7115
53,Q9BY41,0.7319
53,Q9NWZ3,0.9336
53,Q9NYV4,0.6462
53,Q9UBN7,0.7292
53,Q9UM73,0.7569
53,Q9Y2I7,0.713
53,Q9Y616,0.9167
71,O15379,1.0
71,O43924,1.0
71,O60674,0.9583
71,O60760,1.0
71,O60885,0.7984
71,O75530,0.6286
71,P00533,0.8815
71,P01116,0.8927
71,P01116/P04049,0.8245
71,P01116/Q07889,0.4273
71,P03372,0.8901
71,P06239,0.2719
71,P08581,1.0
71,P09874,0.8135
71,P10275,0.9171
71,P10636,0.7637
71,P11474,0.6429
71,P11802,0.8512
71,P14902,0.6985
71,P15056,0.7663
71,P15170,0.4231
71,P17706,0.7938
71,P18031,0.8694
71,P24941,0.8286
71,P25440,0.7773
71,P30530,0.9545
71,P33981,0.685
71,P36888,0.8897
71,P36897,0.6036
71,P36969,0.8929
71,P37840,0.8058
71,P40337,0.5125
71,P40763,0.3067
71,P43490,0.6821
71,P49336,0.1244
71,P49840,0.9386
71,P50750,0.7673
71,P51531,0.7062
71,P51531/P51532,0.7743
71,P51532,0.7886
71,P98170,0.7424
71,Q00534,0.8788
71,Q02750,0.989
71,Q06124,0.6133
71,Q06187,0.8921
71,Q07889,0.7999
71,Q08881,0.6071
71,Q09472,0.8776
71,Q13422,0.8208
71,Q14004,0.6786
71,Q15059,0.8526
71,Q16539,0.5556
71,Q5S007,0.4
71,Q92793,0.8421
71,Q92793/Q09472,0.9431
71,Q92918,0.8517
71,Q93009,0.5513
71,Q96SW2,0.3942
71,Q9BY41,0.8278
71,Q9NWZ3,0.9373
71,Q9NYV4,0.7076
71,Q9UBN7,0.7292
71,Q9UM73,0.8038
71,Q9Y2I7,0.75
71,Q9Y616,0.9167
