target,auroc
P10275,0.5275491760165756
P03372,0.6239963484455321
Q06187,0.7220889770357046
P01116,0.7322518237745687
P15056,0.7097896167479183
P51531,0.6213261641826997
P00533,0.756454180509413
Q9NWZ3,0.832342596773081
P51532,0.6545432521678882
P10636,0.5560308723529429
O60885,0.6218647474185448
P01116/P04049,0.831256475338814
Q92793,0.8472737880156579
P14902,0.5098489632537485
Q07889,0.29664928433835996
Q92918,0.8400257535674203
Q92793/Q09472,0.9506624992046828
Q09472,0.9323005164084625
P36969,0.880432402846196
Q13422,0.5570522081277894
P36888,0.6773073476702508
P17706,0.8477829396497197
Q9BY41,0.4246143225095498
P18031,0.9352268742828
P09874,0.34719014001134746
P36897,0.4799888283759251
Q00534,0.8528943726188855
P11802,0.74527665317139
P51531/P51532,0.7434401220442411
P50750,0.7974535592384563
Q02750,0.9900686400686401
O15379,1.0
P98170,0.6063355227148332
Q9UBN7,0.5908091908091908
P49336,0.5235383851284234
P43490,0.7229341736694678
Q9UM73,0.7966956654456654
P01116/Q07889,0.46849608589374664
P25440,0.8810513560513561
Q15059,0.8111680787161557
P37840,0.673076923076923
Q06124,0.7659007659007658
P30530,0.9693842449260406
Q9NYV4,0.7656746031746032
P40337,0.748468660968661
Q14004,0.6066217732884399
P06239,0.6207837301587301
P40763,0.28827838827838825
P24941,0.9641414141414142
P49840,0.9380952380952382
Q9Y2I7,0.7976190476190476
P33981,0.79673721340388
Q08881,0.7055555555555556
Q93009,0.6444444444444445
P08581,1.0
P15170,0.30864197530864196
Q96SW2,0.13001543209876543
O60674,0.9814814814814815
Q9Y616,0.9345238095238096
Q5S007,0.8928571428571429
O75530,0.6944444444444445
Q16539,0.8555555555555555
P11474,0.8009259259259259
O43924,0.6666666666666666
O60760,0.7222222222222222
