target,n_test,rate,gin_auroc_mean,gin_auroc_std,rf_auroc_mean,rf_auroc_std,delta,gin_seeds,rf_seeds
P10275,1968,0.7673,0.5326,0.0255,0.5275,0.0003,0.0052,"[0.5191, 0.5104, 0.5683]","[0.527, 0.5278, 0.5275]"
P03372,1291,0.6538,0.4972,0.0054,0.5929,0.0077,-0.0957,"[0.4992, 0.5027, 0.4898]","[0.5823, 0.6, 0.5965]"
Q06187,761,0.8686,0.5465,0.0688,0.7034,0.0225,-0.1569,"[0.4592, 0.5531, 0.6272]","[0.7229, 0.7155, 0.6718]"
P01116,722,0.759,0.6342,0.0604,0.7275,0.0096,-0.0934,"[0.6062, 0.718, 0.5783]","[0.7325, 0.7359, 0.7141]"
P15056,606,0.8152,0.648,0.0225,0.7144,0.0095,-0.0663,"[0.6181, 0.6535, 0.6725]","[0.7014, 0.7179, 0.7238]"
P98170,39,0.8462,0.6279,0.0595,0.5699,0.0104,0.0581,"[0.5859, 0.7121, 0.5859]","[0.5682, 0.5581, 0.5833]"
Q9UBN7,39,0.6154,0.7366,0.0304,0.4065,0.0183,0.3301,"[0.7056, 0.7778, 0.7264]","[0.4194, 0.3806, 0.4194]"
P49336,38,0.1842,0.3932,0.0121,0.5614,0.0484,-0.1682,"[0.3871, 0.4101, 0.3825]","[0.5184, 0.629, 0.5369]"
P43490,36,0.5,0.7767,0.0015,0.4805,0.0281,0.2963,"[0.7778, 0.7778, 0.7747]","[0.4414, 0.4938, 0.5062]"
Q9UM73,34,0.5294,0.6852,0.147,0.7517,0.0,-0.0666,"[0.8715, 0.5122, 0.6719]","[0.7517, 0.7517, 0.7517]"
