target,auroc
P10275,0.5249802384877141
P03372,0.6183499969959463
Q06187,0.7070196671709531
P01116,0.7206106496630031
P15056,0.6817163100057836
P51531,0.5827577487656539
P00533,0.7700163398692811
Q9NWZ3,0.8379979035639412
P51532,0.6484295570079883
P10636,0.5856805231805232
O60885,0.5521262002743484
P01116/P04049,0.8303846153846154
Q92793,0.8171945701357467
P14902,0.45380116959064326
Q07889,0.3724760013240649
Q92918,0.8165607344632768
Q92793/Q09472,0.9399875621890548
Q09472,0.9161241319444445
P36969,0.7289617486338797
Q13422,0.660392798690671
P36888,0.7151416122004357
P17706,0.8671875
Q9BY41,0.4050925925925926
P18031,0.9268627450980392
P09874,0.34920634920634924
P36897,0.5038363171355499
Q00534,0.804375
P11802,0.7414634146341464
P51531/P51532,0.6566725455614344
P50750,0.8236363636363636
Q02750,0.6739926739926739
O15379,0.9919191919191919
P98170,0.5530303030303031
Q9UBN7,0.45925925925925926
P49336,0.5261136712749616
P43490,0.34773662551440326
Q9UM73,0.6047453703703703
P01116/Q07889,0.4712121212121212
P25440,0.800944669365722
Q15059,0.655982905982906
P37840,0.5930059523809523
Q06124,0.6985185185185184
P30530,0.9381313131313131
Q9NYV4,0.6296296296296297
P40337,0.6739583333333333
Q14004,0.5982142857142857
P06239,0.5994152046783626
P40763,0.44817927170868344
P24941,0.8380952380952381
P49840,0.8070175438596493
Q9Y2I7,0.6728395061728395
P33981,0.35999999999999993
Q08881,0.47142857142857136
Q93009,0.5982905982905984
P08581,1.0
P15170,0.30769230769230765
Q96SW2,0.16666666666666663
O60674,0.9791666666666666
Q9Y616,0.7916666666666666
Q5S007,0.9166666666666666
O75530,0.6095238095238096
Q16539,0.9259259259259259
P11474,0.6785714285714287
O43924,0.6296296296296297
O60760,0.7619047619047619
