target,auroc
P10275,0.512780878567917
P03372,0.5767487126746327
Q06187,0.698661119515885
P01116,0.708845470816903
P15056,0.7031972961249277
P51531,0.661476424322274
P00533,0.7718205337690632
Q9NWZ3,0.8258909853249476
P51532,0.6500363108206245
P10636,0.503447940947941
O60885,0.5977493268302596
P01116/P04049,0.8250854700854702
Q92793,0.8407993966817496
P14902,0.4417153996101364
Q07889,0.25157232704402516
Q92918,0.7498234463276837
Q92793/Q09472,0.9490049751243781
Q09472,0.9253472222222222
P36969,0.8105646630236794
Q13422,0.49863611565739224
P36888,0.6397058823529411
P17706,0.8509837962962963
Q9BY41,0.3668981481481482
P18031,0.9443137254901961
P09874,0.30379188712522043
P36897,0.5187553282182439
Q00534,0.84125
P11802,0.7823848238482385
P51531/P51532,0.7213403880070546
P50750,0.8139393939393939
Q02750,0.7484737484737485
O15379,1.0
P98170,0.5824915824915825
Q9UBN7,0.45787037037037037
P49336,0.5990783410138248
P43490,0.4002057613168724
Q9UM73,0.7407407407407408
P01116/Q07889,0.49393939393939396
P25440,0.8549257759784076
Q15059,0.7756410256410257
P37840,0.550595238095238
Q06124,0.7466666666666667
P30530,0.9646464646464646
Q9NYV4,0.709551656920078
P40337,0.6875
Q14004,0.6666666666666666
P06239,0.6959064327485381
P40763,0.28571428571428575
P24941,0.8571428571428572
P49840,0.847953216374269
Q9Y2I7,0.7469135802469137
P33981,0.5366666666666667
Q08881,0.6714285714285714
Q93009,0.6923076923076922
P08581,0.9888888888888889
P15170,0.5576923076923076
Q96SW2,0.19871794871794868
O60674,0.923611111111111
Q9Y616,0.9444444444444443
Q5S007,0.9499999999999998
O75530,0.44761904761904764
Q16539,0.9166666666666666
P11474,0.4523809523809524
O43924,0.7407407407407408
O60760,0.6984126984126985
