target,auroc,n_test
O15379,0.9545,43
O43924,1.0,10
O60674,1.0,14
O60760,0.7619,10
O60885,0.4893,162
O75530,0.5714,12
P00533,0.591,402
P01116,0.6483,722
P01116/P04049,0.8401,139
P01116/Q07889,0.3636,32
P03372,0.6068,1291
P06239,0.5789,25
P08581,0.2333,17
P09874,0.2579,57
P10275,0.5263,1968
P10636,0.5362,210
P11474,0.2857,11
P11802,0.7512,56
P14902,0.5842,109
P15056,0.7016,606
P15170,0.4038,17
P17706,0.8203,68
P18031,0.9229,59
P24941,0.9429,22
P25440,0.7955,32
P30530,0.9508,28
P33981,0.76,20
P36888,0.7827,70
P36897,0.5448,57
P36969,0.7038,76
P37840,0.4085,30
P40337,0.5344,26
P40763,0.2941,24
P43490,0.4105,36
P49336,0.5968,38
P49840,0.8947,22
P50750,0.6891,47
P51531,0.5704,432
P51531/P51532,0.6649,48
P51532,0.6181,271
P98170,0.5934,39
Q00534,0.9019,57
Q02750,0.7692,46
Q06124,0.5311,30
Q06187,0.661,761
Q07889,0.7001,91
Q08881,0.6429,19
Q09472,0.9154,80
Q14004,0.5506,26
Q15059,0.6474,31
Q16539,0.9167,12
Q5S007,0.85,13
Q92793,0.7305,111
Q92793/Q09472,0.9468,83
Q92918,0.884,91
Q93009,0.6026,19
Q96SW2,0.1731,17
Q9BY41,0.491,61
Q9NWZ3,0.8006,313
Q9NYV4,0.7778,28
Q9UBN7,0.6361,39
Q9UM73,0.5538,34
Q9Y2I7,0.1852,21
Q9Y616,0.9583,14
