target,n,method,v3_median_dist,v2_median_dist,delta_v2_v3,pct_within_10A_v3
O15379,35,cocrystal_v3,17.0,8.8,-8.2,2.9
O43924,10,alpha_sphere_v3,3.8,3.8,,90.0
O60674,7,cocrystal_v3,43.8,98.3,54.5,42.9
O60760,10,alpha_sphere_v3,1.8,1.8,,90.0
O60885,147,cocrystal_v3,28.4,19.2,-9.2,29.9
O75530,12,alpha_sphere_v3,11.3,11.3,,8.3
P00533,393,cocrystal_v3,29.1,37.5,8.4,0.3
P01116,713,cocrystal_v3,10.5,8.9,-1.6,39.7
P01116/P04049,139,cocrystal_v3,10.5,9.1,-1.4,31.7
P01116/Q07889,32,cocrystal_v3,6.6,20.1,13.5,84.4
P03372,1285,cocrystal_v3,20.0,13.9,-6.0,0.3
P06239,25,cocrystal_v3,23.9,15.4,-8.5,36.0
P08581,8,cocrystal_v3,38.7,35.5,-3.1,0.0
P09874,47,cocrystal_v3,24.0,20.8,-3.3,0.0
P10275,1938,cocrystal_v3,14.0,11.7,-2.3,0.3
P10636,210,alpha_sphere_v3,32.2,32.2,,0.0
P11474,4,alpha_sphere_v3,7.5,7.5,,100.0
P11802,47,knowledge_refined_v3,8.5,12.4,3.9,85.1
P14902,105,cocrystal_v3,7.7,7.1,-0.6,87.6
P15056,596,cocrystal_v3,25.5,18.2,-7.3,0.0
P15170,17,alpha_sphere_v3,18.4,18.4,,0.0
P17706,58,knowledge_refined_v3,6.6,26.3,19.7,81.0
P18031,59,cocrystal_v3,6.3,4.6,-1.7,100.0
P24941,17,cocrystal_v3,19.8,14.2,-5.6,29.4
P25440,25,cocrystal_v3,31.2,14.1,-17.0,16.0
P30530,20,cocrystal_v3,34.4,26.7,-7.7,5.0
P33981,16,cocrystal_v3,17.5,40.0,22.5,0.0
P36888,62,cocrystal_v3,33.3,31.2,-2.2,1.6
P36897,57,cocrystal_v3,55.9,14.8,-41.2,17.5
P36969,67,knowledge_refined_v3,33.0,35.8,2.8,0.0
P37840,30,alpha_sphere_v3,14.4,14.4,,6.7
P40337,26,alpha_sphere_v3,6.1,6.1,,100.0
P40763,23,cocrystal_v3,14.5,32.8,18.3,39.1
P43490,26,cocrystal_v3,20.3,16.5,-3.8,0.0
P49336,38,cocrystal_v3,11.7,11.8,0.1,26.3
P49840,14,cocrystal_v3,13.5,10.9,-2.7,14.3
P50750,38,cocrystal_v3,13.1,7.3,-5.7,13.2
P51531,423,cocrystal_v3,16.3,20.8,4.4,0.0
P51531/P51532,48,cocrystal_v3,17.5,22.6,5.1,2.1
P51532,265,cocrystal_v3,18.6,20.7,2.1,0.0
P98170,39,alpha_sphere_v3,8.4,8.4,,84.6
Q00534,48,cocrystal_v3,18.5,13.9,-4.7,0.0
Q02750,36,cocrystal_v3,23.4,8.1,-15.3,0.0
Q06124,30,cocrystal_v3,18.3,16.9,-1.4,0.0
Q06187,749,cocrystal_v3,38.5,20.1,-18.3,0.0
Q07889,81,cocrystal_v3,32.7,10.1,-22.6,0.0
Q08881,9,cocrystal_v3,49.3,24.3,-24.9,0.0
Q09472,77,cocrystal_v3,48.9,15.8,-33.1,0.0
Q14004,20,cocrystal_v3,52.9,55.2,2.4,10.0
Q15059,24,cocrystal_v3,14.7,23.4,8.7,16.7
Q16539,3,cocrystal_v3,16.1,15.2,-0.9,0.0
Q5S007,13,alpha_sphere_v3,17.8,17.8,0.0,0.0
Q92793,111,knowledge_refined_v3,40.0,40.0,,0.0
Q92793/Q09472,83,knowledge_refined_v3,40.0,40.0,,0.0
Q92918,88,cocrystal_v3,35.4,33.2,-2.2,8.0
Q93009,10,cocrystal_v3,22.5,7.7,-14.8,0.0
Q96SW2,16,alpha_sphere_v3,10.8,10.8,,43.8
Q9BY41,58,cocrystal_v3,14.8,27.3,12.5,15.5
Q9NWZ3,303,cocrystal_v3,26.6,12.5,-14.1,0.0
Q9NYV4,21,cocrystal_v3,49.8,17.8,-32.0,9.5
Q9UBN7,31,cocrystal_v3,18.6,26.7,8.2,6.5
Q9UM73,24,cocrystal_v3,31.4,38.2,6.8,0.0
Q9Y2I7,21,alpha_sphere_v3,6.6,6.5,-0.0,95.2
Q9Y616,12,knowledge_refined_v3,8.9,28.7,19.9,75.0
