target,auroc,n_test
O15379,1.0,43
O43924,1.0,10
O60674,0.9583,14
O60760,1.0,10
O60885,0.5354,162
O75530,0.6286,12
P00533,0.7685,402
P01116,0.5719,722
P01116/P04049,0.7432,139
P01116/Q07889,0.5909,32
P03372,0.557,1291
P06239,0.5789,25
P08581,1.0,17
P09874,0.2103,57
P10275,0.5823,1968
P10636,0.5756,210
P11474,0.5,11
P11802,0.7821,56
P14902,0.4386,109
P15056,0.6738,606
P15170,0.4038,17
P17706,0.8385,68
P18031,0.9676,59
P24941,0.2381,22
P25440,0.9251,32
P30530,0.9735,28
P33981,0.84,20
P36888,0.7949,70
P36897,0.5435,57
P36969,0.7366,76
P37840,0.7612,30
P40337,0.7906,26
P40763,0.4958,24
P43490,0.7191,36
P49336,0.2696,38
P49840,0.9474,22
P50750,0.7036,47
P51531,0.5238,432
P51531/P51532,0.7019,48
P51532,0.6031,271
P98170,0.5379,39
Q00534,0.8494,57
Q02750,0.6374,46
Q06124,0.7756,30
Q06187,0.6075,761
Q07889,0.6624,91
Q08881,0.8714,19
Q09472,0.9492,80
Q14004,0.6637,26
Q15059,0.8868,31
Q16539,0.9444,12
Q5S007,0.85,13
Q92793,0.8713,111
Q92793/Q09472,0.9627,83
Q92918,0.7987,91
Q93009,0.7436,19
Q96SW2,0.3269,17
Q9BY41,0.5743,61
Q9NWZ3,0.7745,313
Q9NYV4,0.924,28
Q9UBN7,0.5972,39
Q9UM73,0.8628,34
Q9Y2I7,0.7963,21
Q9Y616,1.0,14
